,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,592090,-8553,4730,2111,57
1,592100,-8553,4729,2112,57
2,592110,-8553,4728,2113,56
3,592120,-8553,4728,2114,55
4,592130,-8553,4727,2116,54
5,592140,-8553,4727,2118,53
6,592150,-8553,4726,2118,53
7,592160,-8555,4726,2111,56
8,592170,-8558,4725,2102,61
9,592180,-8560,4724,2093,66
10,592190,-8562,4724,2087,70
11,592200,-8563,4723,2086,71
12,592210,-8563,4723,2086,71
13,592220,-8563,4722,2086,70
14,592230,-8564,4722,2085,71
15,592240,-8563,4721,2089,68
16,592250,-8562,4721,2094,65
17,592260,-8561,4720,2101,61
18,592270,-8560,4719,2105,59
19,592280,-8560,4719,2106,58
20,592290,-8560,4718,2107,57
21,592300,-8561,4718,2107,57
22,592310,-8561,4717,2106,57
23,592320,-8562,4717,2105,58
24,592330,-8563,4716,2102,59
25,592340,-8564,4716,2099,61
26,592350,-8564,4715,2097,62
27,592360,-8565,4715,2094,63
28,592370,-8566,4714,2093,64
29,592380,-8566,4714,2094,64
30,592390,-8566,4713,2096,62
31,592400,-8566,4712,2099,61
32,592410,-8566,4712,2100,60
33,592420,-8566,4711,2101,59
34,592430,-8566,4711,2101,59
35,592440,-8566,4710,2101,58
36,592450,-8567,4710,2101,59
37,592460,-8567,4709,2100,59
38,592470,-8567,4709,2100,59
39,592480,-8569,4708,2097,61
40,592490,-8570,4708,2093,63
41,592500,-8571,4707,2090,65
42,592510,-8571,4706,2090,65
43,592520,-8571,4706,2092,63
44,592530,-8570,4705,2095,61
45,592540,-8570,4705,2099,59
46,592550,-8570,4704,2101,58
47,592560,-8570,4704,2102,57
48,592570,-8570,4703,2101,58
49,592580,-8571,4703,2099,59
50,592590,-8572,4702,2096,60
51,592600,-8573,4701,2095,61
52,592610,-8573,4701,2093,62
53,592620,-8574,4700,2092,63
54,592630,-8574,4700,2091,64
55,592640,-8575,4699,2090,64
56,592650,-8575,4699,2091,63
57,592660,-8575,4698,2093,62
58,592670,-8575,4697,2095,61
59,592680,-8574,4697,2097,60
60,592690,-8575,4697,2097,59
61,592700,-8575,4697,2096,60
62,592710,-8576,4696,2095,60
63,592720,-8576,4695,2094,60
64,592730,-8576,4695,2096,59
65,592740,-8575,4694,2099,58
66,592750,-8576,4694,2098,58
67,592760,-8577,4694,2095,60
68,592770,-8577,4693,2095,60
69,592780,-8576,4693,2098,59
70,592790,-8576,4693,2097,59
71,592800,-8578,4692,2091,62
72,592810,-8580,4692,2088,63
73,592820,-8580,4692,2088,63
74,592830,-8581,4691,2084,65
75,592840,-8582,4691,2078,68
76,592850,10000,0,-1,0
77,592860,9999,0,-6,1
78,592870,9999,1,-13,2
79,592880,9999,2,-14,2
80,592890,9999,3,-12,2
81,592900,9999,3,-9,3
82,592910,9999,4,-13,3
83,592920,9999,6,-15,4
84,592930,9999,7,-11,4
85,592940,9999,8,-10,5
86,592950,9999,8,-8,5
87,592960,9999,9,-4,6
88,592970,9999,9,0,6
89,592980,9999,9,0,7
90,592990,9999,10,-1,7
91,593000,9999,10,-4,8
92,593010,9999,9,-6,7
93,593020,9999,12,-10,7
94,593030,9999,8,4,8
95,593040,9999,7,15,9
96,593050,9999,2,19,12
97,593060,9999,0,22,17
