,ts,voltage
0,592990,8050
1,593990,8091
2,594990,8116
3,595990,8099
4,596990,8083
5,597990,8083
6,598990,8066
7,599990,8091
8,600990,8099
9,601990,8099
10,602990,8075
11,603990,8108
12,604990,8099
13,605990,8058
14,606990,8058
15,607990,8041
16,608990,8025
17,609990,8033
18,610990,8000
19,611990,8017
20,612990,8008
21,613990,8008
22,614990,8000
23,615990,7992
24,616990,7992
25,617990,8000
26,618990,7992
27,619990,7992
28,620990,7992
29,621990,7967
30,622990,7992
31,623990,7975
32,624990,7992
33,625990,7992
34,626990,8041
35,627990,8041
36,628990,8041
37,629990,8041
38,630990,8058
39,631990,8058
40,632990,8066
41,633990,8050
42,634990,8058
43,635990,8050
44,636990,8050
45,637990,8058
46,638990,8083
47,639990,8091
48,640990,8083
49,641990,8066
50,642990,8083
51,643990,8083
52,644990,8041
53,645990,8066
54,646990,8075
55,647990,8099
56,648990,8091
57,649990,8091
58,650990,8050
59,651990,8066
60,652990,8083
61,653990,8075
62,654990,8083
63,655990,8091
64,656990,8091
65,657990,8075
66,658990,8066
67,659990,8116
68,660990,8083
69,661990,8083
70,662990,8116
71,663990,8066
72,664990,8058
73,665990,8091
74,666990,8083
75,667990,8149
76,668990,8091
77,669990,8132
78,670990,8091
79,671990,8075
80,672990,8050
81,673990,8083
82,674990,8050
83,675990,8050
84,676990,8033
85,677990,8033
86,678990,8017
87,679990,7992
88,680990,8000
89,681990,8000
90,682990,7992
91,683990,8008
92,684990,7975
93,685990,8000
94,686990,7975
95,687990,8000
96,688990,7992
97,689990,7984
98,690990,7984
99,691990,7984
100,692990,8000
101,693990,7975
102,694990,7967
103,695990,7942
104,696990,7951
105,697990,8017
106,698990,7992
107,699990,8017
108,700990,8033
109,701990,8025
110,702990,8066
111,703990,8041
112,704990,8025
113,705990,8041
114,706990,8066
115,707990,8041
116,708990,8066
117,709990,8066
118,710990,8050
119,711990,8050
120,712990,8066
121,713990,8058
122,714990,8066
123,715990,8041
124,716990,8033
125,717990,8091
126,718990,8041
127,719990,8041
128,720990,8083
129,721990,8066
130,722990,8083
131,723990,8075
132,724990,8066
133,725990,8075
134,726990,8066
135,727990,8091
136,728990,8075
137,729990,8050
138,730990,8066
139,731990,8091
140,732990,8066
141,733990,8083
142,734990,8058
143,735990,8033
144,736990,8124
145,737990,8108
146,738990,8091
147,739990,8075
148,740990,8091
149,741990,8091
150,742990,8099
151,743990,8091
152,744990,8050
153,745990,8083
154,746990,8091
155,747990,8099
156,748990,8356
157,749990,8058
158,750990,8066
159,751990,8033
160,752990,8017
161,753990,8025
162,754990,8008
163,755990,7992
164,756990,7992
165,757990,7975
166,758990,7984
167,759990,7967
168,760990,7975
169,761990,7959
170,762990,7984
171,763990,7984
172,764990,7984
173,765990,7951
174,766990,7992
175,767990,7959
176,768990,7984
177,769990,7628
178,770990,7951
179,771990,7992
180,772990,8025
181,773990,7992
182,774990,8033
183,775990,8033
184,776990,8025
185,777990,8050
186,778990,8058
187,779990,8033
188,780990,8066
189,781990,8058
190,782990,8058
191,783990,8066
192,784990,8050
193,785990,8041
194,786990,8075
195,787990,8050
196,788990,8033
197,789990,8124
198,790990,8041
199,791990,8041
200,792990,8050
201,793990,8066
202,794990,8050
203,795990,8075
204,796990,8058
205,797990,8041
206,798990,8050
207,799990,8058
208,800990,8075
209,801990,8066
210,802990,8058
211,803990,8066
212,804990,8091
213,805990,8050
214,806990,8058
215,807990,8075
216,808990,8066
217,809990,8050
218,810990,8041
219,811990,8066
220,812990,8066
221,813990,8083
222,814990,8083
223,815990,8041
224,816990,8041
225,817990,8008
226,818990,8008
227,819990,8008
228,820990,7992
229,821990,8000
230,822990,7967
231,823990,7975
232,824990,7975
233,825990,7975
234,826990,7967
235,827990,7967
236,828990,7967
237,829990,7975
238,830990,7967
239,831990,7959
240,832990,7967
241,833990,7967
242,834990,7975
243,835990,8000
244,836990,7967
245,837990,8017
246,838990,8041
247,839990,8066
248,840990,8041
249,841990,8066
250,842990,8033
251,843990,8041
252,844990,8033
253,845990,8033
254,846990,8058
255,847990,8033
256,848990,8041
257,849990,8058
258,850990,8041
259,851990,8091
260,852990,8066
261,853990,8075
262,854990,8041
263,855990,8066
264,856990,8066
265,857990,8050
266,858990,8025
267,859990,8075
268,860990,8083
269,861990,8041
270,862990,8075
271,863990,8041
272,864990,8041
273,865990,8033
