,ts,id,T,P
0,-0.301,BARO0,31.56,97290
1,-0.301,BARO1,31.94,97398
2,-0.301,BARO2,31.99,97468
3,-0.291,BARO0,31.56,97290
4,-0.291,BARO1,31.94,97377
5,-0.291,BARO2,32.01,97493
6,-0.281,BARO0,31.56,97290
7,-0.281,BARO1,31.94,97377
8,-0.281,BARO2,31.99,97489
9,-0.271,BARO0,31.56,97290
10,-0.271,BARO1,31.94,97377
11,-0.271,BARO2,32.01,97493
12,-0.261,BARO0,31.54,97266
13,-0.261,BARO1,31.94,97377
14,-0.261,BARO2,32.01,97493
15,-0.251,BARO0,31.54,97287
16,-0.251,BARO1,31.94,97377
17,-0.251,BARO2,32.01,97514
18,-0.241,BARO0,31.56,97269
19,-0.241,BARO1,31.94,97377
20,-0.241,BARO2,32.01,97493
21,-0.231,BARO0,31.54,97308
22,-0.231,BARO1,31.96,97360
23,-0.231,BARO2,32.03,97518
24,-0.221,BARO0,31.56,97269
25,-0.221,BARO1,31.94,97398
26,-0.221,BARO2,32.01,97514
27,-0.211,BARO0,31.56,97290
28,-0.211,BARO1,31.94,97377
29,-0.211,BARO2,32.01,97493
30,-0.201,BARO0,31.56,97290
31,-0.201,BARO1,31.94,97377
32,-0.201,BARO2,32.01,97514
33,-0.191,BARO0,31.56,97311
34,-0.191,BARO1,31.94,97357
35,-0.191,BARO2,32.01,97514
36,-0.181,BARO0,31.56,97290
37,-0.181,BARO1,31.94,97377
38,-0.181,BARO2,32.01,97493
39,-0.171,BARO0,31.56,97290
40,-0.171,BARO1,31.94,97377
41,-0.171,BARO2,32.01,97493
42,-0.161,BARO0,31.56,97290
43,-0.161,BARO1,31.94,97398
44,-0.161,BARO2,32.01,97493
45,-0.151,BARO0,31.56,97290
46,-0.151,BARO1,31.94,97377
47,-0.151,BARO2,32.01,97493
48,-0.141,BARO0,31.54,97308
49,-0.141,BARO1,31.94,97377
50,-0.141,BARO2,32.01,97472
51,-0.131,BARO0,31.56,97290
52,-0.131,BARO1,31.94,97398
53,-0.131,BARO2,32.01,97472
54,-0.121,BARO0,31.54,97308
55,-0.121,BARO1,31.94,97398
56,-0.121,BARO2,32.01,97493
57,-0.111,BARO0,31.56,97438
58,-0.111,BARO1,31.94,97522
59,-0.111,BARO2,32.01,97641
60,-0.101,BARO0,31.56,97648
61,-0.101,BARO1,31.94,97708
62,-0.101,BARO2,32.01,97832
63,-0.091,BARO0,31.56,97796
64,-0.091,BARO1,31.94,97894
65,-0.091,BARO2,32.01,97980
66,-0.081,BARO0,31.54,97897
67,-0.081,BARO1,31.96,97959
68,-0.081,BARO2,32.01,98086
69,-0.071,BARO0,31.56,97880
70,-0.071,BARO1,31.94,97977
71,-0.071,BARO2,32.03,98090
72,-0.061,BARO0,31.56,97732
73,-0.061,BARO1,31.94,97791
74,-0.061,BARO2,32.01,97896
75,-0.051,BARO0,31.56,97459
76,-0.051,BARO1,31.94,97522
77,-0.051,BARO2,32.01,97641
78,-0.041,BARO0,31.56,97269
79,-0.041,BARO1,31.94,97377
80,-0.041,BARO2,32.01,97450
81,-0.031,BARO0,31.54,97287
82,-0.031,BARO1,31.93,97332
83,-0.031,BARO2,32.01,97472
84,-0.021,BARO0,31.56,97248
85,-0.021,BARO1,31.96,97360
86,-0.021,BARO2,32.03,97475
87,-0.011,BARO0,31.54,97287
88,-0.011,BARO1,31.94,97377
89,-0.011,BARO2,31.99,97489
90,-0.001,BARO0,31.56,97269
91,-0.001,BARO1,31.94,97357
92,-0.001,BARO2,32.01,97493
93,0.009,BARO0,31.56,97227
94,0.009,BARO1,31.94,97377
95,0.009,BARO2,32.01,97472
96,0.019,BARO0,31.56,97311
97,0.019,BARO1,31.94,97398
98,0.019,BARO2,32.01,97493
99,0.029,BARO0,31.56,97269
100,0.029,BARO1,31.94,97377
101,0.029,BARO2,32.01,97472
102,0.039,BARO0,31.56,97290
103,0.039,BARO1,31.94,97357
104,0.039,BARO2,32.01,97493
105,0.049,BARO0,31.54,97266
106,0.049,BARO1,31.96,97401
107,0.049,BARO2,32.03,97496
108,0.059,BARO0,31.56,97248
109,0.059,BARO1,31.94,97336
110,0.059,BARO2,31.99,97468
111,0.069,BARO0,31.56,97269
112,0.069,BARO1,31.94,97377
113,0.069,BARO2,31.99,97447
114,0.079,BARO0,31.56,97290
115,0.079,BARO1,31.94,97377
116,0.079,BARO2,32.01,97450
117,0.089,BARO0,31.54,97287
118,0.089,BARO1,31.94,97357
119,0.089,BARO2,32.01,97472
120,0.099,BARO0,31.56,97269
121,0.099,BARO1,31.94,97377
122,0.099,BARO2,32.01,97472
123,0.109,BARO0,31.56,97269
124,0.109,BARO1,31.94,97377
125,0.109,BARO2,32.01,97472
126,0.119,BARO0,31.56,97269
127,0.119,BARO1,31.94,97357
128,0.119,BARO2,32.01,97472
129,0.129,BARO0,31.56,97269
130,0.129,BARO1,31.96,97360
131,0.129,BARO2,32.01,97472
132,0.139,BARO0,31.54,97266
133,0.139,BARO1,31.94,97357
134,0.139,BARO2,32.03,97454
135,0.149,BARO0,31.54,97266
136,0.149,BARO1,31.94,97357
137,0.149,BARO2,32.03,97454
138,0.159,BARO0,31.54,97245
139,0.159,BARO1,31.94,97357
140,0.159,BARO2,32.01,97472
141,0.169,BARO0,31.54,97266
142,0.169,BARO1,31.94,97357
143,0.169,BARO2,32.01,97472
144,0.179,BARO0,31.54,97245
145,0.179,BARO1,31.94,97336
146,0.179,BARO2,32.01,97472
147,0.189,BARO0,31.54,97245
148,0.189,BARO1,31.94,97336
149,0.189,BARO2,32.01,97472
150,0.199,BARO0,31.56,97248
151,0.199,BARO1,31.94,97357
152,0.199,BARO2,32.03,97454
153,0.209,BARO0,31.56,97227
154,0.209,BARO1,31.94,97357
155,0.209,BARO2,32.01,97450
156,0.219,BARO0,31.54,97223
157,0.219,BARO1,31.94,97357
158,0.219,BARO2,32.03,97454
159,0.229,BARO0,31.54,97223
160,0.229,BARO1,31.94,97357
161,0.229,BARO2,32.03,97454
162,0.239,BARO0,31.56,97248
163,0.239,BARO1,31.94,97336
164,0.239,BARO2,32.01,97429
165,0.249,BARO0,31.52,97220
166,0.249,BARO1,31.94,97315
167,0.249,BARO2,31.99,97426
168,0.259,BARO0,31.54,97223
169,0.259,BARO1,31.94,97315
170,0.259,BARO2,32.01,97472
171,0.269,BARO0,31.56,97248
172,0.269,BARO1,31.94,97336
173,0.269,BARO2,31.99,97426
174,0.279,BARO0,31.56,97227
175,0.279,BARO1,31.94,97336
176,0.279,BARO2,31.99,97404
177,0.289,BARO0,31.54,97202
178,0.289,BARO1,31.94,97315
179,0.289,BARO2,32.01,97429
180,0.299,BARO0,31.56,97227
181,0.299,BARO1,31.93,97291
182,0.299,BARO2,31.99,97404
183,0.309,BARO0,31.56,97227
184,0.309,BARO1,31.94,97315
185,0.309,BARO2,32.01,97450
186,0.319,BARO0,31.56,97227
187,0.319,BARO1,31.94,97315
188,0.319,BARO2,32.01,97450
189,0.329,BARO0,31.54,97202
190,0.329,BARO1,31.94,97295
191,0.329,BARO2,32.03,97412
192,0.339,BARO0,31.56,97206
193,0.339,BARO1,31.94,97315
194,0.339,BARO2,32.01,97408
195,0.349,BARO0,31.56,97185
196,0.349,BARO1,31.94,97295
197,0.349,BARO2,31.99,97383
198,0.359,BARO0,31.56,97185
199,0.359,BARO1,31.94,97274
200,0.359,BARO2,32.01,97387
201,0.369,BARO0,31.56,97185
202,0.369,BARO1,31.94,97274
203,0.369,BARO2,32.01,97408
204,0.379,BARO0,31.56,97185
205,0.379,BARO1,31.94,97274
206,0.379,BARO2,32.01,97387
207,0.389,BARO0,31.56,97227
208,0.389,BARO1,31.94,97274
209,0.389,BARO2,32.01,97366
210,0.399,BARO0,31.56,97206
211,0.399,BARO1,31.94,97295
212,0.399,BARO2,32.01,97387
213,0.409,BARO0,31.56,97206
214,0.409,BARO1,31.94,97274
215,0.409,BARO2,31.99,97383
216,0.419,BARO0,31.56,97164
217,0.419,BARO1,31.94,97274
218,0.419,BARO2,32.01,97387
219,0.429,BARO0,31.56,97185
220,0.429,BARO1,31.93,97270
221,0.429,BARO2,32.01,97366
222,0.439,BARO0,31.54,97160
223,0.439,BARO1,31.94,97274
224,0.439,BARO2,32.01,97387
225,0.449,BARO0,31.54,97160
226,0.449,BARO1,31.93,97250
227,0.449,BARO2,32.01,97344
228,0.459,BARO0,31.56,97164
229,0.459,BARO1,31.93,97250
230,0.459,BARO2,32.01,97366
231,0.469,BARO0,31.54,97160
232,0.469,BARO1,31.94,97253
233,0.469,BARO2,32.01,97387
234,0.479,BARO0,31.56,97164
235,0.479,BARO1,31.93,97250
236,0.479,BARO2,32.01,97344
237,0.489,BARO0,31.54,97139
238,0.489,BARO1,31.94,97233
239,0.489,BARO2,31.99,97341
240,0.499,BARO0,31.54,97118
241,0.499,BARO1,31.94,97233
242,0.499,BARO2,32.01,97344
243,0.509,BARO0,31.56,97122
244,0.509,BARO1,31.93,97229
245,0.509,BARO2,31.99,97320
246,0.519,BARO0,31.54,97139
247,0.519,BARO1,31.93,97229
248,0.519,BARO2,32.01,97344
249,0.529,BARO0,31.56,97122
250,0.529,BARO1,31.94,97233
251,0.529,BARO2,32.01,97323
252,0.539,BARO0,31.56,97122
253,0.539,BARO1,31.93,97208
254,0.539,BARO2,32.01,97323
255,0.549,BARO0,31.54,97139
256,0.549,BARO1,31.94,97212
257,0.549,BARO2,32.01,97323
258,0.559,BARO0,31.56,97122
259,0.559,BARO1,31.93,97208
260,0.559,BARO2,32.01,97302
261,0.569,BARO0,31.56,97143
262,0.569,BARO1,31.93,97208
263,0.569,BARO2,32.01,97323
264,0.579,BARO0,31.56,97101
265,0.579,BARO1,31.94,97191
266,0.579,BARO2,31.99,97298
267,0.589,BARO0,31.54,97097
268,0.589,BARO1,31.93,97208
269,0.589,BARO2,31.99,97298
270,0.599,BARO0,31.56,97101
271,0.599,BARO1,31.94,97191
272,0.599,BARO2,32.01,97281
273,0.609,BARO0,31.56,97080
274,0.609,BARO1,31.93,97167
275,0.609,BARO2,32.01,97281
276,0.619,BARO0,31.56,97080
277,0.619,BARO1,31.93,97167
278,0.619,BARO2,32.01,97281
279,0.629,BARO0,31.54,97076
280,0.629,BARO1,31.94,97171
281,0.629,BARO2,31.99,97298
282,0.639,BARO0,31.54,97055
283,0.639,BARO1,31.94,97150
284,0.639,BARO2,32.01,97260
285,0.649,BARO0,31.54,97076
286,0.649,BARO1,31.93,97146
287,0.649,BARO2,32.03,97284
288,0.659,BARO0,31.56,97080
289,0.659,BARO1,31.94,97171
290,0.659,BARO2,31.99,97256
291,0.669,BARO0,31.54,97055
292,0.669,BARO1,31.94,97129
293,0.669,BARO2,32.01,97238
294,0.679,BARO0,31.56,97059
295,0.679,BARO1,31.94,97129
296,0.679,BARO2,31.99,97256
297,0.689,BARO0,31.56,97038
298,0.689,BARO1,31.93,97126
299,0.689,BARO2,32.01,97260
300,0.699,BARO0,31.54,97034
301,0.699,BARO1,31.94,97129
302,0.699,BARO2,31.99,97235
303,0.709,BARO0,31.54,97034
304,0.709,BARO1,31.94,97129
305,0.709,BARO2,32.03,97242
306,0.719,BARO0,31.56,97038
307,0.719,BARO1,31.94,97129
308,0.719,BARO2,32.01,97217
309,0.729,BARO0,31.56,97016
310,0.729,BARO1,31.94,97109
311,0.729,BARO2,31.99,97214
312,0.739,BARO0,31.56,96995
313,0.739,BARO1,31.93,97084
314,0.739,BARO2,31.99,97214
315,0.749,BARO0,31.54,97013
316,0.749,BARO1,31.94,97109
317,0.749,BARO2,32.01,97238
318,0.759,BARO0,31.54,97013
319,0.759,BARO1,31.93,97084
320,0.759,BARO2,31.99,97214
321,0.769,BARO0,31.56,97016
322,0.769,BARO1,31.93,97105
323,0.769,BARO2,31.99,97192
324,0.779,BARO0,31.54,97013
325,0.779,BARO1,31.94,97088
326,0.779,BARO2,32.01,97175
327,0.789,BARO0,31.56,96995
328,0.789,BARO1,31.94,97088
329,0.789,BARO2,32.01,97196
330,0.799,BARO0,31.56,96974
331,0.799,BARO1,31.93,97084
332,0.799,BARO2,31.99,97214
333,0.809,BARO0,31.54,96971
334,0.809,BARO1,31.94,97067
335,0.809,BARO2,32.01,97217
336,0.819,BARO0,31.56,96974
337,0.819,BARO1,31.93,97084
338,0.819,BARO2,31.99,97171
339,0.829,BARO0,31.54,96971
340,0.829,BARO1,31.93,97064
341,0.829,BARO2,32.01,97175
342,0.839,BARO0,31.54,96992
343,0.839,BARO1,31.94,97067
344,0.839,BARO2,32.01,97175
345,0.849,BARO0,31.54,96971
346,0.849,BARO1,31.93,97064
347,0.849,BARO2,32.01,97196
348,0.859,BARO0,31.54,96971
349,0.859,BARO1,31.93,97043
350,0.859,BARO2,32.01,97175
351,0.869,BARO0,31.56,96953
352,0.869,BARO1,31.93,97064
353,0.869,BARO2,32.01,97154
354,0.879,BARO0,31.54,96950
355,0.879,BARO1,31.93,97064
356,0.879,BARO2,31.99,97171
357,0.889,BARO0,31.54,96950
358,0.889,BARO1,31.93,97022
359,0.889,BARO2,32.01,97154
360,0.899,BARO0,31.56,96953
361,0.899,BARO1,31.93,97022
362,0.899,BARO2,32.01,97154
363,0.909,BARO0,31.56,96932
364,0.909,BARO1,31.94,97026
365,0.909,BARO2,31.99,97150
366,0.919,BARO0,31.56,96932
367,0.919,BARO1,31.93,97022
368,0.919,BARO2,31.99,97129
369,0.929,BARO0,31.54,96908
370,0.929,BARO1,31.93,97002
371,0.929,BARO2,31.99,97129
372,0.939,BARO0,31.54,96929
373,0.939,BARO1,31.93,97022
374,0.939,BARO2,32.01,97111
375,0.949,BARO0,31.56,96932
376,0.949,BARO1,31.94,97005
377,0.949,BARO2,32.01,97132
378,0.959,BARO0,31.54,96929
379,0.959,BARO1,31.93,97002
380,0.959,BARO2,32.01,97111
381,0.969,BARO0,31.56,96911
382,0.969,BARO1,31.93,97002
383,0.969,BARO2,32.01,97132
384,0.979,BARO0,31.52,96904
385,0.979,BARO1,31.93,96981
386,0.979,BARO2,32.01,97090
387,0.989,BARO0,31.54,96887
388,0.989,BARO1,31.93,96981
389,0.989,BARO2,32.03,97094
390,0.999,BARO0,31.54,96908
391,0.999,BARO1,31.93,97002
392,0.999,BARO2,32.01,97090
393,1.009,BARO0,31.54,96908
394,1.009,BARO1,31.94,97005
395,1.009,BARO2,31.99,97108
396,1.019,BARO0,31.56,96890
397,1.019,BARO1,31.93,96981
398,1.019,BARO2,32.01,97090
399,1.029,BARO0,31.56,96869
400,1.029,BARO1,31.94,96964
401,1.029,BARO2,31.99,97086
402,1.039,BARO0,31.56,96869
403,1.039,BARO1,31.93,96981
404,1.039,BARO2,31.99,97086
405,1.049,BARO0,31.56,96890
406,1.049,BARO1,31.93,96960
407,1.049,BARO2,32.01,97090
