,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,376782,0,1,0,0,0,0
1,376792,0,1,0,0,0,0
2,376802,0,1,0,0,0,0
3,376812,0,1,0,0,0,0
4,376822,0,1,0,0,0,0
5,376832,0,1,0,0,0,0
6,376842,0,1,0,0,0,0
7,376852,0,1,0,0,0,0
8,376862,0,1,0,0,0,0
9,376872,0,1,0,0,0,0
10,376882,0,1,0,0,0,0
11,376892,0,1,0,0,0,0
12,376902,0,1,0,0,0,0
13,376912,0,1,0,0,0,0
14,376922,0,1,0,0,0,0
15,376932,0,1,0,0,0,0
16,376942,0,1,0,0,0,0
17,376952,0,1,0,0,0,0
18,376962,0,1,0,0,0,0
19,376972,0,1,0,0,0,0
20,376982,0,1,0,0,0,0
21,376992,0,1,0,0,0,0
22,377002,0,1,0,0,0,0
23,377012,0,1,0,0,0,0
24,377022,0,1,0,0,0,0
25,377032,0,1,0,0,0,0
26,377042,0,1,0,0,0,0
27,377052,0,1,0,0,0,0
28,377062,0,1,0,0,0,0
29,377072,0,1,0,0,0,0
30,377082,0,1,0,0,0,0
31,377092,0,1,0,0,0,0
32,377102,0,1,0,0,0,0
33,377112,0,1,0,0,0,0
34,377122,0,1,0,0,0,0
35,377132,0,1,0,0,0,0
36,377142,0,1,0,0,0,0
37,377152,0,1,0,0,0,0
38,377162,0,1,0,0,0,0
39,377172,0,1,0,0,0,0
40,377182,0,1,0,0,0,0
41,377192,0,1,0,0,0,0
42,377202,0,1,0,0,0,0
43,377212,0,1,0,0,0,0
44,377222,0,1,0,0,0,0
45,377232,0,1,0,0,0,0
46,377242,0,1,0,0,0,0
47,377252,0,1,0,0,0,0
48,377262,0,1,0,0,0,0
49,377272,0,1,0,0,0,0
50,377282,0,1,0,0,0,0
51,377292,0,1,0,0,0,0
52,377302,0,1,0,0,0,0
53,377312,0,1,0,0,0,0
54,377322,0,1,0,0,0,0
55,377332,0,1,0,0,0,0
56,377342,0,1,0,0,0,0
57,377352,0,1,0,0,0,0
58,377362,0,1,0,0,0,0
59,377372,0,1,0,0,0,0
60,377382,0,1,0,0,0,0
61,377392,0,1,0,0,0,0
62,377402,0,1,0,0,0,0
63,377412,0,1,0,0,0,0
64,377422,0,1,0,0,0,0
65,377432,0,1,0,0,0,0
66,377442,0,1,0,0,0,0
67,377452,0,1,0,0,0,0
68,377462,0,1,0,0,0,0
69,377472,0,1,0,0,0,0
70,377482,0,1,0,0,0,0
71,377492,0,1,0,0,0,0
72,377502,0,1,0,0,0,0
73,377512,0,1,0,0,0,0
74,377522,0,1,0,0,0,0
75,377532,0,1,0,0,0,0
76,377542,0,1,0,0,0,0
77,377552,0,1,0,0,0,0
78,377562,0,1,0,0,0,0
79,377572,0,1,0,0,0,0
80,377582,0,1,0,0,0,0
81,377592,0,1,0,0,0,0
82,377602,0,1,0,0,0,0
83,377612,0,1,0,0,0,0
84,377622,0,1,0,0,0,0
85,377632,0,1,0,0,0,0
86,377642,0,1,0,0,0,0
87,377652,0,1,0,0,0,0
88,377662,0,1,0,0,0,0
89,377672,0,1,0,0,0,0
90,377682,0,1,0,0,0,0
91,377692,0,1,0,0,0,0
92,377702,0,1,0,0,0,0
93,377712,0,1,0,0,0,0
94,377722,0,1,0,0,0,0
95,377732,0,1,0,0,0,0
96,377742,0,1,0,0,0,0
97,377752,0,1,0,0,0,0
98,377762,0,1,0,0,0,0
99,377772,0,1,0,0,0,0
100,377782,0,1,0,0,0,0
101,377792,0,1,0,0,0,0
102,377802,0,1,0,0,0,0
103,377812,0,1,0,0,0,0
104,377822,0,1,0,0,0,0
105,377832,0,1,0,0,0,0
106,377842,0,1,0,0,0,0
107,377852,0,1,0,0,0,0
108,377862,0,1,0,0,0,0
109,377872,0,1,0,0,0,0
110,377882,0,1,0,0,0,0
111,377892,0,1,0,0,0,0
112,377902,0,1,0,0,0,0
113,377912,0,1,0,0,0,0
114,377922,0,1,0,0,0,0
115,377932,0,1,0,0,0,0
116,377942,0,1,0,0,0,0
117,377952,0,1,0,0,0,0
118,377962,0,1,0,0,0,0
119,377972,0,1,0,0,0,0
120,377982,0,1,0,0,0,0
121,377992,0,1,0,0,0,0
122,378002,0,1,0,0,0,0
123,378012,0,1,0,0,0,0
124,378022,0,1,0,0,0,0
125,378032,0,1,0,0,0,0
126,378042,0,1,0,0,0,0
127,378052,0,1,0,0,0,0
128,378062,0,1,0,0,0,0
129,378072,0,1,0,0,0,0
130,378082,0,1,0,0,0,0
131,378092,0,1,0,0,0,0
132,378102,0,1,0,0,0,0
