,ts,id,T,P
0,0.0,BARO0,29.34,96794
1,0.0,BARO1,29.34,96715
2,0.0,BARO2,30.31,96723
3,0.01,BARO0,29.34,96795
4,0.01,BARO1,29.34,96717
5,0.01,BARO2,30.31,96726
6,0.02,BARO0,29.34,96800
7,0.02,BARO1,29.34,96721
8,0.02,BARO2,30.31,96722
9,0.03,BARO0,29.34,96792
10,0.03,BARO1,29.34,96720
11,0.03,BARO2,30.31,96723
12,0.04,BARO0,29.34,96798
13,0.04,BARO1,29.33,96725
14,0.04,BARO2,30.31,96718
15,0.05,BARO0,29.34,96798
16,0.05,BARO1,29.34,96715
17,0.05,BARO2,30.31,96728
18,0.06,BARO0,29.34,96798
19,0.06,BARO1,29.34,96723
20,0.06,BARO2,30.31,96727
21,0.07,BARO0,29.34,96796
22,0.07,BARO1,29.34,96719
23,0.07,BARO2,30.31,96723
24,0.08,BARO0,29.34,96797
25,0.08,BARO1,29.34,96720
26,0.08,BARO2,30.31,96730
27,0.09,BARO0,29.34,96795
28,0.09,BARO1,29.34,96720
29,0.09,BARO2,30.31,96723
30,0.1,BARO0,29.34,96795
31,0.1,BARO1,29.33,96717
32,0.1,BARO2,30.31,96723
33,0.11,BARO0,29.34,96794
34,0.11,BARO1,29.34,96721
35,0.11,BARO2,30.31,96717
36,0.12,BARO0,29.34,96799
37,0.12,BARO1,29.34,96724
38,0.12,BARO2,30.31,96728
39,0.13,BARO0,29.34,96799
40,0.13,BARO1,29.34,96717
41,0.13,BARO2,30.31,96733
42,0.14,BARO0,29.34,96797
43,0.14,BARO1,29.34,96722
44,0.14,BARO2,30.31,96725
45,0.15,BARO0,29.34,96790
46,0.15,BARO1,29.34,96728
47,0.15,BARO2,30.31,96722
48,0.16,BARO0,29.34,96797
49,0.16,BARO1,29.34,96722
50,0.16,BARO2,30.31,96720
51,0.17,BARO0,29.34,96792
52,0.17,BARO1,29.34,96713
53,0.17,BARO2,30.31,96718
54,0.18,BARO0,29.34,96785
55,0.18,BARO1,29.34,96719
56,0.18,BARO2,30.31,96723
57,0.19,BARO0,29.35,96796
58,0.19,BARO1,29.34,96720
59,0.19,BARO2,30.31,96727
60,0.2,BARO0,29.35,96801
61,0.2,BARO1,29.34,96724
62,0.2,BARO2,30.31,96722
63,0.21,BARO0,29.35,96797
64,0.21,BARO1,29.34,96719
65,0.21,BARO2,30.31,96716
66,0.22,BARO0,29.34,96798
67,0.22,BARO1,29.34,96725
68,0.22,BARO2,30.31,96728
69,0.23,BARO0,29.34,96794
70,0.23,BARO1,29.34,96721
71,0.23,BARO2,30.31,96724
72,0.24,BARO0,29.34,96793
73,0.24,BARO1,29.34,96718
74,0.24,BARO2,30.31,96723
75,0.25,BARO0,29.34,96798
76,0.25,BARO1,29.34,96718
77,0.25,BARO2,30.31,96722
78,0.26,BARO0,29.34,96807
79,0.26,BARO1,29.34,96729
80,0.26,BARO2,30.31,96724
81,0.27,BARO0,29.34,96802
82,0.27,BARO1,29.34,96727
83,0.27,BARO2,30.31,96726
84,0.28,BARO0,29.34,96806
85,0.28,BARO1,29.34,96725
86,0.28,BARO2,30.31,96719
87,0.29,BARO0,29.34,96800
88,0.29,BARO1,29.34,96720
89,0.29,BARO2,30.31,96725
90,0.3,BARO0,29.34,96795
91,0.3,BARO1,29.33,96727
92,0.3,BARO2,30.31,96727
93,0.31,BARO0,29.34,96801
94,0.31,BARO1,29.33,96727
95,0.31,BARO2,30.31,96719
96,0.32,BARO0,29.34,96805
97,0.32,BARO1,29.34,96719
98,0.32,BARO2,30.3,96723
99,0.33,BARO0,29.34,96803
100,0.33,BARO1,29.34,96731
101,0.33,BARO2,30.31,96718
102,0.34,BARO0,29.34,96807
103,0.34,BARO1,29.34,96731
104,0.34,BARO2,30.3,96723
105,0.35,BARO0,29.34,96803
106,0.35,BARO1,29.34,96726
107,0.35,BARO2,30.31,96720
108,0.36,BARO0,29.34,96799
109,0.36,BARO1,29.33,96719
110,0.36,BARO2,30.31,96722
111,0.37,BARO0,29.34,96798
112,0.37,BARO1,29.34,96720
113,0.37,BARO2,30.31,96724
114,0.38,BARO0,29.34,96801
115,0.38,BARO1,29.34,96724
116,0.38,BARO2,30.3,96719
117,0.39,BARO0,29.34,96795
118,0.39,BARO1,29.33,96720
119,0.39,BARO2,30.3,96719
120,0.4,BARO0,29.34,96801
121,0.4,BARO1,29.33,96717
122,0.4,BARO2,30.3,96714
123,0.41,BARO0,29.34,96798
124,0.41,BARO1,29.34,96717
125,0.41,BARO2,30.31,96720
126,0.42,BARO0,29.34,96799
127,0.42,BARO1,29.34,96715
128,0.42,BARO2,30.3,96723
129,0.43,BARO0,29.34,96795
130,0.43,BARO1,29.34,96714
131,0.43,BARO2,30.31,96712
132,0.44,BARO0,29.34,96803
133,0.44,BARO1,29.34,96722
134,0.44,BARO2,30.3,96725
135,0.45,BARO0,29.34,96797
136,0.45,BARO1,29.34,96718
137,0.45,BARO2,30.3,96718
138,0.46,BARO0,29.34,96790
139,0.46,BARO1,29.33,96719
140,0.46,BARO2,30.3,96720
141,0.47,BARO0,29.34,96793
142,0.47,BARO1,29.33,96715
143,0.47,BARO2,30.3,96718
144,0.48,BARO0,29.34,96796
145,0.48,BARO1,29.33,96717
146,0.48,BARO2,30.3,96721
147,0.49,BARO0,29.34,96792
148,0.49,BARO1,29.33,96722
149,0.49,BARO2,30.3,96716
150,0.5,BARO0,29.34,96785
151,0.5,BARO1,29.33,96718
152,0.5,BARO2,30.3,96717
153,0.51,BARO0,29.34,96795
154,0.51,BARO1,29.33,96710
155,0.51,BARO2,30.3,96722
156,0.52,BARO0,29.34,96783
157,0.52,BARO1,29.33,96719
158,0.52,BARO2,30.3,96717
159,0.53,BARO0,29.34,96789
160,0.53,BARO1,29.33,96723
161,0.53,BARO2,30.3,96721
162,0.54,BARO0,29.33,96786
163,0.54,BARO1,29.33,96712
164,0.54,BARO2,30.29,96714
165,0.55,BARO0,29.34,96788
166,0.55,BARO1,29.33,96713
167,0.55,BARO2,30.3,96711
168,0.56,BARO0,29.33,96792
169,0.56,BARO1,29.33,96716
170,0.56,BARO2,30.3,96712
171,0.57,BARO0,29.33,96786
172,0.57,BARO1,29.33,96713
173,0.57,BARO2,30.29,96721
174,0.58,BARO0,29.33,96791
175,0.58,BARO1,29.32,96716
176,0.58,BARO2,30.29,96711
177,0.59,BARO0,29.33,96786
178,0.59,BARO1,29.32,96711
179,0.59,BARO2,30.29,96720
180,0.6,BARO0,29.33,96786
181,0.6,BARO1,29.32,96716
182,0.6,BARO2,30.29,96724
183,0.61,BARO0,29.33,96794
184,0.61,BARO1,29.33,96714
185,0.61,BARO2,30.29,96712
186,0.62,BARO0,29.33,96792
187,0.62,BARO1,29.32,96715
188,0.62,BARO2,30.29,96716
189,0.63,BARO0,29.33,96794
190,0.63,BARO1,29.32,96714
191,0.63,BARO2,30.29,96706
192,0.64,BARO0,29.33,96790
193,0.64,BARO1,29.32,96712
194,0.64,BARO2,30.29,96716
195,0.65,BARO0,29.33,96792
196,0.65,BARO1,29.32,96712
197,0.65,BARO2,30.29,96717
198,0.66,BARO0,29.33,96790
199,0.66,BARO1,29.31,96710
200,0.66,BARO2,30.29,96711
201,0.67,BARO0,29.33,96791
202,0.67,BARO1,29.32,96714
203,0.67,BARO2,30.29,96709
204,0.68,BARO0,29.33,96798
205,0.68,BARO1,29.32,96713
206,0.68,BARO2,30.28,96714
207,0.69,BARO0,29.33,96785
208,0.69,BARO1,29.32,96712
209,0.69,BARO2,30.29,96714
210,0.7,BARO0,29.33,96800
211,0.7,BARO1,29.31,96719
212,0.7,BARO2,30.28,96709
213,0.71,BARO0,29.33,96794
214,0.71,BARO1,29.31,96714
215,0.71,BARO2,30.28,96709
216,0.72,BARO0,29.32,96789
217,0.72,BARO1,29.31,96719
218,0.72,BARO2,30.28,96714
219,0.73,BARO0,29.33,96784
220,0.73,BARO1,29.31,96715
221,0.73,BARO2,30.28,96725
222,0.74,BARO0,29.32,96790
223,0.74,BARO1,29.31,96717
224,0.74,BARO2,30.29,96712
225,0.75,BARO0,29.33,96792
226,0.75,BARO1,29.31,96716
227,0.75,BARO2,30.28,96712
228,0.76,BARO0,29.33,96789
229,0.76,BARO1,29.31,96715
230,0.76,BARO2,30.28,96720
231,0.77,BARO0,29.33,96786
232,0.77,BARO1,29.31,96715
233,0.77,BARO2,30.28,96717
234,0.78,BARO0,29.32,96788
235,0.78,BARO1,29.31,96713
236,0.78,BARO2,30.28,96712
237,0.79,BARO0,29.32,96796
238,0.79,BARO1,29.31,96713
239,0.79,BARO2,30.28,96713
240,0.8,BARO0,29.33,96794
241,0.8,BARO1,29.31,96714
242,0.8,BARO2,30.28,96715
243,0.81,BARO0,29.33,96794
244,0.81,BARO1,29.31,96715
245,0.81,BARO2,30.28,96713
246,0.82,BARO0,29.32,96787
247,0.82,BARO1,29.31,96708
248,0.82,BARO2,30.28,96720
249,0.83,BARO0,29.32,96788
250,0.83,BARO1,29.31,96716
251,0.83,BARO2,30.28,96719
252,0.84,BARO0,29.32,96789
