,ts,id,T,P
0,35714,BARO0,2934,96794
1,35714,BARO1,2934,96715
2,35714,BARO2,3031,96723
3,35724,BARO0,2934,96795
4,35724,BARO1,2934,96717
5,35724,BARO2,3031,96726
6,35734,BARO0,2934,96800
7,35734,BARO1,2934,96721
8,35734,BARO2,3031,96722
9,35744,BARO0,2934,96792
10,35744,BARO1,2934,96720
11,35744,BARO2,3031,96723
12,35754,BARO0,2934,96798
13,35754,BARO1,2933,96725
14,35754,BARO2,3031,96718
15,35764,BARO0,2934,96798
16,35764,BARO1,2934,96715
17,35764,BARO2,3031,96728
18,35774,BARO0,2934,96798
19,35774,BARO1,2934,96723
20,35774,BARO2,3031,96727
21,35784,BARO0,2934,96796
22,35784,BARO1,2934,96719
23,35784,BARO2,3031,96723
24,35794,BARO0,2934,96797
25,35794,BARO1,2934,96720
26,35794,BARO2,3031,96730
27,35804,BARO0,2934,96795
28,35804,BARO1,2934,96720
29,35804,BARO2,3031,96723
30,35814,BARO0,2934,96795
31,35814,BARO1,2933,96717
32,35814,BARO2,3031,96723
33,35824,BARO0,2934,96794
34,35824,BARO1,2934,96721
35,35824,BARO2,3031,96717
36,35834,BARO0,2934,96799
37,35834,BARO1,2934,96724
38,35834,BARO2,3031,96728
39,35844,BARO0,2934,96799
40,35844,BARO1,2934,96717
41,35844,BARO2,3031,96733
42,35854,BARO0,2934,96797
43,35854,BARO1,2934,96722
44,35854,BARO2,3031,96725
45,35864,BARO0,2934,96790
46,35864,BARO1,2934,96728
47,35864,BARO2,3031,96722
48,35874,BARO0,2934,96797
49,35874,BARO1,2934,96722
50,35874,BARO2,3031,96720
51,35884,BARO0,2934,96792
52,35884,BARO1,2934,96713
53,35884,BARO2,3031,96718
54,35894,BARO0,2934,96785
55,35894,BARO1,2934,96719
56,35894,BARO2,3031,96723
57,35904,BARO0,2935,96796
58,35904,BARO1,2934,96720
59,35904,BARO2,3031,96727
60,35914,BARO0,2935,96801
61,35914,BARO1,2934,96724
62,35914,BARO2,3031,96722
63,35924,BARO0,2935,96797
64,35924,BARO1,2934,96719
65,35924,BARO2,3031,96716
66,35934,BARO0,2934,96798
67,35934,BARO1,2934,96725
68,35934,BARO2,3031,96728
69,35944,BARO0,2934,96794
70,35944,BARO1,2934,96721
71,35944,BARO2,3031,96724
72,35954,BARO0,2934,96793
73,35954,BARO1,2934,96718
74,35954,BARO2,3031,96723
75,35964,BARO0,2934,96798
76,35964,BARO1,2934,96718
77,35964,BARO2,3031,96722
78,35974,BARO0,2934,96807
79,35974,BARO1,2934,96729
80,35974,BARO2,3031,96724
81,35984,BARO0,2934,96802
82,35984,BARO1,2934,96727
83,35984,BARO2,3031,96726
84,35994,BARO0,2934,96806
85,35994,BARO1,2934,96725
86,35994,BARO2,3031,96719
87,36004,BARO0,2934,96800
88,36004,BARO1,2934,96720
89,36004,BARO2,3031,96725
90,36014,BARO0,2934,96795
91,36014,BARO1,2933,96727
92,36014,BARO2,3031,96727
93,36024,BARO0,2934,96801
94,36024,BARO1,2933,96727
95,36024,BARO2,3031,96719
96,36034,BARO0,2934,96805
97,36034,BARO1,2934,96719
98,36034,BARO2,3030,96723
99,36044,BARO0,2934,96803
100,36044,BARO1,2934,96731
101,36044,BARO2,3031,96718
102,36054,BARO0,2934,96807
103,36054,BARO1,2934,96731
104,36054,BARO2,3030,96723
105,36064,BARO0,2934,96803
106,36064,BARO1,2934,96726
107,36064,BARO2,3031,96720
108,36074,BARO0,2934,96799
109,36074,BARO1,2933,96719
110,36074,BARO2,3031,96722
111,36084,BARO0,2934,96798
112,36084,BARO1,2934,96720
113,36084,BARO2,3031,96724
114,36094,BARO0,2934,96801
115,36094,BARO1,2934,96724
116,36094,BARO2,3030,96719
117,36104,BARO0,2934,96795
118,36104,BARO1,2933,96720
119,36104,BARO2,3030,96719
120,36114,BARO0,2934,96801
121,36114,BARO1,2933,96717
122,36114,BARO2,3030,96714
123,36124,BARO0,2934,96798
124,36124,BARO1,2934,96717
125,36124,BARO2,3031,96720
126,36134,BARO0,2934,96799
127,36134,BARO1,2934,96715
128,36134,BARO2,3030,96723
129,36144,BARO0,2934,96795
130,36144,BARO1,2934,96714
131,36144,BARO2,3031,96712
132,36154,BARO0,2934,96803
133,36154,BARO1,2934,96722
134,36154,BARO2,3030,96725
135,36164,BARO0,2934,96797
136,36164,BARO1,2934,96718
137,36164,BARO2,3030,96718
138,36174,BARO0,2934,96790
139,36174,BARO1,2933,96719
140,36174,BARO2,3030,96720
141,36184,BARO0,2934,96793
142,36184,BARO1,2933,96715
143,36184,BARO2,3030,96718
144,36194,BARO0,2934,96796
145,36194,BARO1,2933,96717
146,36194,BARO2,3030,96721
147,36204,BARO0,2934,96792
148,36204,BARO1,2933,96722
149,36204,BARO2,3030,96716
150,36214,BARO0,2934,96785
151,36214,BARO1,2933,96718
152,36214,BARO2,3030,96717
153,36224,BARO0,2934,96795
154,36224,BARO1,2933,96710
155,36224,BARO2,3030,96722
