,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,35714,IMU1,7,-79,14,-203,-44,1100
1,35724,IMU0,184,-263,-82,-177,42,1100
2,35724,IMU1,10,-268,3,-217,-55,1101
3,35734,IMU0,184,-402,-78,-198,-35,1102
4,35734,IMU1,10,-400,8,-237,-134,1102
5,35744,IMU0,183,-324,-102,-219,-72,1103
6,35744,IMU1,13,-323,-22,-268,-166,1095
7,35754,IMU0,198,-517,-128,-215,-41,1100
8,35754,IMU1,23,-529,-45,-245,-132,1099
9,35764,IMU0,188,-565,-17,-119,-4,1108
10,35764,IMU1,9,-556,74,-142,-99,1109
11,35774,IMU0,178,-267,86,-8,28,1109
12,35774,IMU1,-3,-242,182,-39,-67,1114
13,35784,IMU0,191,132,124,56,284,1111
14,35784,IMU1,13,159,228,25,203,1122
15,35794,IMU0,176,405,72,69,285,1116
16,35794,IMU1,4,407,183,12,188,1128
17,35804,IMU0,183,450,-94,-30,220,1114
18,35804,IMU1,19,464,9,-84,118,1120
19,35814,IMU0,194,346,-163,-106,109,1117
20,35814,IMU1,29,367,-68,-149,8,1115
21,35824,IMU0,190,195,-168,-111,54,1111
22,35824,IMU1,27,212,-77,-149,-44,1111
23,35834,IMU0,184,61,-163,-110,33,1106
24,35834,IMU1,18,76,-75,-147,-62,1106
25,35844,IMU0,180,-46,-136,-119,43,1106
26,35844,IMU1,12,-35,-49,-156,-50,1107
27,35854,IMU0,177,-112,-114,-111,55,1106
28,35854,IMU1,9,-104,-27,-148,-39,1109
29,35864,IMU0,180,-123,-104,-92,62,1111
30,35864,IMU1,10,-119,-14,-132,-32,1113
31,35874,IMU0,184,-35,-97,-70,64,1115
32,35874,IMU1,12,-32,-6,-109,-31,1116
33,35884,IMU0,185,137,-83,-40,77,1122
34,35884,IMU1,14,141,10,-79,-19,1126
35,35894,IMU0,182,388,-55,-43,81,1116
36,35894,IMU1,14,394,46,-80,-17,1121
37,35904,IMU0,172,448,8,-58,111,1123
38,35904,IMU1,4,458,111,-89,15,1127
39,35914,IMU0,141,69,201,-43,94,1119
40,35914,IMU1,-38,79,296,-67,3,1125
41,35924,IMU0,98,-315,428,109,98,1151
42,35924,IMU1,-92,-322,519,89,2,1164
43,35934,IMU0,-48,-572,656,205,56,1282
44,35934,IMU1,-253,-586,750,168,-44,1296
45,35944,IMU0,-287,-875,544,222,-8,1439
46,35944,IMU1,-496,-883,634,151,-116,1466
47,35954,IMU0,-639,-1366,186,139,47,1685
