,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,35705,6500,-645,-128,7570,6500,-645,-128,7570
1,35715,6514,-659,-170,7556,6514,-659,-170,7556
2,35725,6531,-632,-267,7541,6531,-632,-267,7541
3,35735,6553,-604,-386,7519,6553,-604,-386,7519
4,35745,6577,-591,-450,7495,6577,-591,-450,7495
5,35755,6587,-536,-411,7493,6587,-536,-411,7493
6,35765,6566,-444,-295,7523,6566,-444,-295,7523
7,35775,6523,-489,-50,7563,6523,-489,-50,7563
8,35785,6460,-523,137,7613,6460,-523,137,7613
9,35795,6392,-582,236,7664,6392,-582,236,7664
10,35805,6350,-617,201,7697,6350,-617,201,7697
11,35815,6329,-611,132,7716,6329,-611,132,7716
12,35825,6322,-590,66,7724,6322,-590,66,7724
13,35835,6324,-582,18,7724,6324,-582,18,7724
14,35845,6328,-575,-4,7721,6328,-575,-4,7721
15,35855,6328,-559,-4,7722,6328,-559,-4,7722
16,35865,6323,-533,8,7728,6323,-533,8,7728
17,35875,6310,-504,41,7740,6310,-504,41,7740
18,35885,6299,-495,62,7750,6299,-495,62,7750
19,35895,6296,-517,89,7751,6296,-517,89,7751
20,35905,6296,-500,117,7751,6296,-500,117,7751
21,35915,6274,-404,207,7773,6274,-404,207,7773
22,35925,6248,-376,228,7795,6248,-376,228,7795
23,35935,6209,-328,249,7827,6209,-328,249,7827
24,35945,6147,-247,270,7879,6147,-247,270,7879
25,35955,6055,-125,298,7951,6055,-125,298,7951
26,35965,5938,36,340,8038,5938,36,340,8038
27,35975,5796,225,392,8135,5796,225,392,8135
28,35985,5636,428,448,8237,5636,428,448,8237
29,35995,5449,637,506,8344,5449,637,506,8344
30,36005,5263,858,585,8438,5263,858,585,8438
31,36015,5080,1061,675,8520,5080,1061,675,8520
32,36025,4907,1203,761,8596,4907,1203,761,8596
33,36035,4742,1273,835,8671,4742,1273,835,8671
34,36045,4585,1289,901,8746,4585,1289,901,8746
35,36055,4428,1273,966,8822,4428,1273,966,8822
36,36065,4264,1233,1033,8900,4264,1233,1033,8900
37,36075,4097,1170,1099,8979,4097,1170,1099,8979
38,36085,3934,1087,1159,9054,3934,1087,1159,9054
39,36095,3780,986,1213,9124,3780,986,1213,9124
40,36105,3637,870,1264,9187,3637,870,1264,9187
41,36115,3509,738,1314,9241,3509,738,1314,9241
42,36125,3421,620,1285,9287,3421,620,1285,9287
43,36135,3423,617,1064,9314,3423,617,1064,9314
44,36145,3456,739,874,9313,3456,739,874,9313
45,36155,3498,910,712,9296,3498,910,712,9296
46,36165,3479,757,811,9309,3479,757,811,9309
47,36175,3440,600,913,9325,3440,600,913,9325
48,36185,3375,452,1021,9346,3375,452,1021,9346
49,36195,3283,316,1136,9371,3283,316,1136,9371
50,36205,3153,199,1258,9403,3153,199,1258,9403
51,36215,2966,118,1390,9447,2966,118,1390,9447
52,36225,2704,89,1533,9503,2704,89,1533,9503
53,36235,2291,125,1679,9587,2291,125,1679,9587
54,36245,1824,206,1812,9661,1824,206,1812,9661
55,36255,1344,308,1921,9716,1344,308,1921,9716
56,36265,886,431,2005,9747,886,431,2005,9747
57,36275,472,572,2068,9755,472,572,2068,9755
58,36285,117,720,2115,9746,117,720,2115,9746
59,36295,-182,861,2153,9725,-182,861,2153,9725
60,36305,-432,978,2184,9699,-432,978,2184,9699
61,36315,-646,1070,2207,9672,-646,1070,2207,9672
62,36325,-835,1144,2221,9646,-835,1144,2221,9646
63,36335,-996,1209,2222,9623,-996,1209,2222,9623
64,36345,-1126,1268,2213,9603,-1126,1268,2213,9603
65,36355,-1227,1327,2197,9586,-1227,1327,2197,9586
66,36365,-1301,1384,2178,9573,-1301,1384,2178,9573
67,36375,-1346,1436,2159,9563,-1346,1436,2159,9563
68,36385,-1365,1475,2142,9558,-1365,1475,2142,9558
69,36395,-1361,1499,2131,9558,-1361,1499,2131,9558
70,36405,-1344,1509,2125,9560,-1344,1509,2125,9560
71,36415,-1320,1509,2122,9564,-1320,1509,2122,9564
72,36425,-1294,1504,2118,9569,-1294,1504,2118,9569
73,36435,-1266,1495,2111,9576,-1266,1495,2111,9576
74,36445,-1237,1484,2099,9584,-1237,1484,2099,9584
75,36455,-1202,1470,2085,9594,-1202,1470,2085,9594
