,ts,id,T,P
0,-0.75,BARO0,45.2,85292
1,-0.74,BARO0,45.19,85296
2,-0.73,BARO0,45.19,85287
3,-0.72,BARO0,45.2,85298
4,-0.71,BARO0,45.19,85294
5,-0.7,BARO0,45.2,85288
6,-0.69,BARO0,45.21,85297
7,-0.68,BARO0,45.2,85297
8,-0.67,BARO0,45.19,85291
9,-0.66,BARO0,45.19,85298
10,-0.65,BARO0,45.2,85299
11,-0.64,BARO0,45.2,85297
12,-0.63,BARO0,45.19,85291
13,-0.62,BARO0,45.19,85290
14,-0.61,BARO0,45.19,85305
15,-0.6,BARO0,45.19,85288
16,-0.59,BARO0,45.2,85296
17,-0.58,BARO0,45.19,85293
18,-0.57,BARO0,45.2,85310
19,-0.56,BARO0,45.2,85300
20,-0.55,BARO0,45.2,85301
21,-0.54,BARO0,45.2,85295
22,-0.53,BARO0,45.2,85295
23,-0.52,BARO0,45.19,85300
24,-0.51,BARO0,45.2,85291
25,-0.5,BARO0,45.2,85298
26,-0.49,BARO0,45.19,85295
27,-0.48,BARO0,45.2,85297
28,-0.47,BARO0,45.2,85292
29,-0.46,BARO0,45.2,85292
30,-0.45,BARO0,45.2,85306
31,-0.44,BARO0,45.19,85289
32,-0.43,BARO0,45.2,85292
33,-0.42,BARO0,45.2,85294
34,-0.41,BARO0,45.19,85295
35,-0.4,BARO0,45.19,85302
36,-0.39,BARO0,45.19,85299
37,-0.38,BARO0,45.19,85294
38,-0.37,BARO0,45.21,85293
39,-0.36,BARO0,45.2,85302
40,-0.35,BARO0,45.19,85299
41,-0.34,BARO0,45.2,85305
42,-0.33,BARO0,45.21,85303
43,-0.32,BARO0,45.2,85298
44,-0.31,BARO0,45.2,85299
45,-0.3,BARO0,45.19,85291
46,-0.29,BARO0,45.2,85303
47,-0.28,BARO0,45.2,85285
48,-0.27,BARO0,45.19,85307
49,-0.26,BARO0,45.19,85297
50,-0.25,BARO0,45.2,85299
51,-0.24,BARO0,45.2,85294
52,-0.23,BARO0,45.2,85315
53,-0.22,BARO0,45.19,85307
54,-0.21,BARO0,45.19,85296
55,-0.2,BARO0,45.2,85288
56,-0.19,BARO0,45.2,85297
57,-0.18,BARO0,45.2,85287
58,-0.17,BARO0,45.2,85302
59,-0.16,BARO0,45.2,85297
60,-0.15,BARO0,45.2,85297
61,-0.14,BARO0,45.2,85294
62,-0.13,BARO0,45.2,85289
63,-0.12,BARO0,45.2,85301
64,-0.11,BARO0,45.19,85302
65,-0.1,BARO0,45.2,85294
66,-0.09,BARO0,45.2,85296
67,-0.08,BARO0,45.19,85297
68,-0.07,BARO0,45.2,85300
69,-0.06,BARO0,45.2,85300
70,-0.05,BARO0,45.2,85289
71,-0.04,BARO0,45.2,85309
72,-0.03,BARO0,45.2,85289
73,-0.02,BARO0,45.19,85309
74,-0.01,BARO0,45.2,85305
75,0.0,BARO0,45.19,85299
76,0.01,BARO0,45.2,85300
77,0.02,BARO0,45.2,85305
78,0.03,BARO0,45.21,85298
79,0.04,BARO0,45.19,85291
80,0.05,BARO0,45.2,85290
81,0.06,BARO0,45.21,85292
82,0.07,BARO0,45.19,85298
83,0.08,BARO0,45.2,85292
84,0.09,BARO0,45.2,85303
85,0.1,BARO0,45.2,85299
86,0.11,BARO0,45.2,85289
87,0.12,BARO0,45.2,85294
88,0.13,BARO0,45.2,85295
89,0.14,BARO0,45.2,85301
90,0.15,BARO0,45.2,85298
91,0.16,BARO0,45.2,85291
92,0.17,BARO0,45.19,85292
93,0.18,BARO0,45.2,85300
94,0.19,BARO0,45.2,85296
95,0.2,BARO0,45.19,85300
96,0.21,BARO0,45.2,85302
97,0.22,BARO0,45.19,85298
98,0.23,BARO0,45.19,85295
99,0.24,BARO0,45.19,85287
100,0.25,BARO0,45.19,85305
101,0.26,BARO0,45.2,85299
102,0.27,BARO0,45.2,85294
103,0.28,BARO0,45.21,85288
104,0.29,BARO0,45.21,85292
105,0.3,BARO0,45.2,85288
106,0.31,BARO0,45.2,85284
107,0.32,BARO0,45.19,85278
108,0.33,BARO0,45.2,85280
109,0.34,BARO0,45.2,85298
110,0.35,BARO0,45.2,85281
111,0.36,BARO0,45.19,85296
112,0.37,BARO0,45.2,85281
113,0.38,BARO0,45.19,85285
114,0.39,BARO0,45.2,85296
115,0.4,BARO0,45.19,85283
116,0.41,BARO0,45.19,85279
117,0.42,BARO0,45.2,85276
118,0.43,BARO0,45.2,85273
119,0.44,BARO0,45.19,85281
120,0.45,BARO0,45.2,85272
121,0.46,BARO0,45.19,85281
122,0.47,BARO0,45.2,85280
123,0.48,BARO0,45.2,85282
124,0.49,BARO0,45.2,85273
125,0.5,BARO0,45.2,85275
126,0.51,BARO0,45.19,85287
127,0.52,BARO0,45.19,85265
128,0.53,BARO0,45.2,85281
129,0.54,BARO0,45.2,85274
130,0.55,BARO0,45.2,85271
131,0.56,BARO0,45.19,85270
132,0.57,BARO0,45.21,85275
133,0.58,BARO0,45.19,85271
134,0.59,BARO0,45.19,85279
135,0.6,BARO0,45.2,85273
136,0.61,BARO0,45.19,85273
137,0.62,BARO0,45.2,85260
138,0.63,BARO0,45.2,85258
139,0.64,BARO0,45.2,85264
140,0.65,BARO0,45.2,85268
141,0.66,BARO0,45.2,85259
142,0.67,BARO0,45.19,85261
143,0.68,BARO0,45.19,85262
144,0.69,BARO0,45.2,85262
145,0.7,BARO0,45.19,85259
146,0.71,BARO0,45.19,85256
147,0.72,BARO0,45.2,85254
148,0.73,BARO0,45.19,85256
149,0.74,BARO0,45.19,85257
150,0.75,BARO0,45.2,85271
151,0.76,BARO0,45.19,85246
152,0.77,BARO0,45.2,85260
153,0.78,BARO0,45.2,85249
154,0.79,BARO0,45.2,85248
155,0.8,BARO0,45.2,85247
156,0.81,BARO0,45.19,85242
157,0.82,BARO0,45.19,85254
158,0.83,BARO0,45.2,85254
159,0.84,BARO0,45.19,85242
160,0.85,BARO0,45.2,85252
161,0.86,BARO0,45.2,85239
162,0.87,BARO0,45.2,85245
163,0.88,BARO0,45.2,85237
164,0.89,BARO0,45.19,85239
165,0.9,BARO0,45.19,85234
166,0.91,BARO0,45.19,85236
167,0.92,BARO0,45.19,85235
168,0.93,BARO0,45.2,85234
169,0.94,BARO0,45.2,85232
170,0.95,BARO0,45.19,85235
171,0.96,BARO0,45.2,85241
172,0.97,BARO0,45.2,85234
173,0.98,BARO0,45.19,85234
174,0.99,BARO0,45.2,85223
175,1.0,BARO0,45.19,85212
176,1.01,BARO0,45.2,85226
177,1.02,BARO0,45.19,85211
178,1.03,BARO0,45.19,85221
179,1.04,BARO0,45.19,85207
180,1.05,BARO0,45.19,85212
181,1.06,BARO0,45.19,85207
182,1.07,BARO0,45.19,85212
183,1.08,BARO0,45.19,85206
184,1.09,BARO0,45.2,85202
185,1.1,BARO0,45.2,85213
186,1.11,BARO0,45.19,85204
187,1.12,BARO0,45.19,85188
188,1.13,BARO0,45.2,85206
189,1.14,BARO0,45.18,85200
190,1.15,BARO0,45.19,85192
191,1.16,BARO0,45.19,85192
192,1.17,BARO0,45.19,85187
193,1.18,BARO0,45.2,85184
194,1.19,BARO0,45.18,85197
195,1.2,BARO0,45.18,85181
196,1.21,BARO0,45.19,85187
197,1.22,BARO0,45.19,85188
198,1.23,BARO0,45.18,85174
199,1.24,BARO0,45.2,85175
200,1.25,BARO0,45.19,85177
201,1.26,BARO0,45.2,85176
202,1.27,BARO0,45.19,85167
203,1.28,BARO0,45.19,85169
204,1.29,BARO0,45.19,85168
205,1.3,BARO0,45.19,85168
206,1.31,BARO0,45.19,85162
207,1.32,BARO0,45.19,85167
208,1.33,BARO0,45.19,85165
209,1.34,BARO0,45.19,85144
210,1.35,BARO0,45.19,85156
211,1.36,BARO0,45.18,85155
212,1.37,BARO0,45.19,85149
213,1.38,BARO0,45.19,85143
214,1.39,BARO0,45.18,85134
215,1.4,BARO0,45.19,85144
216,1.41,BARO0,45.19,85139
217,1.42,BARO0,45.19,85153
218,1.43,BARO0,45.19,85145
219,1.44,BARO0,45.19,85131
220,1.45,BARO0,45.18,85138
221,1.46,BARO0,45.19,85120
222,1.47,BARO0,45.19,85130
223,1.48,BARO0,45.17,85119
224,1.49,BARO0,45.18,85120
225,1.5,BARO0,45.19,85125
226,1.51,BARO0,45.19,85127
227,1.52,BARO0,45.19,85110
228,1.53,BARO0,45.2,85118
229,1.54,BARO0,45.19,85119
230,1.55,BARO0,45.19,85107
231,1.56,BARO0,45.18,85109
232,1.57,BARO0,45.18,85113
233,1.58,BARO0,45.19,85103
234,1.59,BARO0,45.19,85102
235,1.6,BARO0,45.18,85085
236,1.61,BARO0,45.19,85096
237,1.62,BARO0,45.18,85097
238,1.63,BARO0,45.18,85100
239,1.64,BARO0,45.19,85079
240,1.65,BARO0,45.19,85076
241,1.66,BARO0,45.18,85080
242,1.67,BARO0,45.19,85072
243,1.68,BARO0,45.19,85063
244,1.69,BARO0,45.18,85072
245,1.7,BARO0,45.19,85065
246,1.71,BARO0,45.18,85062
247,1.72,BARO0,45.18,85064
248,1.73,BARO0,45.18,85063
249,1.74,BARO0,45.19,85058
250,1.75,BARO0,45.18,85047
251,1.76,BARO0,45.19,85043
252,1.77,BARO0,45.18,85042
253,1.78,BARO0,45.19,85045
254,1.79,BARO0,45.18,85038
255,1.8,BARO0,45.19,85029
256,1.81,BARO0,45.18,85039
257,1.82,BARO0,45.18,85024
258,1.83,BARO0,45.18,85028
259,1.84,BARO0,45.17,85015
260,1.85,BARO0,45.18,85008
261,1.86,BARO0,45.18,85020
262,1.87,BARO0,45.18,85007
263,1.88,BARO0,45.18,85015
264,1.89,BARO0,45.18,85005
265,1.9,BARO0,45.18,84992
266,1.91,BARO0,45.18,85003
267,1.92,BARO0,45.18,84995
268,1.93,BARO0,45.18,84988
269,1.94,BARO0,45.18,84985
270,1.95,BARO0,45.19,84976
271,1.96,BARO0,45.18,84979
272,1.97,BARO0,45.19,84964
273,1.98,BARO0,45.19,84958
274,1.99,BARO0,45.18,84972
275,2.0,BARO0,45.18,84956
276,2.01,BARO0,45.18,84957
277,2.02,BARO0,45.19,84952
278,2.03,BARO0,45.17,84956
279,2.04,BARO0,45.18,84949
280,2.05,BARO0,45.18,84937
281,2.06,BARO0,45.18,84935
282,2.07,BARO0,45.17,84930
283,2.08,BARO0,45.18,84936
284,2.09,BARO0,45.18,84928
285,2.1,BARO0,45.18,84922
286,2.11,BARO0,45.18,84917
287,2.12,BARO0,45.18,84912
288,2.13,BARO0,45.18,84921
289,2.14,BARO0,45.18,84916
290,2.15,BARO0,45.18,84901
291,2.16,BARO0,45.18,84909
292,2.17,BARO0,45.18,84895
293,2.18,BARO0,45.19,84895
294,2.19,BARO0,45.19,84893
295,2.2,BARO0,45.18,84879
296,2.21,BARO0,45.18,84879
297,2.22,BARO0,45.18,84872
298,2.23,BARO0,45.18,84870
299,2.24,BARO0,45.18,84876
300,2.25,BARO0,45.18,84858
301,2.26,BARO0,45.18,84866
302,2.27,BARO0,45.18,84856
303,2.28,BARO0,45.18,84863
304,2.29,BARO0,45.18,84854
305,2.3,BARO0,45.19,84827
306,2.31,BARO0,45.18,84834
307,2.32,BARO0,45.18,84840
308,2.33,BARO0,45.18,84828
309,2.34,BARO0,45.18,84818
310,2.35,BARO0,45.18,84833
311,2.36,BARO0,45.17,84817
312,2.37,BARO0,45.18,84810
313,2.38,BARO0,45.18,84805
314,2.39,BARO0,45.17,84811
315,2.4,BARO0,45.18,84801
316,2.41,BARO0,45.17,84799
317,2.42,BARO0,45.17,84801
318,2.43,BARO0,45.18,84794
319,2.44,BARO0,45.18,84783
320,2.45,BARO0,45.17,84777
321,2.46,BARO0,45.18,84781
322,2.47,BARO0,45.17,84786
323,2.48,BARO0,45.18,84774
324,2.49,BARO0,45.18,84767
325,2.5,BARO0,45.18,84768
326,2.51,BARO0,45.18,84768
327,2.52,BARO0,45.17,84756
328,2.53,BARO0,45.17,84739
329,2.54,BARO0,45.18,84747
330,2.55,BARO0,45.18,84741
331,2.56,BARO0,45.18,84739
332,2.57,BARO0,45.18,84732
333,2.58,BARO0,45.18,84737
334,2.59,BARO0,45.17,84721
335,2.6,BARO0,45.18,84723
336,2.61,BARO0,45.17,84714
337,2.62,BARO0,45.18,84719
338,2.63,BARO0,45.18,84705
339,2.64,BARO0,45.17,84711
340,2.65,BARO0,45.17,84704
341,2.66,BARO0,45.18,84700
342,2.67,BARO0,45.18,84698
343,2.68,BARO0,45.18,84695
344,2.69,BARO0,45.17,84689
345,2.7,BARO0,45.17,84679
346,2.71,BARO0,45.17,84687
347,2.72,BARO0,45.18,84670
348,2.73,BARO0,45.17,84665
349,2.74,BARO0,45.18,84653
350,2.75,BARO0,45.17,84651
351,2.76,BARO0,45.17,84648
352,2.77,BARO0,45.18,84647
353,2.78,BARO0,45.17,84641
354,2.79,BARO0,45.17,84647
355,2.8,BARO0,45.17,84632
356,2.81,BARO0,45.18,84636
357,2.82,BARO0,45.18,84628
358,2.83,BARO0,45.17,84609
359,2.84,BARO0,45.17,84614
360,2.85,BARO0,45.18,84618
361,2.86,BARO0,45.17,84597
362,2.87,BARO0,45.17,84609
363,2.88,BARO0,45.18,84603
364,2.89,BARO0,45.17,84589
365,2.9,BARO0,45.17,84590
366,2.91,BARO0,45.17,84584
367,2.92,BARO0,45.17,84576
368,2.93,BARO0,45.17,84565
369,2.94,BARO0,45.18,84576
370,2.95,BARO0,45.18,84566
371,2.96,BARO0,45.18,84554
372,2.97,BARO0,45.18,84540
373,2.98,BARO0,45.18,84543
374,2.99,BARO0,45.17,84538
375,3.0,BARO0,45.18,84544
376,3.01,BARO0,45.18,84535
377,3.02,BARO0,45.17,84527
378,3.03,BARO0,45.17,84522
379,3.04,BARO0,45.17,84511
380,3.05,BARO0,45.17,84513
381,3.06,BARO0,45.18,84502
382,3.07,BARO0,45.17,84500
383,3.08,BARO0,45.17,84486
384,3.09,BARO0,45.17,84490
385,3.1,BARO0,45.17,84491
386,3.11,BARO0,45.17,84474
387,3.12,BARO0,45.18,84478
388,3.13,BARO0,45.17,84468
389,3.14,BARO0,45.17,84459
390,3.15,BARO0,45.17,84454
391,3.16,BARO0,45.16,84456
392,3.17,BARO0,45.17,84453
393,3.18,BARO0,45.17,84447
394,3.19,BARO0,45.16,84426
395,3.2,BARO0,45.17,84431
396,3.21,BARO0,45.17,84413
397,3.22,BARO0,45.16,84406
398,3.23,BARO0,45.16,84416
399,3.24,BARO0,45.17,84398
400,3.25,BARO0,45.16,84400
401,3.26,BARO0,45.16,84385
402,3.27,BARO0,45.17,84377
403,3.28,BARO0,45.17,84380
404,3.29,BARO0,45.17,84379
405,3.3,BARO0,45.17,84367
406,3.31,BARO0,45.17,84361
407,3.32,BARO0,45.16,84355
408,3.33,BARO0,45.17,84354
409,3.34,BARO0,45.17,84352
410,3.35,BARO0,45.17,84348
411,3.36,BARO0,45.17,84333
412,3.37,BARO0,45.18,84324
413,3.38,BARO0,45.17,84316
414,3.39,BARO0,45.17,84317
415,3.4,BARO0,45.16,84302
416,3.41,BARO0,45.18,84304
417,3.42,BARO0,45.17,84289
418,3.43,BARO0,45.16,84284
419,3.44,BARO0,45.17,84284
420,3.45,BARO0,45.17,84279
421,3.46,BARO0,45.16,84277
422,3.47,BARO0,45.17,84266
423,3.48,BARO0,45.17,84255
424,3.49,BARO0,45.17,84245
425,3.5,BARO0,45.17,84245
426,3.51,BARO0,45.17,84244
427,3.52,BARO0,45.17,84230
428,3.53,BARO0,45.18,84235
429,3.54,BARO0,45.16,84230
430,3.55,BARO0,45.17,84208
431,3.56,BARO0,45.16,84201
432,3.57,BARO0,45.17,84197
433,3.58,BARO0,45.16,84189
434,3.59,BARO0,45.17,84184
435,3.6,BARO0,45.17,84165
436,3.61,BARO0,45.16,84179
437,3.62,BARO0,45.18,84168
438,3.63,BARO0,45.17,84155
439,3.64,BARO0,45.16,84143
440,3.65,BARO0,45.17,84151
441,3.66,BARO0,45.17,84149
442,3.67,BARO0,45.16,84132
443,3.68,BARO0,45.16,84128
444,3.69,BARO0,45.16,84115
445,3.7,BARO0,45.17,84101
446,3.71,BARO0,45.16,84102
447,3.72,BARO0,45.18,84091
448,3.73,BARO0,45.17,84087
449,3.74,BARO0,45.16,84080
450,3.75,BARO0,45.17,84085
451,3.76,BARO0,45.16,84065
452,3.77,BARO0,45.16,84047
453,3.78,BARO0,45.16,84051
454,3.79,BARO0,45.17,84045
455,3.8,BARO0,45.17,84041
456,3.81,BARO0,45.17,84029
457,3.82,BARO0,45.16,84030
458,3.83,BARO0,45.16,84012
459,3.84,BARO0,45.17,84016
460,3.85,BARO0,45.16,83996
461,3.86,BARO0,45.16,83989
462,3.87,BARO0,45.17,83983
463,3.88,BARO0,45.16,83974
464,3.89,BARO0,45.16,83987
465,3.9,BARO0,45.16,83969
466,3.91,BARO0,45.16,83973
467,3.92,BARO0,45.18,83964
468,3.93,BARO0,45.16,83945
469,3.94,BARO0,45.16,83931
470,3.95,BARO0,45.16,83931
471,3.96,BARO0,45.16,83929
472,3.97,BARO0,45.16,83923
473,3.98,BARO0,45.17,83907
474,3.99,BARO0,45.16,83906
475,4.0,BARO0,45.16,83904
476,4.01,BARO0,45.16,83893
477,4.02,BARO0,45.16,83896
478,4.03,BARO0,45.15,83872
479,4.04,BARO0,45.16,83876
480,4.05,BARO0,45.16,83881
481,4.06,BARO0,45.16,83858
482,4.07,BARO0,45.16,83860
483,4.08,BARO0,45.16,83843
484,4.09,BARO0,45.17,83835
485,4.1,BARO0,45.16,83828
486,4.11,BARO0,45.16,83807
487,4.12,BARO0,45.16,83807
488,4.13,BARO0,45.16,83810
489,4.14,BARO0,45.16,83807
490,4.15,BARO0,45.16,83796
491,4.16,BARO0,45.16,83779
492,4.17,BARO0,45.18,83784
493,4.18,BARO0,45.16,83772
494,4.19,BARO0,45.16,83774
495,4.2,BARO0,45.16,83751
496,4.21,BARO0,45.16,83754
497,4.22,BARO0,45.16,83751
498,4.23,BARO0,45.17,83736
499,4.24,BARO0,45.16,83728
500,4.25,BARO0,45.16,83724
501,4.26,BARO0,45.17,83709
502,4.27,BARO0,45.17,83710
503,4.28,BARO0,45.17,83700
504,4.29,BARO0,45.17,83704
505,4.3,BARO0,45.16,83684
506,4.31,BARO0,45.16,83682
507,4.32,BARO0,45.17,83668
508,4.33,BARO0,45.16,83675
509,4.34,BARO0,45.16,83647
510,4.35,BARO0,45.16,83653
511,4.36,BARO0,45.15,83637
512,4.37,BARO0,45.16,83641
513,4.38,BARO0,45.16,83623
514,4.39,BARO0,45.17,83618
515,4.4,BARO0,45.16,83607
516,4.41,BARO0,45.17,83603
