,ts,id,T,P
0,18799661,BARO0,4520,85292
1,18799671,BARO0,4519,85296
2,18799681,BARO0,4519,85287
3,18799691,BARO0,4520,85298
4,18799701,BARO0,4519,85294
5,18799711,BARO0,4520,85288
6,18799721,BARO0,4521,85297
7,18799731,BARO0,4520,85297
8,18799741,BARO0,4519,85291
9,18799751,BARO0,4519,85298
10,18799761,BARO0,4520,85299
11,18799771,BARO0,4520,85297
12,18799781,BARO0,4519,85291
13,18799791,BARO0,4519,85290
14,18799801,BARO0,4519,85305
15,18799811,BARO0,4519,85288
16,18799821,BARO0,4520,85296
17,18799831,BARO0,4519,85293
18,18799841,BARO0,4520,85310
19,18799851,BARO0,4520,85300
20,18799861,BARO0,4520,85301
21,18799871,BARO0,4520,85295
22,18799881,BARO0,4520,85295
23,18799891,BARO0,4519,85300
24,18799901,BARO0,4520,85291
25,18799911,BARO0,4520,85298
26,18799921,BARO0,4519,85295
27,18799931,BARO0,4520,85297
28,18799941,BARO0,4520,85292
29,18799951,BARO0,4520,85292
30,18799961,BARO0,4520,85306
31,18799971,BARO0,4519,85289
32,18799981,BARO0,4520,85292
33,18799991,BARO0,4520,85294
34,18800001,BARO0,4519,85295
35,18800011,BARO0,4519,85302
36,18800021,BARO0,4519,85299
37,18800031,BARO0,4519,85294
38,18800041,BARO0,4521,85293
39,18800051,BARO0,4520,85302
40,18800061,BARO0,4519,85299
41,18800071,BARO0,4520,85305
42,18800081,BARO0,4521,85303
43,18800091,BARO0,4520,85298
44,18800101,BARO0,4520,85299
45,18800111,BARO0,4519,85291
46,18800121,BARO0,4520,85303
47,18800131,BARO0,4520,85285
48,18800141,BARO0,4519,85307
49,18800151,BARO0,4519,85297
50,18800161,BARO0,4520,85299
51,18800171,BARO0,4520,85294
52,18800181,BARO0,4520,85315
53,18800191,BARO0,4519,85307
54,18800201,BARO0,4519,85296
55,18800211,BARO0,4520,85288
56,18800221,BARO0,4520,85297
57,18800231,BARO0,4520,85287
58,18800241,BARO0,4520,85302
59,18800251,BARO0,4520,85297
60,18800261,BARO0,4520,85297
61,18800271,BARO0,4520,85294
62,18800281,BARO0,4520,85289
63,18800291,BARO0,4520,85301
64,18800301,BARO0,4519,85302
65,18800311,BARO0,4520,85294
66,18800321,BARO0,4520,85296
67,18800331,BARO0,4519,85297
68,18800341,BARO0,4520,85300
69,18800351,BARO0,4520,85300
70,18800361,BARO0,4520,85289
71,18800371,BARO0,4520,85309
72,18800381,BARO0,4520,85289
73,18800391,BARO0,4519,85309
74,18800401,BARO0,4520,85305
75,18800411,BARO0,4519,85299
76,18800421,BARO0,4520,85300
77,18800431,BARO0,4520,85305
78,18800441,BARO0,4521,85298
79,18800451,BARO0,4519,85291
80,18800461,BARO0,4520,85290
81,18800471,BARO0,4521,85292
82,18800481,BARO0,4519,85298
83,18800491,BARO0,4520,85292
84,18800501,BARO0,4520,85303
85,18800511,BARO0,4520,85299
86,18800521,BARO0,4520,85289
87,18800531,BARO0,4520,85294
88,18800541,BARO0,4520,85295
89,18800551,BARO0,4520,85301
90,18800561,BARO0,4520,85298
91,18800571,BARO0,4520,85291
92,18800581,BARO0,4519,85292
93,18800591,BARO0,4520,85300
94,18800601,BARO0,4520,85296
95,18800611,BARO0,4519,85300
96,18800621,BARO0,4520,85302
97,18800631,BARO0,4519,85298
98,18800641,BARO0,4519,85295
99,18800651,BARO0,4519,85287
100,18800661,BARO0,4519,85305
101,18800671,BARO0,4520,85299
102,18800681,BARO0,4520,85294
103,18800691,BARO0,4521,85288
104,18800701,BARO0,4521,85292
105,18800711,BARO0,4520,85288
106,18800721,BARO0,4520,85284
107,18800731,BARO0,4519,85278
108,18800741,BARO0,4520,85280
109,18800751,BARO0,4520,85298
110,18800761,BARO0,4520,85281
111,18800771,BARO0,4519,85296
112,18800781,BARO0,4520,85281
113,18800791,BARO0,4519,85285
114,18800801,BARO0,4520,85296
115,18800811,BARO0,4519,85283
116,18800821,BARO0,4519,85279
117,18800831,BARO0,4520,85276
118,18800841,BARO0,4520,85273
119,18800851,BARO0,4519,85281
120,18800861,BARO0,4520,85272
121,18800871,BARO0,4519,85281
122,18800881,BARO0,4520,85280
123,18800891,BARO0,4520,85282
124,18800901,BARO0,4520,85273
125,18800911,BARO0,4520,85275
126,18800921,BARO0,4519,85287
127,18800931,BARO0,4519,85265
128,18800941,BARO0,4520,85281
129,18800951,BARO0,4520,85274
130,18800961,BARO0,4520,85271
131,18800971,BARO0,4519,85270
132,18800981,BARO0,4521,85275
133,18800991,BARO0,4519,85271
134,18801001,BARO0,4519,85279
135,18801011,BARO0,4520,85273
