,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,18799661,8978,-3490,-2277,1421
1,18799671,8970,-3504,-2285,1423
2,18799681,8969,-3505,-2285,1423
3,18799691,8969,-3506,-2286,1423
4,18799701,8968,-3507,-2287,1424
5,18799711,8967,-3508,-2288,1424
6,18799721,8967,-3509,-2289,1424
7,18799731,8966,-3510,-2290,1425
8,18799741,8965,-3511,-2290,1425
9,18799751,8965,-3513,-2291,1425
10,18799761,8964,-3514,-2292,1426
11,18799771,8963,-3515,-2293,1426
12,18799781,8963,-3516,-2294,1427
13,18799791,8962,-3517,-2294,1427
14,18799801,8961,-3518,-2295,1427
15,18799811,8961,-3519,-2296,1428
16,18799821,8960,-3520,-2297,1428
17,18799831,8959,-3521,-2298,1428
18,18799841,8958,-3522,-2298,1429
19,18799851,8958,-3523,-2299,1429
20,18799861,8957,-3524,-2300,1430
21,18799871,8956,-3525,-2301,1430
22,18799881,8956,-3526,-2302,1430
23,18799891,8955,-3527,-2303,1431
24,18799901,8954,-3528,-2304,1431
25,18799911,8954,-3530,-2305,1431
26,18799921,8953,-3531,-2305,1432
27,18799931,8952,-3532,-2306,1432
28,18799941,8951,-3533,-2307,1433
29,18799951,8951,-3534,-2308,1433
30,18799961,8950,-3535,-2309,1433
31,18799971,8949,-3536,-2309,1434
32,18799981,8949,-3537,-2310,1434
33,18799991,8948,-3538,-2311,1434
34,18800001,8947,-3539,-2312,1435
35,18800011,8947,-3540,-2313,1435
36,18800021,8946,-3541,-2314,1436
37,18800031,8945,-3542,-2314,1436
38,18800041,8945,-3543,-2315,1437
39,18800051,8944,-3544,-2316,1437
40,18800061,8943,-3546,-2317,1437
41,18800071,8942,-3547,-2318,1438
42,18800081,8942,-3548,-2318,1438
43,18800091,8941,-3549,-2319,1438
44,18800101,8940,-3550,-2320,1439
45,18800111,8940,-3551,-2321,1439
46,18800121,8939,-3552,-2322,1440
47,18800131,8938,-3553,-2322,1440
48,18800141,8938,-3554,-2323,1440
49,18800151,8937,-3555,-2324,1441
50,18800161,8936,-3556,-2325,1441
51,18800171,8936,-3557,-2326,1441
52,18800181,8935,-3558,-2326,1442
53,18800191,8934,-3560,-2327,1442
54,18800201,8933,-3561,-2329,1443
55,18800211,8933,-3561,-2330,1444
56,18800221,8932,-3561,-2332,1445
57,18800231,8931,-3562,-2333,1446
58,18800241,8930,-3563,-2335,1447
59,18800251,8929,-3564,-2336,1447
60,18800261,8929,-3565,-2337,1448
61,18800271,8928,-3566,-2338,1448
62,18800281,8927,-3567,-2339,1449
63,18800291,8926,-3569,-2341,1450
64,18800301,8924,-3570,-2343,1451
65,18800311,8923,-3570,-2347,1452
66,18800321,8921,-3571,-2351,1454
67,18800331,8920,-3571,-2355,1456
68,18800341,8918,-3572,-2359,1458
69,18800351,8916,-3573,-2363,1460
70,18800361,8915,-3573,-2368,1462
71,18800371,8913,-3574,-2372,1464
72,18800381,8911,-3574,-2377,1466
73,18800391,8910,-3575,-2380,1468
74,18800401,8908,-3576,-2384,1470
75,18800411,8907,-3576,-2388,1471
76,18800421,10000,-1,-3,0
77,18800431,9999,-2,-7,0
78,18800441,9999,-3,-11,1
79,18800451,9999,-5,-14,2
80,18800461,9999,-6,-17,2
81,18800471,9999,-8,-20,2
82,18800481,9999,-9,-23,3
83,18800491,9999,-10,-25,3
84,18800501,9999,-11,-26,4
85,18800511,9999,-13,-27,4
86,18800521,9999,-14,-28,5
87,18800531,9999,-15,-29,5
88,18800541,9999,-17,-30,5
89,18800551,9999,-18,-30,6
90,18800561,9999,-19,-30,6
91,18800571,9999,-21,-30,6
92,18800581,9999,-22,-30,6
93,18800591,9999,-24,-31,6
94,18800601,9999,-25,-32,6
95,18800611,9999,-26,-34,6
96,18800621,9999,-28,-36,6
97,18800631,9999,-29,-37,6
98,18800641,9999,-30,-39,6
99,18800651,9999,-31,-40,6
100,18800661,9999,-33,-42,6
101,18800671,9999,-34,-44,6
102,18800681,9999,-35,-46,6
103,18800691,9999,-36,-48,6
104,18800701,9999,-37,-49,5
105,18800711,9999,-39,-49,5
106,18800721,9999,-40,-50,5
107,18800731,9999,-41,-51,6
108,18800741,9999,-42,-52,7
109,18800751,9999,-43,-53,8
110,18800761,9999,-44,-53,9
111,18800771,9999,-45,-53,11
112,18800781,9999,-46,-53,12
113,18800791,9999,-48,-52,12
114,18800801,9999,-49,-51,13
115,18800811,9999,-50,-50,13
