,ts,id,T,P
0,-0.76,BARO0,48.16,100226
1,-0.75,BARO0,48.18,100246
2,-0.74,BARO0,48.19,100231
3,-0.73,BARO0,48.19,100226
4,-0.72,BARO0,48.17,100235
5,-0.71,BARO0,48.18,100244
6,-0.7,BARO0,48.18,100239
7,-0.69,BARO0,48.18,100240
8,-0.68,BARO0,48.18,100239
9,-0.67,BARO0,48.18,100241
10,-0.66,BARO0,48.18,100239
11,-0.65,BARO0,48.18,100229
12,-0.64,BARO0,48.19,100233
13,-0.63,BARO0,48.18,100226
14,-0.62,BARO0,48.18,100242
15,-0.61,BARO0,48.17,100226
16,-0.6,BARO0,48.18,100234
17,-0.59,BARO0,48.19,100234
18,-0.58,BARO0,48.19,100243
19,-0.57,BARO0,48.18,100233
20,-0.56,BARO0,48.17,100244
21,-0.55,BARO0,48.18,100228
22,-0.54,BARO0,48.18,100234
23,-0.53,BARO0,48.18,100236
24,-0.52,BARO0,48.18,100239
25,-0.51,BARO0,48.18,100232
26,-0.5,BARO0,48.17,100226
27,-0.49,BARO0,48.18,100231
28,-0.48,BARO0,48.18,100231
29,-0.47,BARO0,48.18,100241
30,-0.46,BARO0,48.19,100242
31,-0.45,BARO0,48.18,100230
32,-0.44,BARO0,48.18,100235
33,-0.43,BARO0,48.18,100235
34,-0.42,BARO0,48.18,100234
35,-0.41,BARO0,48.18,100231
36,-0.4,BARO0,48.19,100246
37,-0.39,BARO0,48.18,100237
38,-0.38,BARO0,48.18,100234
39,-0.37,BARO0,48.17,100229
40,-0.36,BARO0,48.18,100240
41,-0.35,BARO0,48.18,100236
42,-0.34,BARO0,48.17,100235
43,-0.33,BARO0,48.18,100230
44,-0.32,BARO0,48.18,100239
45,-0.31,BARO0,48.18,100242
46,-0.3,BARO0,48.18,100239
47,-0.29,BARO0,48.18,100239
48,-0.28,BARO0,48.18,100231
49,-0.27,BARO0,48.18,100243
50,-0.26,BARO0,48.18,100232
51,-0.25,BARO0,48.18,100236
52,-0.24,BARO0,48.18,100234
53,-0.23,BARO0,48.18,100236
54,-0.22,BARO0,48.19,100247
55,-0.21,BARO0,48.18,100229
56,-0.2,BARO0,48.18,100235
57,-0.19,BARO0,48.19,100242
58,-0.18,BARO0,48.19,100239
59,-0.17,BARO0,48.18,100236
60,-0.16,BARO0,48.19,100236
61,-0.15,BARO0,48.17,100235
62,-0.14,BARO0,48.18,100236
63,-0.13,BARO0,48.18,100232
64,-0.12,BARO0,48.18,100268
65,-0.11,BARO0,48.18,100258
66,-0.1,BARO0,48.17,100217
67,-0.09,BARO0,48.18,100276
68,-0.08,BARO0,48.18,100259
69,-0.07,BARO0,48.18,100290
70,-0.06,BARO0,48.18,100278
71,-0.05,BARO0,48.18,100269
72,-0.04,BARO0,48.18,100266
73,-0.03,BARO0,48.17,100250
74,-0.02,BARO0,48.18,100260
75,-0.01,BARO0,48.18,100262
76,0.0,BARO0,48.18,100278
77,0.01,BARO0,48.18,100259
78,0.02,BARO0,48.18,100260
79,0.03,BARO0,48.17,100270
80,0.04,BARO0,48.18,100256
81,0.05,BARO0,48.18,100268
82,0.06,BARO0,48.17,100246
83,0.07,BARO0,48.17,100275
84,0.08,BARO0,48.17,100266
85,0.09,BARO0,48.18,100262
86,0.1,BARO0,48.18,100268
87,0.11,BARO0,48.18,100254
88,0.12,BARO0,48.18,100266
89,0.13,BARO0,48.19,100265
90,0.14,BARO0,48.19,100260
91,0.15,BARO0,48.18,100256
92,0.16,BARO0,48.17,100250
93,0.17,BARO0,48.18,100249
94,0.18,BARO0,48.17,100242
95,0.19,BARO0,48.18,100261
96,0.2,BARO0,48.18,100229
97,0.21,BARO0,48.18,100255
98,0.22,BARO0,48.18,100246
99,0.23,BARO0,48.19,100241
100,0.24,BARO0,48.18,100216
101,0.25,BARO0,48.18,100258
102,0.26,BARO0,48.17,100225
103,0.27,BARO0,48.18,100237
104,0.28,BARO0,48.17,100223
105,0.29,BARO0,48.18,100231
106,0.3,BARO0,48.17,100217
107,0.31,BARO0,48.18,100231
108,0.32,BARO0,48.18,100216
109,0.33,BARO0,48.17,100214
110,0.34,BARO0,48.18,100222
111,0.35,BARO0,48.19,100219
112,0.36,BARO0,48.18,100209
113,0.37,BARO0,48.18,100211
114,0.38,BARO0,48.18,100213
115,0.39,BARO0,48.18,100193
116,0.4,BARO0,48.17,100198
117,0.41,BARO0,48.17,100187
118,0.42,BARO0,48.18,100186
119,0.43,BARO0,48.17,100195
120,0.44,BARO0,48.18,100183
121,0.45,BARO0,48.18,100187
122,0.46,BARO0,48.17,100176
123,0.47,BARO0,48.17,100173
124,0.48,BARO0,48.17,100165
125,0.49,BARO0,48.18,100163
126,0.5,BARO0,48.18,100167
127,0.51,BARO0,48.17,100162
128,0.52,BARO0,48.17,100157
129,0.53,BARO0,48.16,100156
130,0.54,BARO0,48.18,100153
131,0.55,BARO0,48.17,100148
132,0.56,BARO0,48.18,100143
133,0.57,BARO0,48.17,100147
134,0.58,BARO0,48.18,100133
135,0.59,BARO0,48.18,100143
136,0.6,BARO0,48.17,100133
137,0.61,BARO0,48.18,100128
138,0.62,BARO0,48.16,100116
139,0.63,BARO0,48.17,100117
140,0.64,BARO0,48.17,100122
141,0.65,BARO0,48.17,100120
142,0.66,BARO0,48.16,100104
143,0.67,BARO0,48.17,100099
144,0.68,BARO0,48.17,100087
145,0.69,BARO0,48.17,100091
146,0.7,BARO0,48.18,100089
147,0.71,BARO0,48.18,100092
148,0.72,BARO0,48.17,100092
149,0.73,BARO0,48.17,100079
150,0.74,BARO0,48.16,100071
151,0.75,BARO0,48.17,100065
152,0.76,BARO0,48.16,100055
153,0.77,BARO0,48.17,100055
154,0.78,BARO0,48.16,100056
155,0.79,BARO0,48.17,100051
156,0.8,BARO0,48.16,100043
157,0.81,BARO0,48.17,100041
158,0.82,BARO0,48.16,100028
159,0.83,BARO0,48.17,100041
160,0.84,BARO0,48.17,100020
161,0.85,BARO0,48.15,100023
162,0.86,BARO0,48.17,100020
163,0.87,BARO0,48.17,100004
164,0.88,BARO0,48.17,100001
165,0.89,BARO0,48.16,100002
166,0.9,BARO0,48.16,99982
167,0.91,BARO0,48.16,99996
168,0.92,BARO0,48.16,99989
169,0.93,BARO0,48.17,99977
170,0.94,BARO0,48.17,99975
171,0.95,BARO0,48.17,99965
172,0.96,BARO0,48.17,99964
173,0.97,BARO0,48.17,99956
