,ts,id,T,P
0,40867,BARO0,3087,96229
1,40867,BARO1,3096,96202
2,40867,BARO2,3169,96193
3,40877,BARO0,3087,96233
4,40877,BARO1,3096,96201
5,40877,BARO2,3169,96190
6,40887,BARO0,3087,96230
7,40887,BARO1,3096,96201
8,40887,BARO2,3169,96193
9,40897,BARO0,3087,96229
10,40897,BARO1,3096,96202
11,40897,BARO2,3169,96187
12,40907,BARO0,3087,96235
13,40907,BARO1,3096,96205
14,40907,BARO2,3169,96192
15,40917,BARO0,3087,96230
16,40917,BARO1,3096,96204
17,40917,BARO2,3169,96188
18,40927,BARO0,3087,96228
19,40927,BARO1,3096,96199
20,40927,BARO2,3168,96189
21,40937,BARO0,3088,96230
22,40937,BARO1,3096,96201
23,40937,BARO2,3169,96192
24,40947,BARO0,3087,96229
25,40947,BARO1,3096,96200
26,40947,BARO2,3169,96188
27,40957,BARO0,3088,96233
28,40957,BARO1,3096,96206
29,40957,BARO2,3169,96191
30,40967,BARO0,3088,96230
31,40967,BARO1,3096,96203
32,40967,BARO2,3169,96190
33,40977,BARO0,3088,96227
34,40977,BARO1,3096,96203
35,40977,BARO2,3169,96186
36,40987,BARO0,3087,96229
37,40987,BARO1,3096,96205
38,40987,BARO2,3169,96186
39,40997,BARO0,3087,96230
40,40997,BARO1,3096,96202
41,40997,BARO2,3169,96188
42,41007,BARO0,3087,96236
43,41007,BARO1,3096,96203
44,41007,BARO2,3169,96189
45,41017,BARO0,3087,96235
46,41017,BARO1,3096,96202
47,41017,BARO2,3169,96187
48,41027,BARO0,3088,96234
49,41027,BARO1,3096,96205
50,41027,BARO2,3169,96183
51,41037,BARO0,3087,96237
52,41037,BARO1,3096,96200
53,41037,BARO2,3169,96193
54,41047,BARO0,3087,96229
55,41047,BARO1,3096,96202
56,41047,BARO2,3169,96190
57,41057,BARO0,3087,96234
58,41057,BARO1,3096,96201
59,41057,BARO2,3169,96184
60,41067,BARO0,3088,96231
61,41067,BARO1,3096,96202
62,41067,BARO2,3169,96192
63,41077,BARO0,3087,96227
64,41077,BARO1,3096,96202
65,41077,BARO2,3169,96186
66,41087,BARO0,3087,96231
67,41087,BARO1,3096,96198
68,41087,BARO2,3169,96192
69,41097,BARO0,3088,96237
70,41097,BARO1,3096,96204
71,41097,BARO2,3169,96188
72,41107,BARO0,3087,96228
73,41107,BARO1,3096,96206
74,41107,BARO2,3169,96192
75,41117,BARO0,3087,96235
76,41117,BARO1,3096,96204
77,41117,BARO2,3169,96192
78,41127,BARO0,3087,96233
79,41127,BARO1,3096,96204
80,41127,BARO2,3169,96191
81,41137,BARO0,3088,96230
82,41137,BARO1,3096,96202
83,41137,BARO2,3169,96187
84,41147,BARO0,3088,96230
85,41147,BARO1,3096,96201
86,41147,BARO2,3169,96190
87,41157,BARO0,3087,96230
88,41157,BARO1,3096,96204
89,41157,BARO2,3169,96196
90,41167,BARO0,3087,96233
91,41167,BARO1,3096,96204
92,41167,BARO2,3169,96188
93,41177,BARO0,3087,96232
94,41177,BARO1,3096,96200
95,41177,BARO2,3169,96191
96,41187,BARO0,3087,96227
97,41187,BARO1,3096,96204
98,41187,BARO2,3169,96190
99,41197,BARO0,3088,96228
100,41197,BARO1,3096,96202
101,41197,BARO2,3169,96186
102,41207,BARO0,3087,96235
103,41207,BARO1,3096,96198
104,41207,BARO2,3169,96191
105,41217,BARO0,3087,96226
106,41217,BARO1,3096,96201
107,41217,BARO2,3169,96186
108,41227,BARO0,3088,96230
109,41227,BARO1,3096,96202
110,41227,BARO2,3169,96191
111,41237,BARO0,3088,96231
112,41237,BARO1,3096,96203
113,41237,BARO2,3169,96193
114,41247,BARO0,3088,96231
115,41247,BARO1,3096,96209
116,41247,BARO2,3169,96191
