,ts,altitude_agl,raw_acceleration,filtered_altitude_AGL,filtered_acceleration
0,40857,-0.5298454165458679,-3.2458035945892334,-0.28122368454933167,-3.2769134044647217
1,40867,-0.40426990389823914,-3.221606969833374,-0.31289350986480713,-3.2665436267852783
2,40877,-0.4049398601055145,-3.1974105834960938,-0.31111690402030945,-3.2458035945892334
3,40887,-0.40611961483955383,-3.245803117752075,-0.31111690402030945,-3.2388899326324463
4,40897,-0.2197757214307785,-3.294196844100952,-0.3110910654067993,-3.2527167797088623
5,40907,-0.6523355841636658,-3.308023452758789,-0.3743673861026764,-3.2769134044647217
6,40917,-0.3434688150882721,-3.2976534366607666,-0.3743673861026764,-3.2769134044647217
7,40927,-0.15952567756175995,-3.287283182144165,-0.34268662333488464,-3.287283182144165
8,40937,-0.3763292133808136,-3.235433340072632,-0.4060481786727905,-3.2527167797088623
9,40947,-0.18824219703674316,-3.228520393371582,-0.3129408061504364,-3.245803117752075
10,40957,-0.5909569263458252,-3.2458035945892334,-0.3129408061504364,-3.2527167797088623
11,40967,-0.374318391084671,-3.2907402515411377,-0.34268662333488464,-3.287283182144165
12,40977,-0.15839095413684845,-3.30111026763916,-0.34448906779289246,-3.287283182144165
13,40987,-0.2810506522655487,-3.287283182144165,-0.34448906779289246,-3.287283182144165
14,40997,-0.2811884880065918,-3.2700002193450928,-0.31279340386390686,-3.287283182144165
15,41007,-0.5294014811515808,-3.24234676361084,-0.3444742262363434,-3.2700002193450928
16,41017,-0.40470293164253235,-3.24234676361084,-0.31282028555870056,-3.2458035945892334
17,41027,-0.34216347336769104,-3.2630865573883057,-0.31282028555870056,-3.2630865573883057
18,41037,-0.5901082158088684,-3.276913642883301,-0.4048222601413727,-3.2700002193450928
19,41047,-0.3110910654067993,-3.283827066421509,-0.31282028555870056,-3.276913642883301
20,41057,-0.2511118948459625,-3.263087034225464,-0.374036580324173,-3.2700002193450928
21,41067,-0.4367424249649048,-3.2388899326324463,-0.40385380387306213,-3.2665436267852783
22,41077,-0.1267622709274292,-3.235433578491211,-0.40385380387306213,-3.259629964828491
23,41087,-0.31401297450065613,-3.2527167797088623,-0.43553462624549866,-3.2527167797088623
24,41097,-0.5590963363647461,-3.2734568119049072,-0.40385380387306213,-3.259629964828491
25,41107,-0.46834704279899597,-3.2872836589813232,-0.3733808696269989,-3.2665436267852783
26,41117,-0.6216601729393005,-3.30111026763916,-0.4367424249649048,-3.2734568119049072
27,41127,-0.5286467671394348,-3.2769134044647217,-0.40506163239479065,-3.2700002193450928
28,41137,-0.25139811635017395,-3.266543388366699,-0.40506163239479065,-3.266543388366699
29,41147,-0.3129676580429077,-3.249260187149048,-0.40503373742103577,-3.266543388366699
30,41157,-0.5913246273994446,-3.259629964828491,-0.4366745948791504,-3.266543388366699
31,41167,-0.4354678690433502,-3.263087034225464,-0.46731409430503845,-3.266543388366699
32,41177,-0.37434935569763184,-3.2769134044647217,-0.4979804456233978,-3.2700002193450928
33,41187,-0.312038779258728,-3.280369997024536,-0.4366745948791504,-3.2734568119049072
34,41197,-0.15745334327220917,-3.2700002193450928,-0.40499380230903625,-3.2700002193450928
35,41207,-0.40499749779701233,-3.263087034225464,-0.34271347522735596,-3.266543388366699
36,41217,-0.06635018438100815,-3.2561733722686768,-0.34271347522735596,-3.263087034225464
37,41227,-0.3743942677974701,-3.2596304416656494,-0.34271347522735596,-3.263087034225464
38,41237,-0.4981646239757538,-3.2700002193450928,-0.3743942677974701,-3.263087034225464
39,41247,-0.6216484904289246,-3.2941970825195312,-0.40506163239479065,-3.266543388366699
40,41257,-0.1277833729982376,-3.2838265895843506,-0.3743942677974701,-3.2734568119049072
41,41267,-0.2812160551548004,-3.2734568119049072,-0.2804495096206665,-3.2734568119049072
42,41277,-0.21867597103118896,-3.263087034225464,-0.2812153398990631,-3.266543388366699
43,41287,-0.25146952271461487,-3.256173849105835,-0.2812153398990631,-3.266543388366699
44,41297,-0.06637290865182877,-3.249260187149048,-0.2812153398990631,-3.263087034225464
45,41307,-0.4036615192890167,-3.270000457763672,-0.2812153398990631,-3.2700002193450928
46,41317,-0.49903079867362976,-3.2838268280029297,-0.31282028555870056,-3.2700002193450928
47,41327,-0.622613251209259,-3.280369997024536,-0.31282028555870056,-3.276913642883301
48,41337,-0.34330809116363525,-3.2838268280029297,-0.25139811635017395,-3.276913642883301
49,41347,-0.2197757214307785,-3.266543388366699,-0.25139811635017395,-3.2734568119049072
50,41357,-0.5585307478904724,-3.24234676361084,-0.282037615776062,-3.270000457763672
51,41367,-0.34435388445854187,-3.249260187149048,-0.25139811635017395,-3.270000457763672
52,41377,-0.37336465716362,-3.2665436267852783,-0.34340012073516846,-3.270000457763672
53,41387,-0.18838012218475342,-3.280369997024536,-0.43471547961235046,-3.270000457763672
54,41397,-0.49699580669403076,-3.280369997024536,-0.43471547961235046,-3.2769134044647217
55,41407,-0.6218634843826294,-3.2803704738616943,-0.43471547961235046,-3.2734568119049072
56,41417,-0.5910328030586243,-3.263087034225464,-0.43471547961235046,-3.270000457763672
57,41427,-0.28208187222480774,-3.249260187149048,-0.4663284122943878,-3.266543388366699
58,41437,-0.6209855675697327,-3.2561733722686768,-0.4663284122943878,-3.2630865573883057
59,41447,-0.5296223163604736,-3.2734568119049072,-0.46633660793304443,-3.270000457763672
60,41457,-0.4364551603794098,-3.2838265895843506,-0.4663284122943878,-3.270000457763672
61,41467,-0.4366665780544281,-3.283827066421509,-0.46734198927879333,-3.2734568119049072
62,41477,-0.4683553874492645,-3.2734568119049072,-0.46734198927879333,-3.2734568119049072
63,41487,-0.43567755818367004,-3.2527170181274414,-0.49801740050315857,-3.270000457763672
64,41497,-0.4663962423801422,-3.2561733722686768,-0.46734198927879333,-3.266543388366699
65,41507,-0.2198646068572998,-3.263087034225464,-0.46731409430503845,-3.263087034225464
66,41517,-0.21895138919353485,-3.2734568119049072,-0.4366386830806732,-3.2734568119049072
67,41527,-0.46758949756622314,-3.280369997024536,-0.40599918365478516,-3.2734568119049072
68,41537,-0.37296441197395325,-3.2734568119049072,-0.374318391084671,-3.2734568119049072
69,41547,-0.6831059455871582,-3.2665436267852783,-0.4366745948791504,-3.270000457763672
70,41557,-0.4358923137187958,-3.2596302032470703,-0.4366745948791504,-3.2665436267852783
71,41567,-0.28223714232444763,-3.2596302032470703,-0.374318391084671,-3.2665436267852783
72,41577,-0.37427350878715515,-3.263087034225464,-0.34271347522735596,-3.2665436267852783
73,41587,-0.4661341607570648,-3.263087034225464,-0.3445011079311371,-3.2665436267852783
74,41597,-0.21909873187541962,-3.2665436267852783,-0.374318391084671,-3.2665436267852783
75,41607,-0.6842803955078125,-3.2734568119049072,-0.40499380230903625,-3.2665436267852783
76,41617,-0.3431607782840729,-3.2630865573883057,-0.43562424182891846,-3.2665436267852783
77,41627,-0.1594044715166092,-3.2561733722686768,-0.374318391084671,-3.2665436267852783
78,41637,-0.43663421273231506,-3.2561733722686768,-0.374318391084671,-3.259629964828491
79,41647,-0.43471547961235046,-3.263087034225464,-0.43562424182891846,-3.263087034225464
80,41657,-0.03686634823679924,-3.2630865573883057,-0.4040193259716034,-3.263087034225464
81,41667,-0.06623363494873047,-3.2596304416656494,-0.3444742262363434,-3.2596304416656494
82,41677,-0.43613991141319275,-3.2700002193450928,-0.2804495096206665,-3.263087034225464
83,41687,-0.4366745948791504,-3.2665436267852783,-0.3742915391921997,-3.263087034225464
84,41697,-0.6526780724525452,-3.270000457763672,-0.374318391084671,-3.263087034225464
85,41707,-0.3126280605792999,-3.2734568119049072,-0.374318391084671,-3.263087034225464
86,41717,-0.2820899188518524,-3.270000457763672,-0.374318391084671,-3.2665436267852783
87,41727,-0.2515537738800049,-3.263087034225464,-0.3129045069217682,-3.2665436267852783
88,41737,-0.21999573707580566,-3.266543388366699,-0.3129045069217682,-3.2665436267852783
89,41747,-0.46753785014152527,-3.259629964828491,-0.3427218198776245,-3.263087034225464
90,41757,-0.49801740050315857,-3.2561733722686768,-0.40599918365478516,-3.263087034225464
91,41767,-0.4674096405506134,-3.2561733722686768,-0.4366665780544281,-3.263087034225464
92,41777,-0.37417110800743103,-3.2699997425079346,-0.40498578548431396,-3.263087034225464
93,41787,-0.34257450699806213,-3.266543388366699,-0.40585193037986755,-3.259629964828491
94,41797,-0.3446889817714691,-3.266543388366699,-0.404072642326355,-3.259629964828491
95,41807,-0.5900111794471741,-3.2700002193450928,-0.4673500061035156,-3.259629964828491
96,41817,-0.22088639438152313,-3.266543388366699,-0.4673500061035156,-3.259629964828491
97,41827,-0.18826794624328613,-3.266543388366699,-0.4357534348964691,-3.259629964828491
98,41837,-0.2823844850063324,-3.2561733722686768,-0.4050780236721039,-3.259629964828491
99,41847,-0.3737524449825287,-3.266543388366699,-0.3435799181461334,-3.259629964828491
100,41857,-0.25038468837738037,-3.2561733722686768,-0.3118990957736969,-3.259629964828491
101,41867,-0.4671865403652191,-3.2700002193450928,-0.3435799181461334,-3.266543388366699
102,41877,-0.497063547372818,-3.263087034225464,-0.3435635566711426,-3.266543388366699
103,41887,-0.46755698323249817,-3.2561733722686768,-0.3742307722568512,-3.266543388366699
104,41897,-0.22073908150196075,-3.2596304416656494,-0.3435635566711426,-3.263087034225464
105,41907,-0.3427976667881012,-3.259629964828491,-0.3435635566711426,-3.2596304416656494
106,41917,-0.15845072269439697,-3.259629964828491,-0.3435635566711426,-3.2561733722686768
107,41927,-0.4981726408004761,-3.2630865573883057,-0.3435635566711426,-3.259629964828491
108,41937,-0.21973367035388947,-3.263087034225464,-0.31289616227149963,-3.259629964828491
109,41947,-0.5286087393760681,-3.263087034225464,-0.374318391084671,-3.263087034225464
110,41957,-0.40699660778045654,-3.263087034225464,-0.3743942677974701,-3.2596304416656494
111,41967,-0.46655967831611633,-3.266543388366699,-0.3743942677974701,-3.263087034225464
112,41977,-0.405612587928772,-3.266543388366699,-0.374318391084671,-3.263087034225464
113,41987,-0.4673583507537842,-3.259629964828491,-0.4366745948791504,-3.263087034225464
114,41997,-0.5603577494621277,-3.249260187149048,-0.46734198927879333,-3.263087034225464
115,42007,-0.4355654716491699,-3.2561733722686768,-0.46734198927879333,-3.263087034225464
116,42017,-0.2822452485561371,-3.259629964828491,-0.4356611967086792,-3.263087034225464
117,42027,-0.3127327263355255,-3.259629964828491,-0.4663284122943878,-3.259629964828491
118,42037,-0.34351205825805664,-3.270000457763672,-0.4058438837528229,-3.259629964828491
119,42047,-0.1893220692873001,-3.2665436267852783,-0.4058443009853363,-3.259629964828491
120,42057,-0.4369140863418579,-3.266543388366699,-0.34358033537864685,-3.259629964828491
121,42067,-0.37415432929992676,-3.2630865573883057,-0.3435799181461334,-3.259629964828491
122,42077,-0.37299421429634094,-3.2527170181274414,-0.4365111291408539,-3.259629964828491
123,42087,-0.4365030825138092,-3.2630865573883057,-0.40583571791648865,-3.259629964828491
124,42097,-0.40613028407096863,-3.266543388366699,-0.40583571791648865,-3.2630865573883057
125,42107,-0.31396499276161194,-3.2734568119049072,-0.40583571791648865,-3.2630865573883057
126,42117,-0.46657606959342957,-3.270000457763672,-0.37516847252845764,-3.2665436267852783
127,42127,-0.18802034854888916,-3.2630865573883057,-0.40583571791648865,-3.2630865573883057
128,42137,-0.3434956967830658,-3.263087034225464,-0.40583571791648865,-3.2630865573883057
129,42147,-0.31278571486473083,-3.263087034225464,-0.37415432929992676,-3.2630865573883057
130,42157,-0.15782380104064941,-3.263087034225464,-0.34448233246803284,-3.2665436267852783
131,42167,-0.3131907284259796,-3.263087034225464,-0.3437108099460602,-3.2665436267852783
132,42177,-0.49823078513145447,-3.2596304416656494,-0.3437108099460602,-3.263087034225464
