,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,40867,IMU0,-2,-8,3,-66,54,939
1,40867,IMU1,15,-30,4,-87,68,967
2,40877,IMU0,-5,6,1,-65,53,941
3,40877,IMU1,12,-15,3,-89,68,972
4,40887,IMU0,-11,-11,3,-67,54,937
5,40887,IMU1,6,-33,5,-87,69,962
6,40897,IMU0,-11,4,2,-66,53,927
7,40897,IMU1,5,-18,3,-88,69,958
8,40907,IMU0,-10,-6,3,-66,54,928
9,40907,IMU1,7,-29,4,-89,69,953
10,40917,IMU0,-4,3,2,-66,52,928
11,40917,IMU1,13,-19,3,-89,68,956
12,40927,IMU0,-5,-2,3,-66,53,929
13,40927,IMU1,12,-25,4,-88,69,958
14,40937,IMU0,-4,3,2,-66,54,937
15,40937,IMU1,12,-18,3,-89,70,965
16,40947,IMU0,-7,-2,2,-66,53,938
17,40947,IMU1,9,-24,3,-88,69,966
18,40957,IMU0,-9,-1,2,-66,52,935
19,40957,IMU1,8,-23,2,-89,68,964
20,40967,IMU0,-9,-4,3,-65,52,929
21,40967,IMU1,7,-24,3,-88,69,957
22,40977,IMU0,-8,0,2,-66,54,927
23,40977,IMU1,8,-22,4,-87,70,956
24,40987,IMU0,-5,0,2,-66,53,929
25,40987,IMU1,10,-22,4,-87,69,958
26,40997,IMU0,-5,0,2,-65,52,932
27,40997,IMU1,10,-22,3,-87,69,960
28,41007,IMU0,-7,0,2,-65,54,935
29,41007,IMU1,9,-22,3,-85,69,965
30,41017,IMU0,-8,0,2,-66,53,935
31,41017,IMU1,8,-22,3,-87,69,965
32,41027,IMU0,-10,-1,3,-66,53,932
33,41027,IMU1,6,-22,4,-87,69,962
34,41037,IMU0,-10,-2,2,-66,53,931
35,41037,IMU1,7,-23,3,-88,69,959
36,41047,IMU0,-8,-1,3,-66,54,931
37,41047,IMU1,8,-22,3,-89,69,957
38,41057,IMU0,-7,0,3,-66,53,933
39,41057,IMU1,10,-21,3,-90,70,961
40,41067,IMU0,-6,-1,3,-66,53,937
41,41067,IMU1,10,-22,3,-90,69,964
42,41077,IMU0,-6,-1,3,-66,52,936
43,41077,IMU1,10,-21,3,-89,69,966
44,41087,IMU0,-7,-2,2,-66,53,933
45,41087,IMU1,9,-22,5,-88,69,964
46,41097,IMU0,-8,-2,3,-67,53,931
47,41097,IMU1,8,-22,5,-88,69,960
48,41107,IMU0,-8,-1,3,-66,53,928
49,41107,IMU1,8,-23,5,-88,69,959
50,41117,IMU0,-7,-1,3,-66,52,927
51,41117,IMU1,8,-22,4,-88,69,956
52,41127,IMU0,-7,0,3,-66,53,932
53,41127,IMU1,9,-22,4,-88,69,958
54,41137,IMU0,-6,0,3,-66,52,933
55,41137,IMU1,10,-21,3,-88,69,960
56,41147,IMU0,-7,0,3,-66,51,935
57,41147,IMU1,9,-22,3,-88,69,963
58,41157,IMU0,-8,-1,3,-66,52,933
59,41157,IMU1,9,-24,3,-88,69,962
60,41167,IMU0,-8,-2,3,-66,53,933
61,41167,IMU1,8,-24,3,-87,69,961
62,41177,IMU0,-8,-2,3,-65,53,932
63,41177,IMU1,8,-22,4,-88,69,958
64,41187,IMU0,-8,-1,3,-66,53,930
65,41187,IMU1,8,-23,4,-89,69,959
66,41197,IMU0,-7,1,3,-66,53,933
