,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,40857,0,0,1,0,0,0
1,40867,0,0,1,0,0,0
2,40877,0,0,1,0,0,0
3,40887,0,0,1,0,0,0
4,40897,0,0,1,0,0,0
5,40907,0,0,1,0,0,0
6,40917,0,0,1,0,0,0
7,40927,0,0,1,0,0,0
8,40937,0,0,1,0,0,0
9,40947,0,0,1,0,0,0
10,40957,0,0,1,0,0,0
11,40967,0,0,1,0,0,0
12,40977,0,0,1,0,0,0
13,40987,0,0,1,0,0,0
14,40997,0,0,1,0,0,0
15,41007,0,0,1,0,0,0
16,41017,0,0,1,0,0,0
17,41027,0,0,1,0,0,0
18,41037,0,0,1,0,0,0
19,41047,0,0,1,0,0,0
20,41057,0,0,1,0,0,0
21,41067,0,0,1,0,0,0
22,41077,0,0,1,0,0,0
23,41087,0,0,1,0,0,0
24,41097,0,0,1,0,0,0
25,41107,0,0,1,0,0,0
26,41117,0,0,1,0,0,0
27,41127,0,0,1,0,0,0
28,41137,0,0,1,0,0,0
29,41147,0,0,1,0,0,0
30,41157,0,0,1,0,0,0
31,41167,0,0,1,0,0,0
32,41177,0,0,1,0,0,0
33,41187,0,0,1,0,0,0
34,41197,0,0,1,0,0,0
35,41207,0,0,1,0,0,0
36,41217,0,0,1,0,0,0
37,41227,0,0,1,0,0,0
38,41237,0,0,1,0,0,0
39,41247,0,0,1,0,0,0
40,41257,0,0,1,0,0,0
41,41267,0,0,1,0,0,0
42,41277,0,0,1,0,0,0
43,41287,0,0,1,0,0,0
44,41297,0,0,1,0,0,0
45,41307,0,0,1,0,0,0
46,41317,0,0,1,0,0,0
47,41327,0,0,1,0,0,0
48,41337,0,0,1,0,0,0
49,41347,0,0,1,0,0,0
50,41357,0,0,1,0,0,0
51,41367,0,0,1,0,0,0
52,41377,0,0,1,0,0,0
53,41387,0,0,1,0,0,0
54,41397,0,0,1,0,0,0
55,41407,0,0,1,0,0,0
56,41417,0,0,1,0,0,0
57,41427,0,0,1,0,0,0
58,41437,0,0,1,0,0,0
59,41447,0,0,1,0,0,0
60,41457,0,0,1,0,0,0
61,41467,0,0,1,0,0,0
62,41477,0,0,1,0,0,0
