,ts,id,T,P
0,0.01,BARO0,29.97,96885
1,0.01,BARO1,30.12,96791
2,0.01,BARO2,31.03,96817
3,0.02,BARO0,29.97,96887
4,0.02,BARO1,30.13,96790
5,0.02,BARO2,31.03,96813
6,0.03,BARO0,29.97,96889
7,0.03,BARO1,30.13,96794
8,0.03,BARO2,31.04,96823
9,0.04,BARO0,29.97,96884
10,0.04,BARO1,30.13,96798
11,0.04,BARO2,31.04,96817
12,0.05,BARO0,29.97,96882
13,0.05,BARO1,30.13,96790
14,0.05,BARO2,31.04,96815
15,0.06,BARO0,29.97,96887
16,0.06,BARO1,30.13,96785
17,0.06,BARO2,31.04,96819
18,0.07,BARO0,29.97,96887
19,0.07,BARO1,30.13,96788
20,0.07,BARO2,31.04,96812
21,0.08,BARO0,29.97,96885
22,0.08,BARO1,30.13,96784
23,0.08,BARO2,31.04,96818
24,0.09,BARO0,29.97,96881
25,0.09,BARO1,30.13,96793
26,0.09,BARO2,31.03,96816
27,0.1,BARO0,29.97,96889
28,0.1,BARO1,30.13,96787
29,0.1,BARO2,31.04,96822
30,0.11,BARO0,29.97,96889
31,0.11,BARO1,30.13,96785
32,0.11,BARO2,31.03,96809
33,0.12,BARO0,29.97,96892
34,0.12,BARO1,30.12,96790
35,0.12,BARO2,31.04,96816
36,0.13,BARO0,29.97,96883
37,0.13,BARO1,30.13,96791
38,0.13,BARO2,31.03,96822
39,0.14,BARO0,29.97,96889
40,0.14,BARO1,30.13,96792
41,0.14,BARO2,31.04,96825
42,0.15,BARO0,29.97,96890
43,0.15,BARO1,30.13,96783
44,0.15,BARO2,31.04,96811
45,0.16,BARO0,29.97,96885
46,0.16,BARO1,30.13,96796
47,0.16,BARO2,31.04,96818
48,0.17,BARO0,29.98,96888
49,0.17,BARO1,30.13,96785
50,0.17,BARO2,31.04,96819
51,0.18,BARO0,29.97,96885
52,0.18,BARO1,30.13,96788
53,0.18,BARO2,31.04,96818
54,0.19,BARO0,29.98,96885
55,0.19,BARO1,30.13,96788
56,0.19,BARO2,31.04,96818
57,0.2,BARO0,29.97,96889
58,0.2,BARO1,30.13,96788
59,0.2,BARO2,31.03,96820
60,0.21,BARO0,29.98,96895
61,0.21,BARO1,30.13,96790
62,0.21,BARO2,31.04,96812
63,0.22,BARO0,29.97,96887
64,0.22,BARO1,30.13,96789
65,0.22,BARO2,31.03,96817
66,0.23,BARO0,29.97,96887
67,0.23,BARO1,30.13,96789
68,0.23,BARO2,31.04,96816
69,0.24,BARO0,29.97,96884
70,0.24,BARO1,30.12,96793
71,0.24,BARO2,31.04,96818
72,0.25,BARO0,29.97,96883
73,0.25,BARO1,30.13,96789
74,0.25,BARO2,31.04,96825
75,0.26,BARO0,29.97,96894
76,0.26,BARO1,30.13,96787
77,0.26,BARO2,31.04,96822
78,0.27,BARO0,29.98,96887
