,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,0.001,9.317,-0.194,0.154,3.622,9.317,-0.194,0.154,3.622
1,0.011,9.316,-0.193,0.159,3.625,9.316,-0.193,0.159,3.625
2,0.021,9.241,-0.179,0.201,3.811,9.241,-0.179,0.201,3.811
3,0.031,8.84,-0.131,0.298,4.662,8.84,-0.131,0.298,4.662
4,0.041,8.296,-0.073,0.337,5.571,8.296,-0.073,0.337,5.571
5,0.051,8.386,-0.135,0.226,5.439,8.386,-0.135,0.226,5.439
6,0.061,8.54,-0.158,0.184,5.196,8.54,-0.158,0.184,5.196
7,0.071,8.711,-0.175,0.158,4.903,8.711,-0.175,0.158,4.903
8,0.081,8.859,-0.189,0.143,4.632,8.859,-0.189,0.143,4.632
9,0.091,8.99,-0.207,0.135,4.372,8.99,-0.207,0.135,4.372
10,0.101,9.079,-0.205,0.141,4.182,9.079,-0.205,0.141,4.182
11,0.111,9.125,-0.196,0.149,4.082,9.125,-0.196,0.149,4.082
12,0.121,9.136,-0.189,0.154,4.057,9.136,-0.189,0.154,4.057
13,0.131,9.105,-0.181,0.166,4.125,9.105,-0.181,0.166,4.125
14,0.141,9.051,-0.169,0.179,4.244,9.051,-0.169,0.179,4.244
15,0.151,8.992,-0.166,0.184,4.366,8.992,-0.166,0.184,4.366
16,0.161,8.941,-0.164,0.188,4.469,8.941,-0.164,0.188,4.469
17,0.171,8.96,-0.176,0.173,4.433,8.96,-0.176,0.173,4.433
18,0.181,9.005,-0.187,0.16,4.34,9.005,-0.187,0.16,4.34
19,0.191,9.041,-0.188,0.159,4.264,9.041,-0.188,0.159,4.264
20,0.201,9.115,-0.212,0.166,4.102,9.115,-0.212,0.166,4.102
21,0.211,9.275,-0.255,0.149,3.725,9.275,-0.255,0.149,3.725
22,0.221,9.388,-0.261,0.157,3.43,9.388,-0.261,0.157,3.43
23,0.231,9.3,-0.246,0.203,3.661,9.3,-0.246,0.203,3.661
24,0.241,8.592,-0.175,0.29,5.104,8.592,-0.175,0.29,5.104
25,0.251,7.667,-0.084,0.371,6.408,7.667,-0.084,0.371,6.408
26,0.261,6.641,0.003,0.444,7.462,6.641,0.003,0.444,7.462
27,0.271,5.526,0.075,0.523,8.317,5.526,0.075,0.523,8.317
28,0.281,4.275,0.14,0.622,9.017,4.275,0.14,0.622,9.017
29,0.291,2.924,0.21,0.744,9.531,2.924,0.21,0.744,9.531
30,0.301,1.464,0.298,0.881,9.848,1.464,0.298,0.881,9.848
31,0.311,0.121,0.393,1.026,9.938,0.121,0.393,1.026,9.938
32,0.321,-1.082,0.493,1.167,9.86,-1.082,0.493,1.167,9.86
33,0.331,-2.143,0.597,1.298,9.662,-2.143,0.597,1.298,9.662
34,0.341,-3.057,0.709,1.415,9.388,-3.057,0.709,1.415,9.388
35,0.351,-3.829,0.831,1.514,9.074,-3.829,0.831,1.514,9.074
36,0.361,-4.458,0.958,1.591,8.756,-4.458,0.958,1.591,8.756
37,0.371,-4.97,1.088,1.638,8.451,-4.97,1.088,1.638,8.451
38,0.381,-5.392,1.165,1.609,8.183,-5.392,1.165,1.609,8.183
39,0.391,-5.727,1.211,1.528,7.962,-5.727,1.211,1.528,7.962
40,0.401,-5.969,1.269,1.414,7.794,-5.969,1.269,1.414,7.794
41,0.411,-6.138,1.338,1.338,7.663,-6.138,1.338,1.338,7.663
42,0.421,-6.256,1.427,1.341,7.551,-6.256,1.427,1.341,7.551
43,0.431,-6.341,1.498,1.352,7.464,-6.341,1.498,1.352,7.464
44,0.441,-6.408,1.546,1.368,7.393,-6.408,1.546,1.368,7.393
45,0.451,-6.466,1.573,1.382,7.334,-6.466,1.573,1.382,7.334
46,0.461,-6.521,1.58,1.385,7.283,-6.521,1.58,1.385,7.283
47,0.471,-6.571,1.572,1.369,7.243,-6.571,1.572,1.369,7.243
48,0.481,-6.61,1.553,1.329,7.219,-6.61,1.553,1.329,7.219
49,0.491,-6.628,1.528,1.274,7.217,-6.628,1.528,1.274,7.217
50,0.501,-6.622,1.509,1.214,7.237,-6.622,1.509,1.214,7.237
51,0.511,-6.59,1.509,1.162,7.275,-6.59,1.509,1.162,7.275
52,0.521,-6.53,1.534,1.128,7.329,-6.53,1.534,1.128,7.329
53,0.531,-6.447,1.583,1.133,7.391,-6.447,1.583,1.133,7.391
54,0.541,-6.334,1.641,1.109,7.479,-6.334,1.641,1.109,7.479
55,0.551,-6.212,1.698,1.083,7.572,-6.212,1.698,1.083,7.572
56,0.561,-6.092,1.745,1.056,7.662,-6.092,1.745,1.056,7.662
57,0.571,-5.978,1.775,1.028,7.749,-5.978,1.775,1.028,7.749
58,0.581,-5.884,1.786,0.994,7.822,-5.884,1.786,0.994,7.822
59,0.591,-5.81,1.784,0.956,7.883,-5.81,1.784,0.956,7.883
60,0.601,-5.744,1.805,0.911,7.931,-5.744,1.805,0.911,7.931
61,0.611,-5.678,1.895,0.882,7.961,-5.678,1.895,0.882,7.961
62,0.621,-5.617,1.936,0.834,8.0,-5.617,1.936,0.834,8.0
63,0.631,-5.551,1.937,0.755,8.053,-5.551,1.937,0.755,8.053
64,0.641,-5.47,1.943,0.666,8.114,-5.47,1.943,0.666,8.114
65,0.651,-5.376,1.954,0.571,8.181,-5.376,1.954,0.571,8.181
66,0.661,-5.269,1.966,0.476,8.254,-5.269,1.966,0.476,8.254
67,0.671,-5.152,1.979,0.387,8.329,-5.152,1.979,0.387,8.329
68,0.681,-5.029,1.996,0.304,8.403,-5.029,1.996,0.304,8.403
69,0.691,-4.9,2.02,0.232,8.476,-4.9,2.02,0.232,8.476
70,0.701,-4.766,2.052,0.173,8.546,-4.766,2.052,0.173,8.546
71,0.711,-4.63,2.09,0.135,8.612,-4.63,2.09,0.135,8.612
72,0.721,-4.497,2.12,0.12,8.675,-4.497,2.12,0.12,8.675
73,0.731,-4.364,2.133,0.13,8.739,-4.364,2.133,0.13,8.739
74,0.741,-4.237,2.123,0.158,8.803,-4.237,2.123,0.158,8.803
75,0.751,-4.115,2.096,0.191,8.867,-4.115,2.096,0.191,8.867
76,0.761,-3.985,2.056,0.223,8.934,-3.985,2.056,0.223,8.934
77,0.771,-3.811,2.012,0.254,9.019,-3.811,2.012,0.254,9.019
78,0.781,-3.621,1.969,0.274,9.106,-3.621,1.969,0.274,9.106
79,0.791,-3.417,1.929,0.286,9.193,-3.417,1.929,0.286,9.193
80,0.801,-3.188,1.89,0.295,9.283,-3.188,1.89,0.295,9.283
81,0.811,-2.933,1.849,0.299,9.374,-2.933,1.849,0.299,9.374
82,0.821,-2.632,1.799,0.259,9.474,-2.632,1.799,0.259,9.474
83,0.831,-2.264,1.74,0.166,9.582,-2.264,1.74,0.166,9.582
84,0.841,-1.855,1.692,0.088,9.679,-1.855,1.692,0.088,9.679
85,0.851,-1.426,1.67,0.036,9.755,-1.426,1.67,0.036,9.755
86,0.861,-0.996,1.671,-0.008,9.808,-0.996,1.671,-0.008,9.808
87,0.871,-0.57,1.689,-0.046,9.839,-0.57,1.689,-0.046,9.839
88,0.881,-0.163,1.705,-0.086,9.851,-0.163,1.705,-0.086,9.851
89,0.891,0.218,1.71,-0.114,9.849,0.218,1.71,-0.114,9.849
90,0.901,0.562,1.706,-0.108,9.836,0.562,1.706,-0.108,9.836
91,0.911,0.849,1.694,-0.063,9.818,0.849,1.694,-0.063,9.818
92,0.921,1.082,1.683,0.004,9.797,1.082,1.683,0.004,9.797
93,0.931,1.262,1.665,0.091,9.778,1.262,1.665,0.091,9.778
94,0.941,1.391,1.635,0.184,9.764,1.391,1.635,0.184,9.764
95,0.951,1.5,1.58,0.248,9.756,1.5,1.58,0.248,9.756
96,0.961,1.615,1.478,0.271,9.753,1.615,1.478,0.271,9.753
97,0.971,1.754,1.347,0.255,9.748,1.754,1.347,0.255,9.748
98,0.981,1.911,1.215,0.249,9.736,1.911,1.215,0.249,9.736
99,0.991,2.072,1.089,0.264,9.718,2.072,1.089,0.264,9.718
100,1.001,2.23,0.989,0.287,9.693,2.23,0.989,0.287,9.693
101,1.011,2.376,0.917,0.318,9.664,2.376,0.917,0.318,9.664
102,1.021,2.489,0.86,0.353,9.64,2.489,0.86,0.353,9.64
103,1.031,2.561,0.807,0.394,9.624,2.561,0.807,0.394,9.624
