,ts,id,T,P
0,64597,BARO0,2997,96885
1,64597,BARO1,3012,96791
2,64597,BARO2,3103,96817
3,64607,BARO0,2997,96887
4,64607,BARO1,3013,96790
5,64607,BARO2,3103,96813
6,64617,BARO0,2997,96889
7,64617,BARO1,3013,96794
8,64617,BARO2,3104,96823
9,64627,BARO0,2997,96884
10,64627,BARO1,3013,96798
11,64627,BARO2,3104,96817
12,64637,BARO0,2997,96882
13,64637,BARO1,3013,96790
14,64637,BARO2,3104,96815
15,64647,BARO0,2997,96887
16,64647,BARO1,3013,96785
17,64647,BARO2,3104,96819
18,64657,BARO0,2997,96887
19,64657,BARO1,3013,96788
20,64657,BARO2,3104,96812
21,64667,BARO0,2997,96885
22,64667,BARO1,3013,96784
23,64667,BARO2,3104,96818
24,64677,BARO0,2997,96881
25,64677,BARO1,3013,96793
26,64677,BARO2,3103,96816
27,64687,BARO0,2997,96889
28,64687,BARO1,3013,96787
29,64687,BARO2,3104,96822
30,64697,BARO0,2997,96889
31,64697,BARO1,3013,96785
32,64697,BARO2,3103,96809
33,64707,BARO0,2997,96892
34,64707,BARO1,3012,96790
35,64707,BARO2,3104,96816
36,64717,BARO0,2997,96883
37,64717,BARO1,3013,96791
38,64717,BARO2,3103,96822
39,64727,BARO0,2997,96889
40,64727,BARO1,3013,96792
41,64727,BARO2,3104,96825
42,64737,BARO0,2997,96890
43,64737,BARO1,3013,96783
44,64737,BARO2,3104,96811
45,64747,BARO0,2997,96885
46,64747,BARO1,3013,96796
47,64747,BARO2,3104,96818
48,64757,BARO0,2998,96888
49,64757,BARO1,3013,96785
50,64757,BARO2,3104,96819
51,64767,BARO0,2997,96885
52,64767,BARO1,3013,96788
53,64767,BARO2,3104,96818
54,64777,BARO0,2998,96885
55,64777,BARO1,3013,96788
56,64777,BARO2,3104,96818
57,64787,BARO0,2997,96889
58,64787,BARO1,3013,96788
59,64787,BARO2,3103,96820
60,64797,BARO0,2998,96895
61,64797,BARO1,3013,96790
62,64797,BARO2,3104,96812
63,64807,BARO0,2997,96887
64,64807,BARO1,3013,96789
65,64807,BARO2,3103,96817
66,64817,BARO0,2997,96887
67,64817,BARO1,3013,96789
68,64817,BARO2,3104,96816
69,64827,BARO0,2997,96884
70,64827,BARO1,3012,96793
