,ts,id,T,P
0,0.0,BARO0,30.95,96973
1,0.0,BARO1,30.72,96877
2,0.0,BARO2,31.49,96883
3,0.01,BARO0,30.93,96951
4,0.01,BARO1,30.72,96858
5,0.01,BARO2,31.49,96864
6,0.02,BARO0,30.93,96951
7,0.02,BARO1,30.73,96862
8,0.02,BARO2,31.49,96864
9,0.03,BARO0,30.93,96951
10,0.03,BARO1,30.73,96862
11,0.03,BARO2,31.49,96883
12,0.04,BARO0,30.93,96951
13,0.04,BARO1,30.73,96862
14,0.04,BARO2,31.49,96883
15,0.05,BARO0,30.93,96951
16,0.05,BARO1,30.72,96858
17,0.05,BARO2,31.47,96860
18,0.06,BARO0,30.93,96951
19,0.06,BARO1,30.72,96858
20,0.06,BARO2,31.49,96883
21,0.07,BARO0,30.93,96951
22,0.07,BARO1,30.73,96881
23,0.07,BARO2,31.49,96901
24,0.08,BARO0,30.93,96933
25,0.08,BARO1,30.73,96862
26,0.08,BARO2,31.49,96864
27,0.09,BARO0,30.93,96933
28,0.09,BARO1,30.72,96858
29,0.09,BARO2,31.49,96864
30,0.1,BARO0,30.93,96951
31,0.1,BARO1,30.73,96862
32,0.1,BARO2,31.49,96883
33,0.11,BARO0,30.93,96933
34,0.11,BARO1,30.73,96862
35,0.11,BARO2,31.49,96883
36,0.12,BARO0,30.93,96951
37,0.12,BARO1,30.73,96843
38,0.12,BARO2,31.49,96883
39,0.13,BARO0,30.93,96951
40,0.13,BARO1,30.73,96862
41,0.13,BARO2,31.49,96883
42,0.14,BARO0,30.93,96951
43,0.14,BARO1,30.73,96843
44,0.14,BARO2,31.49,96883
45,0.15,BARO0,30.95,96955
46,0.15,BARO1,30.73,96862
47,0.15,BARO2,31.49,96883
48,0.16,BARO0,30.93,96951
49,0.16,BARO1,30.72,96858
50,0.16,BARO2,31.49,96864
51,0.17,BARO0,30.93,96951
52,0.17,BARO1,30.73,96881
53,0.17,BARO2,31.49,96883
54,0.18,BARO0,30.93,96951
55,0.18,BARO1,30.72,96877
56,0.18,BARO2,31.49,96883
57,0.19,BARO0,30.93,96933
58,0.19,BARO1,30.73,96862
59,0.19,BARO2,31.49,96883
60,0.2,BARO0,30.93,96933
61,0.2,BARO1,30.73,96862
62,0.2,BARO2,31.49,96864
63,0.21,BARO0,30.93,96951
64,0.21,BARO1,30.73,96862
65,0.21,BARO2,31.49,96883
66,0.22,BARO0,30.93,96933
67,0.22,BARO1,30.73,96862
68,0.22,BARO2,31.49,96883
69,0.23,BARO0,30.93,96951
70,0.23,BARO1,30.73,96862
71,0.23,BARO2,31.49,96883
