,ts,height,velocity,acceleration,lower_bound,upper_bound
0,0.001,-0.11913606524467468,-0.07798800617456436,-0.059609558433294296,0.9470724099943242,-1.1853445404836735
1,0.011,-0.1213611364364624,-0.08064735680818558,-0.051112353801727295,0.9448189744538997,-1.1875412473268245
2,0.021,-0.12181656062602997,-0.08068589121103287,-0.05101903900504112,0.944330216473301,-1.187963337725361
3,0.031,-0.1222592368721962,-0.08070433884859085,-0.05092230439186096,0.9438491736303831,-1.1883676473747755
4,0.041,-0.1200798898935318,-0.07689104229211807,-0.05013468861579895,0.9459851835629496,-1.1861449633500132
5,0.051,-0.11792630702257156,-0.07316360622644424,-0.049364328384399414,0.9480904583322709,-1.183943072377414
6,0.061,-0.11579816788434982,-0.069432333111763,-0.030855536460876465,0.9501654434489459,-1.1817617792176456
7,0.071,-0.11369555443525314,-0.06587386876344681,-0.047874655574560165,0.9522099304133023,-1.1796010392838086
8,0.081,-0.11074066162109375,-0.0610717236995697,-0.03804641216993332,0.9551018492917702,-1.1765831725339577
9,0.091,-0.10870237648487091,-0.05766930431127548,-0.03734999895095825,0.9570723750989647,-1.1744771280687065
10,0.101,-0.10756780207157135,-0.055629584938287735,-0.03690025210380554,0.9581344038771065,-1.1732700080202492
11,0.111,-0.10732416063547134,-0.05491616204380989,-0.036689870059490204,0.9583008382458491,-1.1729491595167918
12,0.121,-0.1070806160569191,-0.05421135574579239,-0.03648156672716141,0.9584625133115712,-1.1726237454254094
13,0.131,-0.10856819897890091,-0.05604162812232971,-0.03672848269343376,0.9568884602921708,-1.1740248582499726
14,0.141,-0.11003068834543228,-0.05781082808971405,-0.0369638092815876,0.9553350250055026,-1.1753964016963672
15,0.151,-0.11146820336580276,-0.0595199316740036,-0.03718775510787964,0.9538021500426024,-1.176738556774208
16,0.161,-0.11288068443536758,-0.061125531792640686,-0.02852277085185051,0.9522898938226116,-1.1780512626933468
17,0.171,-0.11602701246738434,-0.06523888558149338,-0.02918318659067154,0.9490394371501529,-1.1810934620849216
18,0.181,-0.11912258714437485,-0.06922420114278793,-0.029818929731845856,0.9458355049959568,-1.1840806792847065
19,0.191,-0.12216782569885254,-0.07312782108783722,-0.039308175444602966,0.9426778047801128,-1.1870134561778178
20,0.201,-0.12340428680181503,-0.0742986872792244,-0.030561115592718124,0.9413248395097871,-1.1881334131134171
21,0.211,-0.1237388551235199,-0.07413887232542038,-0.03045455366373062,0.9408697861733619,-1.1883474964204017
22,0.221,-0.12403510510921478,-0.07396864891052246,-0.0392163060605526,0.9404491319670192,-1.1885193421854487
23,0.231,-0.12432140856981277,-0.07382944226264954,-0.047976020723581314,0.9400346297070916,-1.1886774468467172
24,0.241,-0.1245979368686676,-0.07363288849592209,-0.038978271186351776,0.9396262326760287,-1.188822106413364
25,0.251,-0.12401239573955536,-0.07222640514373779,-0.047514088451862335,0.9400763598088004,-1.1881011512879112
