,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,0.001,9.401,0.209,-0.025,3.458,9.398,0.206,-0.03,3.408
1,0.011,9.357,0.197,-0.023,3.523,9.353,0.192,-0.028,3.53
2,0.021,9.592,0.192,-0.023,2.951,9.574,0.186,-0.026,2.878
3,0.031,9.576,0.193,-0.023,2.875,9.577,0.189,-0.027,2.868
4,0.041,9.652,0.197,-0.024,2.631,9.652,0.193,-0.028,2.605
5,0.051,9.501,0.201,-0.025,3.234,9.443,0.196,-0.028,3.283
6,0.061,9.452,0.199,-0.024,3.258,9.45,0.195,-0.028,3.262
7,0.071,9.508,0.195,-0.023,3.098,9.511,0.19,-0.027,3.081
8,0.081,9.459,0.199,-0.024,3.243,9.452,0.196,-0.028,3.257
9,0.091,9.518,0.199,-0.024,3.069,9.521,0.195,-0.028,3.05
10,0.101,9.47,0.204,-0.025,3.211,9.463,0.2,-0.029,3.224
11,0.111,9.54,0.207,-0.025,3.005,9.542,0.204,-0.029,2.983
12,0.121,9.534,0.204,-0.025,3.01,9.533,0.199,-0.029,3.01
13,0.131,9.471,0.204,-0.025,3.215,9.46,0.2,-0.029,3.234
14,0.141,9.45,0.2,-0.024,3.265,9.447,0.195,-0.028,3.27
15,0.151,9.464,0.204,-0.024,3.223,9.465,0.2,-0.029,3.219
16,0.161,9.53,0.203,-0.024,3.034,9.532,0.199,-0.029,3.014
17,0.171,9.468,0.204,-0.025,3.223,9.457,0.2,-0.029,3.241
18,0.181,9.46,0.204,-0.025,3.233,9.46,0.2,-0.029,3.234
19,0.191,9.451,0.2,-0.024,3.261,9.45,0.196,-0.028,3.264
20,0.201,9.446,0.2,-0.024,3.275,9.445,0.196,-0.028,3.276
21,0.211,9.448,0.2,-0.024,3.268,9.449,0.196,-0.028,3.267
22,0.221,9.438,0.196,-0.023,3.299,9.436,0.191,-0.027,3.302
23,0.231,9.366,0.196,-0.023,3.513,9.352,0.192,-0.028,3.532
24,0.241,9.358,0.196,-0.023,3.518,9.358,0.192,-0.027,3.519
25,0.251,9.372,0.2,-0.024,3.482,9.373,0.197,-0.028,3.478
26,0.261,9.376,0.201,-0.023,3.469,9.377,0.197,-0.028,3.468
27,0.271,9.372,0.201,-0.024,3.481,9.371,0.197,-0.028,3.482
28,0.281,9.392,0.205,-0.024,3.427,9.393,0.202,-0.029,3.422
29,0.291,9.448,0.2,-0.024,3.276,9.451,0.196,-0.028,3.26
30,0.301,9.438,0.196,-0.023,3.298,9.437,0.191,-0.027,3.301
31,0.311,9.435,0.195,-0.023,3.307,9.434,0.191,-0.027,3.307
32,0.321,9.437,0.195,-0.023,3.299,9.437,0.191,-0.027,3.299
33,0.331,9.45,0.199,-0.024,3.264,9.451,0.196,-0.028,3.26
34,0.341,9.4,0.205,-0.025,3.412,9.392,0.201,-0.029,3.426
35,0.351,9.362,0.197,-0.023,3.512,9.357,0.192,-0.027,3.522
36,0.361,9.377,0.2,-0.024,3.467,9.379,0.197,-0.028,3.463
37,0.371,9.374,0.201,-0.024,3.475,9.374,0.197,-0.028,3.476
38,0.381,9.358,0.197,-0.023,3.518,9.356,0.192,-0.027,3.522
39,0.391,9.446,0.2,-0.024,3.291,9.449,0.196,-0.028,3.266
40,0.401,9.448,0.2,-0.024,3.269,9.448,0.196,-0.028,3.268
41,0.411,9.447,0.2,-0.024,3.271,9.447,0.196,-0.028,3.272
42,0.421,9.452,0.2,-0.024,3.258,9.452,0.195,-0.028,3.257
43,0.431,9.37,0.196,-0.023,3.505,9.355,0.192,-0.028,3.527
44,0.441,9.447,0.2,-0.024,3.287,9.45,0.196,-0.028,3.263
45,0.451,9.452,0.2,-0.024,3.257,9.453,0.196,-0.028,3.255
46,0.461,9.446,0.199,-0.024,3.276,9.445,0.196,-0.028,3.278
47,0.471,9.381,0.2,-0.024,3.469,9.369,0.197,-0.028,3.487
48,0.481,9.446,0.2,-0.024,3.286,9.448,0.196,-0.028,3.267
49,0.491,9.52,0.199,-0.024,3.068,9.523,0.195,-0.028,3.045
50,0.501,9.462,0.2,-0.024,3.237,9.453,0.196,-0.028,3.253
51,0.511,9.516,0.199,-0.024,3.075,9.518,0.195,-0.028,3.058
52,0.521,9.532,0.203,-0.024,3.015,9.534,0.199,-0.029,3.009
53,0.531,9.523,0.199,-0.024,3.042,9.523,0.195,-0.028,3.045
54,0.541,9.513,0.195,-0.023,3.076,9.511,0.19,-0.027,3.08
55,0.551,9.46,0.199,-0.024,3.243,9.452,0.196,-0.028,3.258
56,0.561,9.453,0.2,-0.024,3.253,9.453,0.196,-0.028,3.255
57,0.571,9.434,0.196,-0.024,3.312,9.431,0.191,-0.028,3.317
58,0.581,9.375,0.201,-0.026,3.48,9.366,0.197,-0.029,3.496
59,0.591,9.611,0.199,-0.024,2.894,9.592,0.194,-0.028,2.82
60,0.601,9.598,0.203,-0.025,2.8,9.599,0.199,-0.029,2.792
61,0.611,9.535,0.2,-0.025,3.025,9.522,0.195,-0.028,3.046
62,0.621,9.409,0.201,-0.024,3.432,9.377,0.197,-0.028,3.467
63,0.631,9.447,0.2,-0.023,3.279,9.45,0.195,-0.028,3.264
64,0.641,9.372,0.196,-0.023,3.495,9.359,0.192,-0.027,3.515
65,0.651,9.359,0.196,-0.023,3.514,9.359,0.192,-0.027,3.516
66,0.661,9.432,0.195,-0.023,3.325,9.435,0.191,-0.027,3.305
