,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,0.069,0,0,0,0,0,0
1,0.079,0,0,0,0,0,0
2,0.089,0,0,0,0,0,0
3,0.099,0,0,0,0,0,0
4,0.109,0,0,0,0,0,0
5,0.119,0,0,0,0,0,0
6,0.129,0,0,0,0,0,0
7,0.139,0,0,0,0,0,0
8,0.149,0,0,0,0,0,0
9,0.159,0,0,0,0,0,0
10,0.169,0,0,0,0,0,0
11,0.179,0,0,0,0,0,0
12,0.189,0,0,0,0,0,0
13,0.199,0,0,0,0,0,0
14,0.209,0,0,0,0,0,0
15,0.219,0,0,0,0,0,0
16,0.229,0,0,0,0,0,0
17,0.239,0,0,0,0,0,0
18,0.249,0,0,0,0,0,0
19,0.259,0,0,0,0,0,0
20,0.269,0,0,0,0,0,0
21,0.279,0,0,0,0,0,0
22,0.289,0,0,0,0,0,0
23,0.299,0,0,0,0,0,0
24,0.309,0,0,0,0,0,0
25,0.319,0,0,0,0,0,0
26,0.329,0,0,0,0,0,0
27,0.339,0,0,0,0,0,0
28,0.349,0,0,0,0,0,0
29,0.359,0,0,0,0,0,0
30,0.369,0,0,0,0,0,0
31,0.379,0,0,0,0,0,0
32,0.389,0,0,0,0,0,0
33,0.399,0,0,0,0,0,0
34,0.409,0,0,0,0,0,0
35,0.419,0,0,0,0,0,0
36,0.429,0,0,0,0,0,0
37,0.439,0,0,0,0,0,0
38,0.449,0,0,0,0,0,0
39,0.459,0,0,0,0,0,0
40,0.469,0,0,0,0,0,0
41,0.479,0,0,0,0,0,0
42,0.489,0,0,0,0,0,0
43,0.499,0,0,0,0,0,0
44,0.509,0,0,0,0,0,0
45,0.519,0,0,0,0,0,0
46,0.529,0,0,0,0,0,0
47,0.539,0,0,0,0,0,0
48,0.549,0,0,0,0,0,0
49,0.559,0,0,0,0,0,0
50,0.569,0,0,0,0,0,0
51,0.579,0,0,0,0,0,0
52,0.589,0,0,0,0,0,0
53,0.599,0,0,0,0,0,0
54,0.609,0,0,0,0,0,0
55,0.619,0,0,0,0,0,0
56,0.629,0,0,0,0,0,0
57,0.639,0,0,0,0,0,0
58,0.649,0,0,0,0,0,0
59,0.659,0,0,0,0,0,0
60,0.669,0,0,0,0,0,0
61,0.679,0,0,0,0,0,0
62,0.689,0,0,0,0,0,0
63,0.699,0,0,0,0,0,0
64,0.709,0,0,0,0,0,0
65,0.719,0,0,0,0,0,0
66,0.729,0,0,0,0,0,0
67,0.739,0,0,0,0,0,0
68,0.749,0,0,0,0,0,0
69,0.759,0,0,0,0,0,0
70,0.769,0,0,0,0,0,0
71,0.779,0,0,0,0,0,0
72,0.789,0,0,0,0,0,0
73,0.799,0,0,0,0,0,0
74,0.809,0,0,0,0,0,0
75,0.819,0,0,0,0,0,0
76,0.829,0,0,0,0,0,0
77,0.839,0,0,0,0,0,0
78,0.849,0,0,0,0,0,0
79,0.859,0,0,0,0,0,0
80,0.869,0,0,0,0,0,0
81,0.879,0,0,0,0,0,0
82,0.889,0,0,0,0,0,0
83,0.899,0,0,0,0,0,0
84,0.909,0,0,0,0,0,0
85,0.919,0,0,0,0,0,0
86,0.929,0,0,0,0,0,0
87,0.939,0,0,0,0,0,0
88,0.949,0,0,0,0,0,0
89,0.959,0,0,0,0,0,0
90,0.969,0,0,0,0,0,0
91,0.979,0,0,0,0,0,0
92,0.989,0,0,0,0,0,0
93,0.999,0,0,0,0,0,0
94,1.009,0,0,0,0,0,0
95,1.019,0,0,0,0,0,0
96,1.029,0,0,0,0,0,0
97,1.039,0,0,0,0,0,0
98,1.049,0,0,0,0,0,0
99,1.059,0,0,0,0,0,0
100,1.069,0,0,0,0,0,0
101,1.079,0,0,0,0,0,0
102,1.089,0,0,0,0,0,0
103,1.099,0,0,0,0,0,0
104,1.109,0,0,0,0,0,0
105,1.119,0,0,0,0,0,0
106,1.129,0,0,0,0,0,0
107,1.139,0,0,0,0,0,0
108,1.149,0,0,0,0,0,0
109,1.159,0,0,0,0,0,0
110,1.169,0,0,0,0,0,0
111,1.179,0,0,0,0,0,0
112,1.189,0,0,0,0,0,0
113,1.199,0,0,0,0,0,0
114,1.209,0,0,0,0,0,0
115,1.219,0,0,0,0,0,0
116,1.229,0,0,0,0,0,0
117,1.239,0,0,0,0,0,0
118,1.249,0,0,0,0,0,0
119,1.259,0,0,0,0,0,0
120,1.269,0,0,0,0,0,0
121,1.279,0,0,0,0,0,0
122,1.289,0,0,0,0,0,0
123,1.299,0,0,0,0,0,0
124,1.309,0,0,0,0,0,0
125,1.319,0,0,0,0,0,0
126,1.329,0,0,0,0,0,0
127,1.339,0,0,0,0,0,0
128,1.349,0,0,0,0,0,0
129,1.359,0,0,0,0,0,0
130,1.369,0,0,0,0,0,0
131,1.379,0,0,0,0,0,0
132,1.389,0,0,0,0,0,0
133,1.399,0,0,0,0,0,0
134,1.409,0,0,0,0,0,0
135,1.419,0,0,0,0,0,0
136,1.429,0,0,0,0,0,0
137,1.439,0,0,0,0,0,0
138,1.449,0,0,0,0,0,0
139,1.459,0,0,0,0,0,0
140,1.469,0,0,0,0,0,0
141,1.479,0,0,0,0,0,0
142,1.489,0,0,0,0,0,0
143,1.499,0,0,0,0,0,0
144,1.509,0,0,0,0,0,0
145,1.519,0,0,0,0,0,0
146,1.529,0,0,0,0,0,0
147,1.539,0,0,0,0,0,0
148,1.549,0,0,0,0,0,0
149,1.559,0,0,0,0,0,0
150,1.569,0,0,0,0,0,0
151,1.579,0,0,0,0,0,0
152,1.589,0,0,0,0,0,0
153,1.599,0,0,0,0,0,0
154,1.609,0,0,0,0,0,0
155,1.619,0,0,0,0,0,0
156,1.629,0,0,0,0,0,0
157,1.639,0,0,0,0,0,0
158,1.649,0,0,0,0,0,0
159,1.659,0,0,0,0,0,0
160,1.669,0,0,0,0,0,0
161,1.679,0,0,0,0,0,0
162,1.689,0,0,0,0,0,0
163,1.699,0,0,0,0,0,0
164,1.709,0,0,0,0,0,0
165,1.719,0,0,0,0,0,0
166,1.729,0,0,0,0,0,0
167,1.739,0,0,0,0,0,0
168,1.749,0,0,0,0,0,0
169,1.759,0,0,0,0,0,0
170,1.769,0,0,0,0,0,0
171,1.779,0,0,0,0,0,0
172,1.789,0,0,0,0,0,0
173,1.799,0,0,0,0,0,0
174,1.809,0,0,0,0,0,0
175,1.819,0,0,0,0,0,0
176,1.829,0,0,0,0,0,0
177,1.839,0,0,0,0,0,0
178,1.849,0,0,0,0,0,0
179,1.859,0,0,0,0,0,0
180,1.869,0,0,0,0,0,0
181,1.879,0,0,0,0,0,0
182,1.889,0,0,0,0,0,0
183,1.899,0,0,0,0,0,0
184,1.909,0,0,0,0,0,0
185,1.919,0,0,0,0,0,0
186,1.929,0,0,0,0,0,0
187,1.939,0,0,0,0,0,0
188,1.949,0,0,0,0,0,0
189,1.959,0,0,0,0,0,0
190,1.969,0,0,0,0,0,0
191,1.979,0,0,0,0,0,0
192,1.989,0,0,0,0,0,0
193,1.999,0,0,0,0,0,0
194,2.009,0,0,0,0,0,0
195,2.019,0,0,0,0,0,0
196,2.029,0,0,0,0,0,0
197,2.039,0,0,0,0,0,0
198,2.049,0,0,0,0,0,0
199,2.059,0,0,0,0,0,0
200,2.069,0,0,0,0,0,0
201,2.079,0,0,0,0,0,0
202,2.089,0,0,0,0,0,0
203,2.099,0,0,0,0,0,0
204,2.109,0,0,0,0,0,0
205,2.119,0,0,0,0,0,0
206,2.129,0,0,0,0,0,0
207,2.139,0,0,0,0,0,0
208,2.149,0,0,0,0,0,0
209,2.159,0,0,0,0,0,0
210,2.169,0,0,0,0,0,0
211,2.179,0,0,0,0,0,0
212,2.189,0,0,0,0,0,0
213,2.199,0,0,0,0,0,0
214,2.209,0,0,0,0,0,0
215,2.219,0,0,0,0,0,0
216,2.229,0,0,0,0,0,0
217,2.239,0,0,0,0,0,0
218,2.249,0,0,0,0,0,0
219,2.259,0,0,0,0,0,0
220,2.269,0,0,0,0,0,0
221,2.279,0,0,0,0,0,0
222,2.289,0,0,0,0,0,0
223,2.299,0,0,0,0,0,0
224,2.309,0,0,0,0,0,0
225,2.319,0,0,0,0,0,0
226,2.329,0,0,0,0,0,0
227,2.339,0,0,0,0,0,0
228,2.349,0,0,0,0,0,0
229,2.359,0,0,0,0,0,0
230,2.369,0,0,0,0,0,0
231,2.379,0,0,0,0,0,0
232,2.389,0,0,0,0,0,0
233,2.399,0,0,0,0,0,0
234,2.409,0,0,0,0,0,0
235,2.419,0,0,0,0,0,0
236,2.429,0,0,0,0,0,0
237,2.439,0,0,0,0,0,0
238,2.449,0,0,0,0,0,0
239,2.459,0,0,0,0,0,0
240,2.469,0,0,0,0,0,0
241,2.479,0,0,0,0,0,0
242,2.489,0,0,0,0,0,0
243,2.499,0,0,0,0,0,0
244,2.509,0,0,0,0,0,0
245,2.519,0,0,0,0,0,0
246,2.529,0,0,0,0,0,0
247,2.539,0,0,0,0,0,0
248,2.549,0,0,0,0,0,0
249,2.559,0,0,0,0,0,0
250,2.569,0,0,0,0,0,0
251,2.579,0,0,0,0,0,0
252,2.589,0,0,0,0,0,0
253,2.599,0,0,0,0,0,0
254,2.609,0,0,0,0,0,0
255,2.619,0,0,0,0,0,0
256,2.629,0,0,0,0,0,0
257,2.639,0,0,0,0,0,0
258,2.649,0,0,0,0,0,0
259,2.659,0,0,0,0,0,0
260,2.669,0,0,0,0,0,0
261,2.679,0,0,0,0,0,0
262,2.689,0,0,0,0,0,0
263,2.699,0,0,0,0,0,0
264,2.709,0,0,0,0,0,0
265,2.719,0,0,0,0,0,0
266,2.729,0,0,0,0,0,0
267,2.739,0,0,0,0,0,0
268,2.749,0,0,0,0,0,0
269,2.759,0,0,0,0,0,0
270,2.769,0,0,0,0,0,0
271,2.779,0,0,0,0,0,0
272,2.789,0,0,0,0,0,0
273,2.799,0,0,0,0,0,0
274,2.809,0,0,0,0,0,0
