,ts,acc_x,acc_y,acc_z
0,18705,0,0,0
1,18715,0,0,0
2,18725,0,0,0
3,18735,0,0,0
4,18745,0,0,0
5,18755,0,0,0
6,18765,0,0,0
7,18775,0,0,0
8,18785,0,0,0
9,18795,0,0,0
10,18805,0,0,0
11,18815,0,0,0
12,18825,0,0,0
13,18835,0,0,0
14,18845,0,0,0
15,18855,0,0,0
16,18865,0,0,0
17,18875,0,0,0
18,18885,0,0,0
19,18895,0,0,0
20,18905,0,0,0
21,18915,0,0,0
22,18925,0,0,0
23,18935,0,0,0
24,18945,0,0,0
25,18955,0,0,0
26,18965,0,0,0
27,18975,0,0,0
28,18985,0,0,0
29,18995,0,0,0
30,19005,0,0,0
31,19015,0,0,0
32,19025,0,0,0
33,19035,0,0,0
34,19045,0,0,0
35,19055,0,0,0
36,19065,0,0,0
37,19075,0,0,0
38,19085,0,0,0
39,19095,0,0,0
40,19105,0,0,0
41,19115,0,0,0
42,19125,0,0,0
43,19135,0,0,0
44,19145,0,0,0
45,19155,0,0,0
46,19165,0,0,0
47,19175,0,0,0
48,19185,0,0,0
49,19195,0,0,0
50,19205,0,0,0
51,19215,0,0,0
52,19225,0,0,0
53,19235,0,0,0
54,19245,0,0,0
55,19255,0,0,0
56,19265,0,0,0
57,19275,0,0,0
58,19285,0,0,0
59,19295,0,0,0
60,19305,0,0,0
61,19315,0,0,0
62,19325,0,0,0
63,19335,0,0,0
64,19345,0,0,0
65,19355,0,0,0
66,19365,0,0,0
67,19375,0,0,0
68,19385,0,0,0
69,19395,0,0,0
70,19405,0,0,0
71,19415,0,0,0
72,19425,0,0,0
73,19435,0,0,0
74,19445,0,0,0
75,19455,0,0,0
76,19465,0,0,0
77,19475,0,0,0
78,19485,0,0,0
79,19495,0,0,0
80,19505,0,0,0
81,19515,0,0,0
82,19525,0,0,0
83,19535,0,0,0
84,19545,0,0,0
85,19555,0,0,0
86,19565,0,0,0
87,19575,0,0,0
88,19585,0,0,0
89,19595,0,0,0
90,19605,0,0,0
91,19615,0,0,0
92,19625,0,0,0
93,19635,0,0,0
94,19645,0,0,0
95,19655,0,0,0
96,19665,0,0,0
97,19675,0,0,0
98,19685,0,0,0
99,19695,0,0,0
100,19705,0,0,0
101,19715,0,0,0
102,19725,0,0,0
103,19735,0,0,0
104,19745,0,0,0
105,19755,0,0,0
106,19765,0,0,0
107,19775,0,0,0
108,19785,0,0,0
109,19795,0,0,0
110,19805,0,0,0
111,19815,0,0,0
112,19825,0,0,0
113,19835,0,0,0
114,19845,0,0,0
115,19855,0,0,0
116,19865,0,0,0
117,19875,0,0,0
118,19885,0,0,0
119,19895,0,0,0
120,19905,0,0,0
121,19915,0,0,0
122,19925,0,0,0
123,19935,0,0,0
124,19945,0,0,0
125,19955,0,0,0
126,19965,0,0,0
127,19975,0,0,0
128,19985,0,0,0
129,19995,0,0,0
130,20005,0,0,0
131,20015,0,0,0
132,20025,0,0,0
133,20035,0,0,0
134,20045,0,0,0
135,20055,0,0,0
136,20065,0,0,0
137,20075,0,0,0
138,20085,0,0,0
139,20095,0,0,0
140,20105,0,0,0
141,20115,0,0,0
142,20125,0,0,0
143,20135,0,0,0
144,20145,0,0,0
145,20155,0,0,0
146,20165,0,0,0
147,20175,0,0,0
148,20185,0,0,0
149,20195,0,0,0
150,20205,0,0,0
151,20215,0,0,0
152,20225,0,0,0
153,20235,0,0,0
154,20245,0,0,0
155,20255,0,0,0
156,20265,0,0,0
157,20275,0,0,0
158,20285,0,0,0
159,20295,0,0,0
160,20305,0,0,0
161,20315,0,0,0
162,20325,0,0,0
163,20335,0,0,0
164,20345,0,0,0
165,20355,0,0,0
166,20365,0,0,0
167,20375,0,0,0
168,20385,0,0,0
169,20395,0,0,0
170,20405,0,0,0
171,20415,0,0,0
172,20425,0,0,0
173,20435,0,0,0
174,20445,0,0,0
175,20455,0,0,0
176,20465,0,0,0
177,20475,0,0,0
178,20485,0,0,0
179,20495,0,0,0
180,20505,0,0,0
181,20515,0,0,0
182,20525,0,0,0
183,20535,0,0,0
184,20545,0,0,0
185,20555,0,0,0
186,20565,0,0,0
187,20575,0,0,0
188,20585,0,0,0
189,20595,0,0,0
190,20605,0,0,0
191,20615,0,0,0
192,20625,0,0,0
193,20635,0,0,0
194,20645,0,0,0
195,20655,0,0,0
196,20665,0,0,0
197,20675,0,0,0
198,20685,0,0,0
199,20695,0,0,0
200,20705,0,0,0
201,20715,0,0,0
202,20725,0,0,0
203,20735,0,0,0
204,20745,0,0,0
205,20755,0,0,0
206,20765,0,0,0
207,20775,0,0,0
208,20785,0,0,0
209,20795,0,0,0
210,20805,0,0,0
211,20815,0,0,0
212,20825,0,0,0
213,20835,0,0,0
214,20845,0,0,0
215,20855,0,0,0
216,20865,0,0,0
217,20875,0,0,0
218,20885,0,0,0
219,20895,0,0,0
220,20905,0,0,0
221,20915,0,0,0
222,20925,0,0,0
223,20935,0,0,0
224,20945,0,0,0
225,20955,0,0,0
226,20965,0,0,0
227,20975,0,0,0
228,20985,0,0,0
229,20995,0,0,0
230,21005,0,0,0
231,21015,0,0,0
232,21025,0,0,0
233,21035,0,0,0
234,21045,0,0,0
235,21055,0,0,0
236,21065,0,0,0
237,21075,0,0,0
238,21085,0,0,0
239,21095,0,0,0
240,21105,0,0,0
241,21115,0,0,0
242,21125,0,0,0
243,21135,0,0,0
244,21145,0,0,0
245,21155,0,0,0
246,21165,0,0,0
247,21175,0,0,0
248,21185,0,0,0
249,21195,0,0,0
250,21205,0,0,0
251,21215,0,0,0
252,21225,0,0,0
253,21235,0,0,0
254,21245,0,0,0
255,21255,0,0,0
256,21265,0,0,0
257,21275,0,0,0
258,21285,0,0,0
259,21295,0,0,0
260,21305,0,0,0
261,21315,0,0,0
262,21325,0,0,0
263,21335,0,0,0
264,21345,0,0,0
265,21355,0,0,0
266,21365,0,0,0
267,21375,0,0,0
268,21385,0,0,0
269,21395,0,0,0
270,21405,0,0,0
271,21415,0,0,0
272,21425,0,0,0
273,21435,0,0,0
274,21445,0,0,0
275,21455,0,0,0
276,21465,0,0,0
277,21475,0,0,0
278,21485,0,0,0
279,21495,0,0,0
280,21505,0,0,0
281,21515,0,0,0
282,21525,0,0,0
283,21535,0,0,0
284,21545,0,0,0
285,21555,0,0,0
286,21565,0,0,0
287,21575,0,0,0
288,21585,0,0,0
289,21595,0,0,0
290,21605,0,0,0
291,21615,0,0,0
292,21625,0,0,0
293,21635,0,0,0
294,21645,0,0,0
295,21655,0,0,0
296,21665,0,0,0
297,21675,0,0,0
298,21685,0,0,0
299,21695,0,0,0
300,21705,0,0,0
301,21715,0,0,0
302,21725,0,0,0
303,21735,0,0,0
304,21745,0,0,0
305,21755,0,0,0
306,21765,0,0,0
307,21775,0,0,0
308,21785,0,0,0
309,21795,0,0,0
310,21805,0,0,0
311,21815,0,0,0
312,21825,0,0,0
313,21835,0,0,0
314,21845,0,0,0
315,21855,0,0,0
316,21865,0,0,0
317,21875,0,0,0
318,21885,0,0,0
319,21895,0,0,0
320,21905,0,0,0
321,21915,0,0,0
322,21925,0,0,0
323,21935,0,0,0
324,21945,0,0,0
325,21955,0,0,0
326,21965,0,0,0
327,21975,0,0,0
328,21985,0,0,0
329,21995,0,0,0
330,22005,0,0,0
331,22015,0,0,0
332,22025,0,0,0
333,22035,0,0,0
334,22045,0,0,0
335,22055,0,0,0
336,22065,0,0,0
337,22075,0,0,0
338,22085,0,0,0
339,22095,0,0,0
340,22105,0,0,0
341,22115,0,0,0
342,22125,0,0,0
343,22135,0,0,0
344,22145,0,0,0
345,22155,0,0,0
346,22165,0,0,0
347,22175,0,0,0
348,22185,0,0,0
349,22195,0,0,0
350,22205,0,0,0
351,22215,0,0,0
352,22225,0,0,0
353,22235,0,0,0
354,22245,0,0,0
355,22255,0,0,0
356,22265,0,0,0
357,22275,0,0,0
358,22285,0,0,0
359,22295,0,0,0
360,22305,0,0,0
361,22315,0,0,0
362,22325,0,0,0
363,22335,0,0,0
364,22345,0,0,0
365,22355,0,0,0
366,22365,0,0,0
367,22375,0,0,0
368,22385,0,0,0
369,22395,0,0,0
370,22405,0,0,0
371,22415,0,0,0
372,22425,0,0,0
373,22435,0,0,0
374,22445,0,0,0
375,22455,0,0,0
376,22465,0,0,0
377,22475,0,0,0
378,22485,0,0,0
379,22495,0,0,0
380,22505,0,0,0
381,22515,0,0,0
382,22525,0,0,0
383,22535,0,0,0
384,22545,0,0,0
385,22555,0,0,0
386,22565,0,0,0
387,22575,0,0,0
388,22585,0,0,0
389,22595,0,0,0
390,22605,0,0,0
391,22615,0,0,0
392,22625,0,0,0
393,22635,0,0,0
394,22645,0,0,0
395,22655,0,0,0
396,22665,0,0,0
397,22675,0,0,0
398,22685,0,0,0
399,22695,0,0,0
400,22705,0,0,0
401,22715,0,0,0
402,22725,0,0,0
403,22735,0,0,0
404,22745,0,0,0
405,22755,0,0,0
406,22765,0,0,0
407,22775,0,0,0
408,22785,0,0,0
409,22795,0,0,0
410,22805,0,0,0
411,22815,0,0,0
412,22825,0,0,0
413,22835,0,0,0
414,22845,0,0,0
415,22855,0,0,0
416,22865,0,0,0
417,22875,0,0,0
418,22885,0,0,0
419,22895,0,0,0
420,22905,0,0,0
421,22915,0,0,0
422,22925,0,0,0
423,22935,0,0,0
424,22945,0,0,0
425,22955,0,0,0
426,22965,0,0,0
427,22975,0,0,0
428,22985,0,0,0
429,22995,0,0,0
430,23005,0,0,0
431,23015,0,0,0
432,23025,0,0,0
433,23035,0,0,0
434,23045,0,0,0
435,23055,0,0,0
436,23065,0,0,0
437,23075,0,0,0
438,23085,0,0,0
439,23095,0,0,0
440,23105,0,0,0
441,23115,0,0,0
442,23125,0,0,0
443,23135,0,0,0
444,23145,0,0,0
445,23155,0,0,0
446,23165,0,0,0
447,23175,0,0,0
448,23185,0,0,0
449,23195,0,0,0
450,23205,0,0,0
451,23215,0,0,0
452,23225,0,0,0
453,23235,0,0,0
454,23245,0,0,0
455,23255,0,0,0
456,23265,0,0,0
457,23275,0,0,0
458,23285,0,0,0
459,23295,0,0,0
460,23305,0,0,0
461,23315,0,0,0
462,23325,0,0,0
463,23335,0,0,0
464,23345,0,0,0
465,23355,0,0,0
466,23365,0,0,0
467,23375,0,0,0
468,23385,0,0,0
469,23395,0,0,0
470,23405,0,0,0
471,23415,0,0,0
472,23425,0,0,0
473,23435,0,0,0
474,23445,0,0,0
475,23455,0,0,0
476,23465,0,0,0
477,23475,0,0,0
478,23485,0,0,0
479,23495,0,0,0
480,23505,0,0,0
481,23515,0,0,0
482,23525,0,0,0
483,23535,0,0,0
484,23545,0,0,0
485,23555,0,0,0
486,23565,0,0,0
487,23575,0,0,0
488,23585,0,0,0
489,23595,0,0,0
490,23605,0,0,0
491,23615,0,0,0
492,23625,0,0,0
493,23635,0,0,0
494,23645,0,0,0
495,23655,0,0,0
496,23665,0,0,0
497,23675,0,0,0
498,23685,0,0,0
499,23695,0,0,0
500,23705,0,0,0
501,23715,0,0,0
502,23725,0,0,0
503,23735,0,0,0
504,23745,0,0,0
505,23755,0,0,0
506,23765,0,0,0
507,23775,0,0,0
508,23785,0,0,0
509,23795,0,0,0
510,23805,0,0,0
511,23815,0,0,0
512,23825,0,0,0
513,23835,0,0,0
514,23845,0,0,0
515,23855,0,0,0
516,23865,0,0,0
517,23875,0,0,0
518,23885,0,0,0
519,23895,0,0,0
520,23905,0,0,0
521,23915,0,0,0
522,23925,0,0,0
523,23935,0,0,0
524,23945,0,0,0
525,23955,0,0,0
526,23965,0,0,0
527,23975,0,0,0
528,23985,0,0,0
529,23995,0,0,0
530,24005,0,0,0
531,24015,0,0,0
532,24025,0,0,0
533,24035,0,0,0
534,24045,0,0,0
535,24055,0,0,0
536,24065,0,0,0
537,24075,0,0,0
538,24085,0,0,0
539,24095,0,0,0
540,24105,0,0,0
541,24115,0,0,0
542,24125,0,0,0
543,24135,0,0,0
544,24145,0,0,0
545,24155,0,0,0
546,24165,0,0,0
547,24175,0,0,0
548,24185,0,0,0
549,24195,0,0,0
550,24205,0,0,0
551,24215,0,0,0
552,24225,0,0,0
553,24235,0,0,0
554,24245,0,0,0
555,24255,0,0,0
556,24265,0,0,0
557,24275,0,0,0
558,24285,0,0,0
559,24295,0,0,0
560,24305,0,0,0
561,24315,0,0,0
562,24325,0,0,0
563,24335,0,0,0
564,24345,0,0,0
565,24355,0,0,0
566,24365,0,0,0
567,24375,0,0,0
568,24385,0,0,0
569,24395,0,0,0
570,24405,0,0,0
571,24415,0,0,0
572,24425,0,0,0
573,24435,0,0,0
574,24445,0,0,0
575,24455,0,0,0
576,24465,0,0,0
577,24475,0,0,0
578,24485,0,0,0
579,24495,0,0,0
580,24505,0,0,0
581,24515,0,0,0
582,24525,0,0,0
583,24535,0,0,0
584,24545,0,0,0
585,24555,0,0,0
586,24565,0,0,0
587,24575,0,0,0
588,24585,0,0,0
589,24595,0,0,0
590,24605,0,0,0
591,24615,0,0,0
592,24625,0,0,0
593,24635,0,0,0
594,24645,0,0,0
595,24655,0,0,0
596,24665,0,0,0
597,24675,0,0,0
598,24685,0,0,0
599,24695,0,0,0
600,24705,0,0,0
601,24715,0,0,0
602,24725,0,0,0
603,24735,0,0,0
604,24745,0,0,0
605,24755,0,0,0
606,24765,0,0,0
607,24775,0,0,0
608,24785,0,0,0
609,24795,0,0,0
610,24805,0,0,0
611,24815,0,0,0
612,24825,0,0,0
613,24835,0,0,0
614,24845,0,0,0
615,24855,0,0,0
616,24865,0,0,0
617,24875,0,0,0
618,24885,0,0,0
619,24895,0,0,0
620,24905,0,0,0
621,24915,0,0,0
622,24925,0,0,0
623,24935,0,0,0
624,24945,0,0,0
625,24955,0,0,0
626,24965,0,0,0
627,24975,0,0,0
628,24985,0,0,0
629,24995,0,0,0
630,25005,0,0,0
631,25015,0,0,0
632,25025,0,0,0
