,ts,id,T,P
0,11790,BARO0,2928,97010
1,11790,BARO1,2905,97016
2,11790,BARO2,2871,97020
3,11800,BARO0,2928,97010
4,11800,BARO1,2905,97016
5,11800,BARO2,2871,97020
6,11810,BARO0,2928,97010
7,11810,BARO1,2905,97016
8,11810,BARO2,2871,97020
9,11820,BARO0,2928,97010
10,11820,BARO1,2907,97020
11,11820,BARO2,2871,97020
12,11830,BARO0,2927,97028
13,11830,BARO1,2905,96995
14,11830,BARO2,2871,97020
15,11840,BARO0,2928,97032
16,11840,BARO1,2905,97016
17,11840,BARO2,2871,97042
18,11850,BARO0,2928,97010
19,11850,BARO1,2905,97016
20,11850,BARO2,2871,96999
21,11860,BARO0,2928,97032
22,11860,BARO1,2905,97016
23,11860,BARO2,2871,97020
24,11870,BARO0,2928,97010
25,11870,BARO1,2905,97016
26,11870,BARO2,2871,97020
27,11880,BARO0,2928,97010
28,11880,BARO1,2905,97016
29,11880,BARO2,2871,97020
30,11890,BARO0,2928,97032
31,11890,BARO1,2905,97016
32,11890,BARO2,2871,97020
33,11900,BARO0,2928,97010
34,11900,BARO1,2905,97016
35,11900,BARO2,2869,97017
36,11910,BARO0,2928,97032
37,11910,BARO1,2905,97016
38,11910,BARO2,2871,97042
39,11920,BARO0,2928,97032
40,11920,BARO1,2905,97016
41,11920,BARO2,2871,97020
42,11930,BARO0,2928,97010
43,11930,BARO1,2905,97038
44,11930,BARO2,2871,97020
45,11940,BARO0,2928,97010
46,11940,BARO1,2905,97016
47,11940,BARO2,2871,97020
48,11950,BARO0,2928,97032
49,11950,BARO1,2905,97016
50,11950,BARO2,2871,97020
51,11960,BARO0,2928,97010
52,11960,BARO1,2905,97016
53,11960,BARO2,2871,97020
54,11970,BARO0,2928,97010
55,11970,BARO1,2905,97038
56,11970,BARO2,2871,97020
57,11980,BARO0,2928,97010
58,11980,BARO1,2905,97016
59,11980,BARO2,2871,97020
60,11990,BARO0,2928,97032
61,11990,BARO1,2905,97016
62,11990,BARO2,2871,96999
63,12000,BARO0,2928,97010
64,12000,BARO1,2905,97016
65,12000,BARO2,2871,97020
66,12010,BARO0,2928,97010
67,12010,BARO1,2905,97016
68,12010,BARO2,2871,97020
69,12020,BARO0,2928,97010
70,12020,BARO1,2905,97016
71,12020,BARO2,2871,96999
72,12030,BARO0,2928,97010
73,12030,BARO1,2905,97016
74,12030,BARO2,2871,97020
75,12040,BARO0,2928,97032
76,12040,BARO1,2905,97016
77,12040,BARO2,2871,97020
78,12050,BARO0,2928,97010
79,12050,BARO1,2905,97016
80,12050,BARO2,2871,97020
81,12060,BARO0,2928,97010
82,12060,BARO1,2905,97016
83,12060,BARO2,2871,97020
84,12070,BARO0,2927,97028
85,12070,BARO1,2905,97016
86,12070,BARO2,2871,96999
87,12080,BARO0,2928,97010
88,12080,BARO1,2905,97016
89,12080,BARO2,2871,96999
90,12090,BARO0,2928,97032
91,12090,BARO1,2905,97016
92,12090,BARO2,2871,97020
93,12100,BARO0,2928,97032
94,12100,BARO1,2905,97016
95,12100,BARO2,2871,97020
96,12110,BARO0,2928,97010
97,12110,BARO1,2905,97016
98,12110,BARO2,2871,97020
99,12120,BARO0,2928,97032
100,12120,BARO1,2905,97016
101,12120,BARO2,2871,97020
102,12130,BARO0,2928,97010
103,12130,BARO1,2905,97016
104,12130,BARO2,2871,97042
105,12140,BARO0,2928,97010
106,12140,BARO1,2905,97016
107,12140,BARO2,2871,97020
108,12150,BARO0,2928,97032
109,12150,BARO1,2905,97016
110,12150,BARO2,2871,96999
111,12160,BARO0,2928,97032
112,12160,BARO1,2905,97016
113,12160,BARO2,2871,97020
114,12170,BARO0,2928,97032
115,12170,BARO1,2905,97016
116,12170,BARO2,2871,97020
117,12180,BARO0,2928,97032
118,12180,BARO1,2905,97016
119,12180,BARO2,2871,97020
120,12190,BARO0,2927,97006
121,12190,BARO1,2905,97016
122,12190,BARO2,2871,97020
123,12200,BARO0,2928,97032
124,12200,BARO1,2905,97038
125,12200,BARO2,2871,97042
126,12210,BARO0,2928,97010
127,12210,BARO1,2905,97016
128,12210,BARO2,2871,97020
129,12220,BARO0,2928,97010
130,12220,BARO1,2905,97038
131,12220,BARO2,2871,97020
132,12230,BARO0,2928,97032
133,12230,BARO1,2905,97016
134,12230,BARO2,2871,97020
135,12240,BARO0,2928,97010
136,12240,BARO1,2905,97016
137,12240,BARO2,2871,97020
138,12250,BARO0,2927,97028
