,ts,height,velocity,acceleration,lower_bound,upper_bound
0,65860,-0.3989585041999817,-0.1611059308052063,-0.07693466544151306,0.5967787658705901,-1.3946957742705535
1,65870,-0.4022490084171295,-0.16366633772850037,-0.05887778103351593,0.5934866791084319,-1.397984695942691
2,65880,-0.4054758548736572,-0.16610556840896606,-0.058933742344379425,0.5902582837756287,-1.4012099935229432
3,65890,-0.4086395800113678,-0.16842594742774963,-0.0589866116642952,0.5870929424166271,-1.4043721024393627
4,65900,-0.4117405414581299,-0.1705845594406128,-0.04997844994068146,0.583990398417309,-1.4074714813335687
5,65910,-0.41477859020233154,-0.17253842949867249,-0.031908370554447174,0.5809507671180363,-1.4105079475226994
6,65920,-0.4177549481391907,-0.17460690438747406,-0.07724328339099884,0.5779727929521253,-1.4134826892305066
7,65930,-0.42067068815231323,-0.1764298975467682,-0.050110410898923874,0.5750554703788475,-1.416396846683474
8,65940,-0.4235261082649231,-0.17823612689971924,-0.06826474517583847,0.5721984677035671,-1.4192506842334134
9,65950,-0.41063129901885986,-0.15853199362754822,-0.06774835288524628,0.5850916943844446,-1.4063542924221644
10,65960,-0.413582980632782,-0.16075393557548523,-0.07685434818267822,0.5821384302028216,-1.4093043914683856
11,65970,-0.4164768159389496,-0.16286715865135193,-0.07689952105283737,0.5792430123264376,-1.4121966442043368
12,65980,-0.41931354999542236,-0.16491906344890594,-0.08599897474050522,0.5764046956972333,-1.415031795688078
13,65990,-0.4220938980579376,-0.1668664515018463,-0.08603867143392563,0.5736227313876301,-1.4178105275035053
14,66000,-0.42481833696365356,-0.16871143877506256,-0.08607570827007294,0.5708967099040982,-1.4205333838314054
15,66010,-0.42748740315437317,-0.17045606672763824,-0.08611014485359192,0.5682260611330476,-1.423200867441794
16,66020,-0.430101603269577,-0.17210239171981812,-0.08614204078912735,0.565610312106999,-1.425813518646153
17,66030,-0.4326614737510681,-0.17365242540836334,-0.08617143332958221,0.5630488253681445,-1.4283717728702807
18,66040,-0.435167521238327,-0.1751081794500351,-0.08619839698076248,0.560541228965117,-1.430876271441771
19,66050,-0.43762028217315674,-0.17647165060043335,-0.08622296899557114,0.5580869191121094,-1.4333274834584229
20,66060,-0.44002029299736023,-0.1777447909116745,-0.08624520152807236,0.5556853593673186,-1.435725945362039
21,66070,-0.442367821931839,-0.17888428270816803,-0.07720810920000076,0.553336247837577,-1.438071891701255
22,66080,-0.44466328620910645,-0.17993736267089844,-0.07722582668066025,0.5510392346348507,-1.4403658070530636
23,66090,-0.4469071924686432,-0.18090593814849854,-0.07724136859178543,0.5487937794474456,-1.442608164384732
24,66100,-0.449100136756897,-0.18179191648960114,-0.0772547721862793,0.5465992525564897,-1.4447995260702835
25,66110,-0.4512426555156708,-0.18259717524051666,-0.07726609706878662,0.5444551511924984,-1.44694046222384
26,66120,-0.45333534479141235,-0.18332359194755554,-0.07727539539337158,0.5423609129815552,-1.44903160256438
27,66130,-0.45537877082824707,-0.18397298455238342,-0.07728270441293716,0.540315938007109,-1.4510734796636031
28,66140,-0.4573734998703003,-0.18454718589782715,-0.07728807628154755,0.5383196263523989,-1.4530666260929994
