,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,65869,IMU0,175,-10,-88,64,24,1073
1,65869,IMU1,18,4,0,-1,-44,1080
2,65879,IMU0,169,0,-86,63,22,1077
3,65879,IMU1,17,14,0,-4,-45,1085
4,65889,IMU0,176,-7,-85,66,23,1068
5,65889,IMU1,18,8,0,0,-45,1078
6,65899,IMU0,175,-6,-86,61,21,1078
7,65899,IMU1,18,10,0,-5,-46,1085
8,65909,IMU0,170,-5,-86,65,23,1075
9,65909,IMU1,17,11,0,-1,-45,1079
10,65919,IMU0,176,-4,-86,60,22,1080
11,65919,IMU1,18,9,0,-4,-46,1086
12,65929,IMU0,179,-2,-86,64,23,1075
13,65929,IMU1,17,11,-1,-2,-45,1082
14,65939,IMU0,175,-4,-87,64,22,1071
15,65939,IMU1,18,7,-1,-4,-44,1085
16,65949,IMU0,176,-1,-90,63,21,1074
17,65949,IMU1,17,11,-1,-4,-46,1083
18,65959,IMU0,180,-4,-87,62,22,1068
19,65959,IMU1,17,8,-1,-3,-44,1081
20,65969,IMU0,178,-1,-88,61,21,1073
21,65969,IMU1,16,10,0,-4,-45,1084
22,65979,IMU0,178,-2,-86,62,23,1073
23,65979,IMU1,17,9,0,-1,-45,1082
24,65989,IMU0,179,-1,-86,63,22,1072
25,65989,IMU1,17,9,0,-3,-46,1083
26,65999,IMU0,172,-1,-88,63,21,1073
27,65999,IMU1,16,10,0,-3,-46,1082
28,66009,IMU0,171,-2,-89,64,21,1073
29,66009,IMU1,17,9,0,-3,-46,1083
30,66019,IMU0,168,-2,-88,64,23,1070
31,66019,IMU1,17,10,0,-2,-45,1085
32,66029,IMU0,171,-3,-85,62,23,1074
33,66029,IMU1,17,10,1,-2,-45,1084
34,66039,IMU0,170,-3,-84,60,22,1076
35,66039,IMU1,17,9,0,-3,-45,1083
36,66049,IMU0,172,-4,-83,61,23,1074
37,66049,IMU1,18,9,0,-2,-44,1084
38,66059,IMU0,176,-4,-84,62,24,1076
39,66059,IMU1,17,9,0,-2,-44,1082
40,66069,IMU0,175,-3,-87,61,22,1073
41,66069,IMU1,18,10,0,-2,-43,1083
42,66079,IMU0,174,-2,-89,62,23,1075
43,66079,IMU1,17,10,0,-1,-42,1082
44,66089,IMU0,175,-1,-88,62,22,1074
45,66089,IMU1,16,10,0,-1,-43,1082
46,66099,IMU0,179,0,-89,66,18,1071
47,66099,IMU1,17,9,0,-2,-44,1082
48,66109,IMU0,178,-3,-88,65,19,1074
49,66109,IMU1,17,9,0,-2,-45,1083
50,66119,IMU0,177,-4,-86,64,21,1077
51,66119,IMU1,17,9,0,-2,-44,1085
52,66129,IMU0,170,-3,-87,63,21,1072
53,66129,IMU1,17,9,-1,-2,-44,1084
54,66139,IMU0,176,-1,-86,62,23,1075
55,66139,IMU1,18,9,0,-2,-45,1084
56,66149,IMU0,171,-1,-84,63,23,1075
57,66149,IMU1,17,10,0,-2,-45,1084
58,66159,IMU0,170,-3,-85,64,22,1075
59,66159,IMU1,17,10,0,-3,-45,1083
60,66169,IMU0,172,-4,-86,65,20,1073
61,66169,IMU1,17,10,-1,-3,-46,1083
62,66179,IMU0,171,-4,-84,63,22,1074
63,66179,IMU1,18,10,0,-3,-46,1084
64,66189,IMU0,174,-4,-86,64,22,1079
65,66189,IMU1,17,9,0,-2,-46,1084
66,66199,IMU0,172,-3,-84,63,23,1076
67,66199,IMU1,18,10,0,-3,-45,1084
68,66209,IMU0,173,-3,-83,62,23,1078
69,66209,IMU1,18,9,0,-3,-46,1084
70,66219,IMU0,172,-3,-84,62,24,1077
71,66219,IMU1,19,10,0,-4,-45,1083
72,66229,IMU0,171,-2,-85,62,24,1076
73,66229,IMU1,19,10,0,-3,-45,1082
74,66239,IMU0,177,-3,-86,62,23,1072
75,66239,IMU1,19,10,-1,-3,-45,1083
76,66249,IMU0,173,1,-88,63,22,1070
77,66249,IMU1,19,9,-1,-3,-45,1085
78,66259,IMU0,170,2,-85,62,21,1076
79,66259,IMU1,20,10,0,-2,-45,1084
80,66269,IMU0,177,-1,-88,63,21,1074
81,66269,IMU1,20,10,0,-2,-45,1083
82,66279,IMU0,174,-2,-85,62,23,1076
83,66279,IMU1,21,11,0,-3,-44,1082
84,66289,IMU0,177,-3,-87,61,25,1075
85,66289,IMU1,21,11,0,-3,-44,1083
86,66299,IMU0,179,-1,-85,62,23,1075
87,66299,IMU1,21,11,0,-3,-45,1082
88,66309,IMU0,176,-2,-83,61,22,1075
89,66309,IMU1,20,11,0,-3,-45,1082
90,66319,IMU0,172,-2,-84,64,21,1073
91,66319,IMU1,20,10,0,-3,-45,1082
92,66329,IMU0,177,-3,-85,62,21,1075
93,66329,IMU1,19,10,0,-3,-45,1083
94,66339,IMU0,178,-4,-84,63,22,1076
95,66339,IMU1,20,10,0,-2,-44,1082
96,66349,IMU0,178,-4,-85,62,22,1076
97,66349,IMU1,19,10,0,-2,-44,1083
98,66359,IMU0,178,-2,-88,60,23,1076
99,66359,IMU1,19,10,0,-3,-44,1083
