,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,18695,9904,-387,133,-1318,9904,-387,133,-1318
1,18705,9903,-390,143,-1321,9903,-390,143,-1321
2,18715,9904,-387,140,-1318,9904,-387,140,-1318
3,18725,9903,-389,139,-1322,9903,-389,139,-1322
4,18735,9903,-390,139,-1320,9903,-390,139,-1320
5,18745,9904,-390,139,-1315,9904,-390,139,-1315
6,18755,9905,-393,141,-1309,9905,-393,141,-1309
7,18765,9905,-391,143,-1304,9905,-391,143,-1304
8,18775,9906,-389,141,-1301,9906,-389,141,-1301
9,18785,9905,-388,141,-1307,9905,-388,141,-1307
10,18795,9905,-387,140,-1306,9905,-387,140,-1306
11,18805,9905,-387,137,-1308,9905,-387,137,-1308
12,18815,9905,-388,138,-1308,9905,-388,138,-1308
13,18825,9904,-388,137,-1315,9904,-388,137,-1315
14,18835,9903,-388,135,-1321,9903,-388,135,-1321
15,18845,9902,-387,135,-1329,9902,-387,135,-1329
16,18855,9902,-387,134,-1327,9902,-387,134,-1327
17,18865,9903,-387,133,-1325,9903,-387,133,-1325
18,18875,9903,-387,134,-1324,9903,-387,134,-1324
19,18885,9903,-388,133,-1325,9903,-388,133,-1325
20,18895,9903,-388,131,-1326,9903,-388,131,-1326
21,18905,9903,-388,131,-1320,9903,-388,131,-1320
22,18915,9904,-389,132,-1319,9904,-389,132,-1319
23,18925,9905,-389,134,-1310,9905,-389,134,-1310
24,18935,9907,-388,134,-1296,9907,-388,134,-1296
25,18945,9908,-389,134,-1285,9908,-389,134,-1285
26,18955,9908,-389,135,-1282,9908,-389,135,-1282
27,18965,9908,-390,135,-1287,9908,-390,135,-1287
28,18975,9908,-390,137,-1288,9908,-390,137,-1288
29,18985,9908,-389,136,-1285,9908,-389,136,-1285
30,18995,9909,-388,136,-1279,9909,-388,136,-1279
31,19005,9909,-387,138,-1280,9909,-387,138,-1280
32,19015,9907,-388,139,-1288,9907,-388,139,-1288
33,19025,9907,-389,140,-1295,9907,-389,140,-1295
34,19035,9906,-388,141,-1299,9906,-388,141,-1299
35,19045,9906,-387,141,-1301,9906,-387,141,-1301
36,19055,9906,-387,140,-1299,9906,-387,140,-1299
37,19065,9906,-387,138,-1299,9906,-387,138,-1299
38,19075,9906,-387,137,-1304,9906,-387,137,-1304
39,19085,9905,-388,135,-1310,9905,-388,135,-1310
40,19095,9904,-388,133,-1316,9904,-388,133,-1316
41,19105,9905,-388,132,-1311,9905,-388,132,-1311
42,19115,9905,-389,132,-1305,9905,-389,132,-1305
43,19125,9906,-388,132,-1303,9906,-388,132,-1303
44,19135,9906,-388,132,-1301,9906,-388,132,-1301
45,19145,9906,-388,132,-1300,9906,-388,132,-1300
46,19155,9906,-390,132,-1300,9906,-390,132,-1300
47,19165,9907,-390,133,-1294,9907,-390,133,-1294
48,19175,9907,-391,136,-1293,9907,-391,136,-1293
49,19185,9907,-392,137,-1293,9907,-392,137,-1293
50,19195,9906,-392,137,-1300,9906,-392,137,-1300
51,19205,9905,-392,136,-1309,9905,-392,136,-1309
52,19215,9904,-392,137,-1317,9904,-392,137,-1317
53,19225,9903,-391,137,-1321,9903,-391,137,-1321
54,19235,9903,-391,137,-1320,9903,-391,137,-1320
55,19245,9903,-390,136,-1319,9903,-390,136,-1319
56,19255,9904,-391,137,-1318,9904,-391,137,-1318
57,19265,9903,-392,136,-1320,9903,-392,136,-1320
58,19275,9903,-391,135,-1323,9903,-391,135,-1323
59,19285,9903,-391,135,-1320,9903,-391,135,-1320
60,19295,9904,-390,135,-1315,9904,-390,135,-1315
61,19305,9904,-389,135,-1317,9904,-389,135,-1317
62,19315,9905,-389,136,-1311,9905,-389,136,-1311
63,19325,9905,-390,136,-1310,9905,-390,136,-1310
64,19335,9905,-391,136,-1308,9905,-391,136,-1308
65,19345,9906,-389,137,-1302,9906,-389,137,-1302
66,19355,9906,-388,137,-1299,9906,-388,137,-1299
67,19365,9907,-387,137,-1295,9907,-387,137,-1295
68,19375,9907,-387,137,-1295,9907,-387,137,-1295
69,19385,9907,-388,137,-1294,9907,-388,137,-1294
70,19395,9906,-389,137,-1299,9906,-389,137,-1299
71,19405,9905,-389,135,-1304,9905,-389,135,-1304
72,19415,9905,-388,136,-1307,9905,-388,136,-1307
73,19425,9905,-387,137,-1309,9905,-387,137,-1309
74,19435,9905,-388,137,-1307,9905,-388,137,-1307
75,19445,9905,-389,138,-1309,9905,-389,138,-1309
76,19455,9905,-389,139,-1310,9905,-389,139,-1310
77,19465,9905,-388,140,-1309,9905,-388,140,-1309
78,19475,9905,-386,138,-1310,9905,-386,138,-1310
79,19485,9905,-386,137,-1310,9905,-386,137,-1310
80,19495,9904,-386,136,-1313,9904,-386,136,-1313
81,19505,9904,-385,136,-1318,9904,-385,136,-1318
82,19515,9904,-385,136,-1317,9904,-385,136,-1317
83,19525,9904,-386,137,-1314,9904,-386,137,-1314
84,19535,9906,-385,138,-1302,9906,-385,138,-1302
85,19545,9906,-386,139,-1299,9906,-386,139,-1299
86,19555,9907,-387,138,-1295,9907,-387,138,-1295
87,19565,9906,-388,137,-1297,9906,-388,137,-1297
88,19575,9907,-388,138,-1290,9907,-388,138,-1290
89,19585,9908,-387,138,-1288,9908,-387,138,-1288
90,19595,9908,-387,139,-1287,9908,-387,139,-1287
91,19605,9907,-387,139,-1291,9907,-387,139,-1291
92,19615,9906,-388,139,-1299,9906,-388,139,-1299
93,19625,9905,-388,140,-1308,9905,-388,140,-1308
94,19635,9905,-388,141,-1310,9905,-388,141,-1310
95,19645,9904,-388,141,-1313,9904,-388,141,-1313
96,19655,9904,-387,140,-1315,9904,-387,140,-1315
