,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,65860,0,0,1,0,0,0
1,65870,0,0,1,0,0,0
2,65880,0,0,1,0,0,0
3,65890,0,0,1,0,0,0
4,65900,0,0,1,0,0,0
5,65910,0,0,1,0,0,0
6,65920,0,0,1,0,0,0
7,65930,0,0,1,0,0,0
8,65940,0,0,1,0,0,0
9,65950,0,0,1,0,0,0
10,65960,0,0,1,0,0,0
11,65970,0,0,1,0,0,0
12,65980,0,0,1,0,0,0
13,65990,0,0,1,0,0,0
14,66000,0,0,1,0,0,0
15,66010,0,0,1,0,0,0
16,66020,0,0,1,0,0,0
17,66030,0,0,1,0,0,0
18,66040,0,0,1,0,0,0
19,66050,0,0,1,0,0,0
20,66060,0,0,1,0,0,0
21,66070,0,0,1,0,0,0
22,66080,0,0,1,0,0,0
23,66090,0,0,1,0,0,0
24,66100,0,0,1,0,0,0
25,66110,0,0,1,0,0,0
26,66120,0,0,1,0,0,0
27,66130,0,0,1,0,0,0
28,66140,0,0,1,0,0,0
29,66150,0,0,1,0,0,0
30,66160,0,0,1,0,0,0
31,66170,0,0,1,0,0,0
32,66180,0,0,1,0,0,0
33,66190,0,0,1,0,0,0
34,66200,0,0,1,0,0,0
35,66210,0,0,1,0,0,0
36,66220,0,0,1,0,0,0
37,66230,0,0,1,0,0,0
38,66240,0,0,1,0,0,0
39,66250,0,0,1,0,0,0
40,66260,0,0,1,0,0,0
41,66270,0,0,1,0,0,0
42,66280,0,0,1,0,0,0
43,66290,0,0,1,0,0,0
44,66300,0,0,1,0,0,0
45,66310,0,0,1,0,0,0
46,66320,0,0,1,0,0,0
47,66330,0,0,1,0,0,0
48,66340,0,0,1,0,0,0
49,66350,0,0,1,0,0,0
50,66360,0,0,1,0,0,0
51,66370,0,0,1,0,0,0
52,66380,0,0,1,0,0,0
53,66390,0,0,1,0,0,0
54,66400,0,0,1,0,0,0
55,66410,0,0,1,0,0,0
56,66420,0,0,1,0,0,0
57,66430,0,0,1,0,0,0
58,66440,0,0,1,0,0,0
59,66450,0,0,1,0,0,0
60,66460,0,0,1,0,0,0
61,66470,0,0,1,0,0,0
62,66480,0,0,1,0,0,0
63,66490,0,0,1,0,0,0
64,66500,0,0,1,0,0,0
65,66510,0,0,1,0,0,0
66,66520,0,0,1,0,0,0
67,66530,0,0,1,0,0,0
68,66540,0,0,1,0,0,0
69,66550,0,0,1,0,0,0
70,66560,0,0,1,0,0,0
71,66570,0,0,1,0,0,0
72,66580,0,0,1,0,0,0
73,66590,0,0,1,0,0,0
74,66600,0,0,1,0,0,0
75,66610,0,0,1,0,0,0
76,66620,0,0,1,0,0,0
77,66630,0,0,1,0,0,0
78,66640,0,0,1,0,0,0
79,66650,0,0,1,0,0,0
80,66660,0,0,1,0,0,0
81,66670,0,0,1,0,0,0
82,66680,0,0,1,0,0,0
83,66690,0,0,1,0,0,0
84,66700,0,0,1,0,0,0
85,66710,0,0,1,0,0,0
86,66720,0,0,1,0,0,0
87,66730,0,0,1,0,0,0
88,66740,0,0,1,0,0,0
89,66750,0,0,1,0,0,0
90,66760,0,0,1,0,0,0
91,66770,0,0,1,0,0,0
92,66780,0,0,1,0,0,0
93,66790,0,0,1,0,0,0
94,66800,0,0,1,0,0,0
95,66810,0,0,1,0,0,0
96,66820,0,0,1,0,0,0
97,66830,0,0,1,0,0,0
98,66840,0,0,1,0,0,0
99,66850,0,0,1,0,0,0
100,66860,0,0,1,0,0,0
101,66870,0,0,1,0,0,0
102,66880,0,0,1,0,0,0
103,66890,0,0,1,0,0,0
104,66900,0,0,1,0,0,0
105,66910,0,0,1,0,0,0
106,66920,0,0,1,0,0,0
107,66930,0,0,1,0,0,0
108,66940,0,0,1,0,0,0
109,66950,0,0,1,0,0,0
110,66960,0,0,1,0,0,0
111,66970,0,0,1,0,0,0
112,66980,0,0,1,0,0,0
113,66990,0,0,1,0,0,0
114,67000,0,0,1,0,0,0
115,67010,0,0,1,0,0,0
116,67020,0,0,1,0,0,0
117,67030,0,0,1,0,0,0
118,67040,0,0,1,0,0,0
119,67050,0,0,1,0,0,0
120,67060,0,0,1,0,0,0
121,67070,0,0,1,0,0,0
122,67080,0,0,1,0,0,0
123,67090,0,0,1,0,0,0
124,67100,0,0,1,0,0,0
125,67110,0,0,1,0,0,0
126,67120,0,0,1,0,0,0
127,67130,0,0,1,0,0,0
128,67140,0,0,1,0,0,0
129,67150,0,0,1,0,0,0
130,67160,0,0,1,0,0,0
131,67170,0,0,1,0,0,0
132,67180,0,0,1,0,0,0
133,67190,0,0,1,0,0,0
134,67200,0,0,1,0,0,0
135,67210,0,0,1,0,0,0
136,67220,0,0,1,0,0,0
137,67230,0,0,1,0,0,0
138,67240,0,0,1,0,0,0
139,67250,0,0,1,0,0,0
140,67260,0,0,1,0,0,0
141,67270,0,0,1,0,0,0
142,67280,0,0,1,0,0,0
143,67290,0,0,1,0,0,0
144,67300,0,0,1,0,0,0
145,67310,0,0,1,0,0,0
146,67320,0,0,1,0,0,0
147,67330,0,0,1,0,0,0
148,67340,0,0,1,0,0,0
149,67350,0,0,1,0,0,0
150,67360,0,0,1,0,0,0
151,67370,0,0,1,0,0,0
152,67380,0,0,1,0,0,0
153,67390,0,0,1,0,0,0
154,67400,0,0,1,0,0,0
155,67410,0,0,1,0,0,0
156,67420,0,0,1,0,0,0
157,67430,0,0,1,0,0,0
158,67440,0,0,1,0,0,0
159,67450,0,0,1,0,0,0
160,67460,0,0,1,0,0,0
161,67470,0,0,1,0,0,0
162,67480,0,0,1,0,0,0
163,67490,0,0,1,0,0,0
164,67500,0,0,1,0,0,0
165,67510,0,0,1,0,0,0
166,67520,0,0,1,0,0,0
167,67530,0,0,1,0,0,0
168,67540,0,0,1,0,0,0
169,67550,0,0,1,0,0,0
170,67560,0,0,1,0,0,0
171,67570,0,0,1,0,0,0
172,67580,0,0,1,0,0,0
173,67590,0,0,1,0,0,0
174,67600,0,0,1,0,0,0
175,67610,0,0,1,0,0,0
176,67620,0,0,1,0,0,0
177,67630,0,0,1,0,0,0
178,67640,0,0,1,0,0,0
179,67650,0,0,1,0,0,0
180,67660,0,0,1,0,0,0
181,67670,0,0,1,0,0,0
182,67680,0,0,1,0,0,0
183,67690,0,0,1,0,0,0
184,67700,0,0,1,0,0,0
185,67710,0,0,1,0,0,0
186,67720,0,0,1,0,0,0
187,67730,0,0,1,0,0,0
188,67740,0,0,1,0,0,0
189,67750,0,0,1,0,0,0
190,67760,0,0,1,0,0,0
191,67770,0,0,1,0,0,0
192,67780,0,0,1,0,0,0
193,67790,0,0,1,0,0,0
194,67800,0,0,1,0,0,0
195,67810,0,0,1,0,0,0
196,67820,0,0,1,0,0,0
197,67830,0,0,1,0,0,0
198,67840,0,0,1,0,0,0
199,67850,0,0,1,0,0,0
200,67860,0,0,1,0,0,0
201,67870,0,0,1,0,0,0
202,67880,0,0,1,0,0,0
203,67890,0,0,1,0,0,0
204,67900,0,0,1,0,0,0
205,67910,0,0,1,0,0,0
206,67920,0,0,1,0,0,0
207,67930,0,0,1,0,0,0
208,67940,0,0,1,0,0,0
209,67950,0,0,1,0,0,0
210,67960,0,0,1,0,0,0
211,67970,0,0,1,0,0,0
212,67980,0,0,1,0,0,0
213,67990,0,0,1,0,0,0
214,68000,0,0,1,0,0,0
215,68010,0,0,1,0,0,0
216,68020,0,0,1,0,0,0
217,68030,0,0,1,0,0,0
218,68040,0,0,1,0,0,0
219,68050,0,0,1,0,0,0
220,68060,0,0,1,0,0,0
221,68070,0,0,1,0,0,0
222,68080,0,0,1,0,0,0
223,68090,0,0,1,0,0,0
224,68100,0,0,1,0,0,0
225,68110,0,0,1,0,0,0
226,68120,0,0,1,0,0,0
227,68130,0,0,1,0,0,0
228,68140,0,0,1,0,0,0
229,68150,0,0,1,0,0,0
230,68160,0,0,1,0,0,0
