,ts,error
0,0.01,3104
1,0.04,1056
2,0.24,3104
3,0.28,1056
4,0.37,3104
5,0.38,1056
6,1.49,3104
7,1.52,1056
8,1.62,3104
9,1.76,1056
10,2.16,3104
11,2.25,1056
12,2.61,3104
13,2.66,1056
14,2.94,3104
15,3.01,1056
16,3.21,1120
17,3.21,1056
18,3.22,1120
19,3.22,1056
20,3.23,1120
21,3.23,1056
22,3.26,3104
23,3.27,1056
24,3.72,3104
25,3.74,1056
26,3.96,3104
27,4.02,3168
28,4.03,3104
29,4.09,1056
30,4.23,3104
31,4.31,1056
32,4.85,3104
33,4.9,1056
34,5.14,3104
35,5.23,1056
36,5.32,3104
37,5.39,1056
38,5.54,3104
39,5.64,1056
40,5.95,3104
41,6.25,1056
42,6.34,3104
43,6.42,1056
44,6.67,3104
45,6.8,1056
46,7.45,3104
47,7.98,1056
48,8.1,3104
49,8.16,1056
50,8.25,3104
51,8.27,1056
52,8.41,3104
53,9.09,1056
54,9.18,3104
55,10.06,1056
56,10.14,3104
57,10.35,1056
58,10.5,3104
59,10.68,1056
60,10.79,3104
61,10.94,1056
62,11.05,3104
63,11.08,1056
64,11.23,3104
65,11.29,1056
66,11.4,3104
67,11.61,1056
68,12.0,3104
69,12.02,1056
70,12.26,3104
71,12.46,1056
72,12.58,3104
73,12.64,1056
74,13.66,3104
75,14.06,1056
76,14.45,3104
77,14.56,1056
78,14.71,3104
79,14.72,1056
80,14.97,3104
81,15.06,1056
82,15.15,3104
83,15.27,1056
84,15.36,3104
85,15.42,1056
86,15.45,1120
87,15.46,1056
88,15.46,1120
89,15.47,1056
90,15.47,1120
91,15.48,1056
92,15.51,3104
93,15.64,1056
94,15.76,3104
95,16.2,1056
96,16.39,3104
97,16.58,1056
98,16.71,3104
99,16.72,1056
100,16.83,3104
101,16.84,1056
102,16.93,3104
103,16.97,1056
104,17.3,3104
105,17.52,1056
106,17.77,3104
107,17.94,1056
108,18.19,3104
109,18.26,1056
110,18.45,3104
111,18.59,1056
112,18.76,3104
113,18.86,1056
114,18.95,3104
115,19.05,1056
