,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,0.001,9.26,-0.211,-0.147,3.766
1,0.011,9.26,-0.211,-0.146,3.766
2,0.021,9.26,-0.209,-0.142,3.766
3,0.031,9.26,-0.213,-0.151,3.765
4,0.041,9.26,-0.212,-0.152,3.765
5,0.051,9.26,-0.215,-0.157,3.764
6,0.061,9.26,-0.214,-0.16,3.763
7,0.071,9.261,-0.216,-0.161,3.762
8,0.081,9.261,-0.218,-0.161,3.761
9,0.091,9.261,-0.217,-0.156,3.761
10,0.101,9.261,-0.215,-0.155,3.761
11,0.111,9.261,-0.213,-0.15,3.761
12,0.121,9.261,-0.211,-0.147,3.762
13,0.131,9.261,-0.211,-0.144,3.763
14,0.141,9.261,-0.21,-0.14,3.764
15,0.151,9.26,-0.21,-0.143,3.764
16,0.161,9.26,-0.209,-0.143,3.765
17,0.171,9.26,-0.207,-0.146,3.765
18,0.181,9.26,-0.208,-0.152,3.765
19,0.191,9.26,-0.21,-0.156,3.765
20,0.201,9.26,-0.212,-0.16,3.764
21,0.211,9.26,-0.213,-0.161,3.764
22,0.221,9.26,-0.212,-0.159,3.763
23,0.231,9.26,-0.211,-0.154,3.763
24,0.241,9.26,-0.212,-0.151,3.763
25,0.251,9.26,-0.212,-0.15,3.764
26,0.261,9.26,-0.21,-0.146,3.764
27,0.271,9.26,-0.208,-0.147,3.764
28,0.281,9.26,-0.21,-0.147,3.765
29,0.291,9.26,-0.212,-0.146,3.765
30,0.301,9.26,-0.213,-0.145,3.765
31,0.311,9.26,-0.216,-0.149,3.764
32,0.321,9.26,-0.215,-0.148,3.764
33,0.331,9.26,-0.215,-0.152,3.763
34,0.341,9.26,-0.213,-0.152,3.763
35,0.351,9.26,-0.212,-0.152,3.763
36,0.361,9.26,-0.211,-0.15,3.763
37,0.371,9.26,-0.214,-0.15,3.763
38,0.381,9.261,-0.217,-0.151,3.763
39,0.391,9.261,-0.214,-0.149,3.763
40,0.401,9.261,-0.213,-0.152,3.763
41,0.411,9.261,-0.213,-0.15,3.763
42,0.421,9.261,-0.213,-0.15,3.763
43,0.431,9.261,-0.214,-0.145,3.763
44,0.441,9.261,-0.213,-0.148,3.763
45,0.451,9.261,-0.214,-0.149,3.763
46,0.461,9.261,-0.215,-0.15,3.763
47,0.471,9.261,-0.215,-0.154,3.762
48,0.481,9.261,-0.215,-0.155,3.762
49,0.491,9.261,-0.215,-0.159,3.762
50,0.901,9.26,-0.211,-0.145,3.764
51,0.911,9.26,-0.21,-0.143,3.764
52,0.921,9.26,-0.209,-0.142,3.765
53,0.931,9.26,-0.208,-0.145,3.765
54,1.291,9.26,-0.212,-0.144,3.765
55,1.301,9.26,-0.211,-0.145,3.765
56,1.311,9.26,-0.21,-0.146,3.765
57,1.321,9.26,-0.21,-0.147,3.765
58,1.331,9.26,-0.21,-0.147,3.765
59,1.341,9.26,-0.211,-0.146,3.765
60,1.351,9.26,-0.211,-0.146,3.765
61,1.361,9.26,-0.211,-0.146,3.765
62,1.371,9.26,-0.21,-0.146,3.765
63,1.381,9.26,-0.209,-0.146,3.766
64,1.391,9.26,-0.209,-0.148,3.766
65,1.401,9.26,-0.209,-0.149,3.766
66,1.411,9.26,-0.21,-0.149,3.765
67,1.421,9.26,-0.21,-0.149,3.765
68,1.431,9.26,-0.21,-0.148,3.765
69,1.441,9.26,-0.211,-0.15,3.765
70,1.451,9.26,-0.21,-0.151,3.765
71,1.461,9.26,-0.209,-0.151,3.765
72,1.471,9.26,-0.209,-0.152,3.765
73,1.481,9.26,-0.209,-0.151,3.765
74,1.491,9.26,-0.209,-0.15,3.765
75,1.501,9.26,-0.209,-0.149,3.765
76,1.511,9.26,-0.209,-0.147,3.766
77,1.521,9.26,-0.208,-0.146,3.766
78,1.531,9.259,-0.208,-0.145,3.766
79,1.541,9.259,-0.209,-0.145,3.766
80,1.551,9.259,-0.21,-0.147,3.766
81,1.561,9.259,-0.21,-0.148,3.766
82,1.571,9.26,-0.21,-0.149,3.766
83,1.581,9.26,-0.21,-0.151,3.766
84,1.591,9.26,-0.21,-0.152,3.765
85,1.601,9.26,-0.209,-0.151,3.765
86,1.611,9.26,-0.21,-0.15,3.765
87,1.621,9.26,-0.212,-0.149,3.765
88,1.631,9.26,-0.213,-0.147,3.765
89,1.641,9.26,-0.213,-0.145,3.765
90,1.651,9.26,-0.212,-0.144,3.765
91,1.661,9.26,-0.212,-0.146,3.765
92,1.671,9.26,-0.21,-0.148,3.765
93,1.681,9.26,-0.209,-0.15,3.765
94,1.691,9.26,-0.209,-0.152,3.765
95,1.701,9.26,-0.209,-0.153,3.765
96,1.711,9.26,-0.208,-0.155,3.765
97,1.721,9.26,-0.208,-0.154,3.765
98,1.731,9.26,-0.208,-0.153,3.765
