,ts,acc_x,acc_y,acc_z
0,105233,0,0,0
1,105243,0,0,0
2,105253,0,0,0
3,105263,-1,0,0
4,105273,0,0,0
5,105283,0,0,0
6,105293,0,0,0
7,105303,-1,0,0
8,105313,0,0,0
9,105323,-1,0,0
10,105333,-1,0,0
11,105343,0,0,0
12,105353,0,0,0
13,105363,-1,0,0
14,105373,-1,0,0
15,105383,0,0,0
16,105393,0,0,0
17,105403,0,0,0
18,105413,0,0,0
19,105423,0,0,0
20,105433,0,0,0
21,105443,0,0,0
22,105453,0,0,0
23,105463,0,0,0
24,105473,0,0,0
25,105483,0,0,0
26,105493,0,0,0
27,105503,-1,0,0
28,105513,0,0,0
29,105523,0,0,0
30,105533,0,0,0
31,105543,0,0,0
32,105553,0,0,0
33,105563,0,0,0
34,105573,0,0,0
35,105583,0,0,0
36,105593,0,0,0
37,105603,-1,0,0
38,105613,0,0,0
39,105623,0,0,0
40,105633,0,0,0
41,105643,0,0,0
42,105653,0,0,0
43,105663,0,0,0
44,105673,0,0,0
45,105683,0,0,0
46,105693,-1,0,0
47,105703,0,0,0
48,105713,0,0,0
49,105723,0,0,0
50,105733,0,0,0
51,106133,0,0,0
52,106143,-1,0,0
53,106153,0,0,0
54,106163,0,0,0
55,106173,0,0,0
56,106523,0,0,0
57,106533,0,0,0
58,106543,-1,0,0
59,106553,0,0,0
60,106563,0,0,0
61,106573,0,0,0
62,106583,0,0,0
63,106593,0,0,0
64,106603,0,0,0
65,106613,0,0,0
66,106623,-1,0,0
67,106633,0,0,0
68,106643,0,0,0
69,106653,0,0,0
70,106663,0,0,0
71,106673,0,0,0
72,106683,0,0,0
73,106693,0,0,0
74,106703,0,0,0
75,106713,0,0,0
76,106723,0,0,0
77,106733,0,0,0
78,106743,-1,0,0
79,106753,-1,0,0
80,106763,0,0,0
81,106773,0,0,0
82,106783,0,0,0
83,106793,0,0,0
84,106803,0,0,0
85,106813,0,0,0
86,106823,0,0,0
87,106833,0,0,0
88,106843,0,0,0
89,106853,0,0,0
90,106863,0,0,0
91,106873,0,0,0
92,106883,0,0,0
93,106893,0,0,0
94,106903,0,0,0
95,106913,0,0,0
96,106923,0,0,0
97,106933,0,0,0
98,106943,0,0,0
99,106953,0,0,0
100,106963,0,0,0
101,106973,0,0,0
102,106983,-1,0,0
103,106993,0,0,0
104,107003,0,0,0
105,107013,0,0,0
106,107023,-1,0,0
107,107033,0,0,0
108,107043,0,0,0
109,107053,0,0,0
110,107063,0,0,0
111,107073,-1,0,0
112,107083,0,0,0
113,107093,0,0,0
114,107103,0,0,0
115,107113,0,0,0
116,107123,0,0,0
117,107133,0,0,0
118,107143,0,0,0
119,107153,-1,0,0
120,107163,0,0,0
121,107173,0,0,0
122,107183,-1,0,0
123,107193,0,0,0
124,107203,0,0,0
125,107213,0,0,0
126,107223,0,0,0
127,107233,-1,0,0
128,107243,0,0,0
129,107253,0,0,0
130,107263,0,0,0
131,107273,0,0,0
132,107283,0,0,0
133,107293,-1,0,0
134,107303,0,0,0
135,107313,0,0,0
136,107323,0,0,0
137,107333,0,0,0
138,107343,0,0,0
139,107353,0,0,0
140,107363,0,0,0
141,107373,0,0,0
142,107383,0,0,0
143,107393,0,0,0
144,107403,0,0,0
145,107413,0,0,0
146,107423,0,0,0
147,107433,0,0,0
148,107443,0,0,0
149,107453,0,0,0
150,107463,0,0,0
151,107473,-1,0,0
152,107483,0,0,0
153,107493,-1,0,0
154,107503,0,0,0
155,107513,0,0,0
156,107523,-1,0,0
157,107533,0,0,0
158,107543,-1,0,0
159,107553,0,0,0
160,107563,0,0,0
161,107573,-1,0,0
162,107583,0,0,0
163,107593,0,0,0
164,107603,0,0,0
165,107613,-1,0,0
166,107623,0,0,0
167,107633,0,0,0
168,107643,-1,0,0
169,107653,0,0,0
170,107663,-1,0,0
171,107673,0,0,0
172,107683,0,0,0
173,107693,0,0,0
174,107703,0,0,0
175,107713,0,0,0
176,107723,0,0,0
177,107733,0,0,0
178,107743,-1,0,0
179,107753,0,0,0
180,107763,0,0,0
181,107773,0,0,0
182,107783,0,0,0
183,107793,0,0,0
184,107803,0,0,0
185,107813,0,0,0
186,107823,0,0,0
187,107833,0,0,0
188,107843,0,0,0
189,107853,0,0,0
190,107863,0,0,0
191,107873,0,0,0
192,107883,-1,0,0
193,107893,0,0,0
194,107903,0,0,0
195,107913,-1,0,0
196,107923,0,0,0
197,107933,0,0,0
198,107943,0,0,0
199,107953,0,0,0
200,107963,0,0,0
201,107973,0,0,0
202,107983,0,0,0
203,107993,-1,0,0
204,108003,0,0,0
205,108013,0,0,0
206,108023,0,0,0
207,108033,0,0,0
208,108043,0,0,0
209,108053,0,0,0
210,108063,0,0,0
211,108073,-1,0,0
