,ts,id,T,P
0,105233,BARO1,2843,101426
1,105233,BARO2,2903,101488
2,105243,BARO0,2831,101461
3,105243,BARO1,2844,101424
4,105243,BARO2,2904,101496
5,105253,BARO0,2831,101467
6,105253,BARO1,2844,101424
7,105253,BARO2,2904,101488
8,105263,BARO0,2831,101468
9,105263,BARO1,2843,101427
10,105263,BARO2,2904,101494
11,105273,BARO0,2831,101461
12,105273,BARO1,2844,101430
13,105273,BARO2,2904,101493
14,105283,BARO0,2831,101463
15,105283,BARO1,2844,101415
16,105283,BARO2,2904,101498
17,105293,BARO0,2831,101463
18,105293,BARO1,2844,101419
19,105293,BARO2,2904,101497
20,105303,BARO0,2831,101466
21,105303,BARO1,2843,101430
22,105303,BARO2,2903,101495
23,105313,BARO0,2831,101470
24,105313,BARO1,2844,101425
25,105313,BARO2,2904,101497
26,105323,BARO0,2831,101463
27,105323,BARO1,2844,101422
28,105323,BARO2,2904,101499
29,105333,BARO0,2831,101465
30,105333,BARO1,2844,101428
31,105333,BARO2,2904,101493
32,105343,BARO0,2831,101458
33,105343,BARO1,2843,101419
34,105343,BARO2,2904,101502
35,105353,BARO0,2831,101461
36,105353,BARO1,2844,101422
37,105353,BARO2,2904,101492
38,105363,BARO0,2831,101464
39,105363,BARO1,2843,101424
40,105363,BARO2,2904,101496
41,105373,BARO0,2831,101465
42,105373,BARO1,2844,101430
43,105373,BARO2,2904,101497
44,105383,BARO0,2831,101466
45,105383,BARO1,2843,101425
46,105383,BARO2,2904,101497
47,105393,BARO0,2831,101459
48,105393,BARO1,2844,101423
49,105393,BARO2,2903,101497
50,105403,BARO0,2831,101461
51,105403,BARO1,2843,101423
52,105403,BARO2,2904,101497
53,105413,BARO0,2831,101464
54,105413,BARO1,2843,101427
55,105413,BARO2,2904,101493
56,105423,BARO0,2831,101464
57,105423,BARO1,2844,101425
58,105423,BARO2,2904,101493
59,105433,BARO0,2831,101463
60,105433,BARO1,2843,101420
61,105433,BARO2,2904,101495
62,105443,BARO0,2831,101466
63,105443,BARO1,2843,101423
64,105443,BARO2,2904,101488
65,105453,BARO0,2831,101459
66,105453,BARO1,2844,101426
67,105453,BARO2,2904,101489
68,105463,BARO0,2831,101460
69,105463,BARO1,2844,101424
70,105463,BARO2,2904,101493
71,105473,BARO0,2831,101468
72,105473,BARO1,2843,101424
73,105473,BARO2,2904,101492
74,105483,BARO0,2831,101465
75,105483,BARO1,2844,101424
76,105483,BARO2,2904,101491
77,105493,BARO0,2831,101467
78,105493,BARO1,2844,101419
79,105493,BARO2,2904,101497
80,105503,BARO0,2831,101464
81,105503,BARO1,2843,101418
82,105503,BARO2,2904,101490
83,105513,BARO0,2831,101457
84,105513,BARO1,2844,101426
85,105513,BARO2,2904,101494
86,105523,BARO0,2831,101463
87,105523,BARO1,2843,101412
88,105523,BARO2,2903,101490
89,105533,BARO0,2831,101459
90,105533,BARO1,2844,101418
91,105533,BARO2,2904,101500
92,105543,BARO0,2831,101462
93,105543,BARO1,2844,101428
94,105543,BARO2,2904,101495
95,105553,BARO0,2831,101458
96,105553,BARO1,2844,101425
97,105553,BARO2,2904,101499
98,105563,BARO0,2831,101465
99,105563,BARO1,2844,101423
100,105563,BARO2,2904,101494
101,105573,BARO0,2831,101461
102,105573,BARO1,2844,101422
