,ts,error
0,105243,3104
1,105273,1056
2,105473,3104
3,105513,1056
4,105603,3104
5,105613,1056
6,106723,3104
7,106753,1056
8,106853,3104
9,106993,1056
10,107393,3104
11,107483,1056
12,107843,3104
13,107893,1056
14,108173,3104
15,108243,1056
16,108443,1120
17,108443,1056
18,108453,1120
19,108453,1056
20,108463,1120
21,108463,1056
22,108493,3104
23,108503,1056
24,108953,3104
25,108973,1056
26,109193,3104
27,109253,3168
28,109263,3104
29,109323,1056
30,109463,3104
31,109543,1056
32,110083,3104
33,110133,1056
34,110373,3104
35,110463,1056
36,110553,3104
37,110623,1056
38,110773,3104
39,110873,1056
40,111183,3104
41,111483,1056
42,111573,3104
43,111653,1056
44,111903,3104
45,112033,1056
46,112683,3104
47,113213,1056
48,113333,3104
49,113393,1056
50,113483,3104
51,113503,1056
52,113643,3104
53,114323,1056
54,114413,3104
55,115293,1056
56,115373,3104
57,115583,1056
58,115733,3104
59,115913,1056
60,116023,3104
61,116173,1056
62,116283,3104
63,116313,1056
64,116463,3104
65,116523,1056
66,116633,3104
67,116843,1056
68,117233,3104
69,117253,1056
70,117493,3104
71,117693,1056
72,117813,3104
73,117873,1056
74,118893,3104
75,119293,1056
76,119683,3104
77,119793,1056
78,119943,3104
79,119953,1056
80,120203,3104
81,120293,1056
82,120383,3104
83,120503,1056
84,120593,3104
85,120653,1056
86,120683,1120
87,120693,1056
88,120693,1120
89,120703,1056
90,120703,1120
91,120713,1056
92,120743,3104
93,120873,1056
94,120993,3104
95,121433,1056
96,121623,3104
97,121813,1056
98,121943,3104
99,121953,1056
100,122063,3104
101,122073,1056
102,122163,3104
103,122203,1056
104,122533,3104
105,122753,1056
106,123003,3104
107,123173,1056
108,123423,3104
109,123493,1056
110,123683,3104
111,123823,1056
112,123993,3104
113,124093,1056
114,124183,3104
115,124283,1056
