,ts,height,velocity,acceleration
0,105234,-0.2685578763484955,-0.1926167756319046,-0.25273963809013367
1,105244,-0.26774388551712036,-0.19226840138435364,-0.25263798236846924
2,105254,-0.26694363355636597,-0.191987544298172,-0.2576219439506531
3,105264,-0.2661571502685547,-0.1917230486869812,-0.2575215697288513
4,105274,-0.26538410782814026,-0.19142378866672516,-0.2523368299007416
5,105284,-0.26462435722351074,-0.191191166639328,-0.2573226988315582
6,105294,-0.26387807726860046,-0.19097404181957245,-0.2572242021560669
7,105304,-0.26205214858055115,-0.18963035941123962,-0.25708597898483276
8,105314,-0.2613438069820404,-0.18946683406829834,-0.2569894790649414
9,105324,-0.2606485188007355,-0.1893177032470703,-0.2568935751914978
10,105334,-0.2617148458957672,-0.1910094916820526,-0.2568626403808594
11,105344,-0.2627752125263214,-0.1925758719444275,-0.24665994942188263
12,105354,-0.26382824778556824,-0.19396615028381348,-0.23137050867080688
13,105364,-0.26487311720848083,-0.1953330636024475,-0.23133714497089386
14,105374,-0.26590976119041443,-0.19667679071426392,-0.23130299150943756
15,105384,-0.2669388949871063,-0.19815005362033844,-0.24652493000030518
16,105394,-0.2691636085510254,-0.20090709626674652,-0.2516193389892578
17,105404,-0.27016711235046387,-0.20235975086688995,-0.25158190727233887
18,105414,-0.2711638808250427,-0.203739196062088,-0.2464577853679657
19,105424,-0.2721535563468933,-0.20509643852710724,-0.24641883373260498
20,105434,-0.2719340920448303,-0.20522670447826385,-0.25142091512680054
21,105444,-0.2717204689979553,-0.20536087453365326,-0.2513372302055359
22,105454,-0.27151256799697876,-0.2054988145828247,-0.25125378370285034
23,105464,-0.2707638740539551,-0.2050696164369583,-0.2511504292488098
24,105474,-0.26893335580825806,-0.20346324145793915,-0.24592161178588867
25,105484,-0.2671247124671936,-0.20184451341629028,-0.24069425463676453
26,105494,-0.26588407158851624,-0.20083461701869965,-0.24057431519031525
27,105504,-0.26465922594070435,-0.19985055923461914,-0.24045535922050476
28,105514,-0.2623572051525116,-0.1977504938840866,-0.2402973175048828
29,105524,-0.2594265341758728,-0.19501416385173798,-0.24011705815792084
30,105534,-0.25652995705604553,-0.1923908293247223,-0.24502503871917725
31,105544,-0.25366759300231934,-0.18982890248298645,-0.2448493391275406
32,105554,-0.25083908438682556,-0.18727679550647736,-0.23958992958068848
33,105564,-0.24979262053966522,-0.18661099672317505,-0.23948267102241516
34,105574,-0.24876129627227783,-0.18596690893173218,-0.2393762320280075
35,105584,-0.24719835817813873,-0.1847226321697235,-0.23416563868522644
36,105594,-0.24565553665161133,-0.1835111528635025,-0.2340412586927414
37,105604,-0.24413301050662994,-0.18238289654254913,-0.23900309205055237
38,105614,-0.24263069033622742,-0.18123573064804077,-0.2337961345911026
39,105624,-0.2411482036113739,-0.1801200807094574,-0.23367534577846527
40,105634,-0.24132464826107025,-0.1807475984096527,-0.23361557722091675
41,105644,-0.23986442387104034,-0.17965851724147797,-0.23349584639072418
42,105654,-0.23842422664165497,-0.1787017434835434,-0.2435481995344162
43,105664,-0.23700445890426636,-0.17777514457702637,-0.2434307485818863
44,105674,-0.23560498654842377,-0.17687825858592987,-0.24331440031528473
45,105684,-0.23422542214393616,-0.17595981061458588,-0.23811320960521698
46,105694,-0.23286540806293488,-0.17507022619247437,-0.23799903690814972
47,105704,-0.23381982743740082,-0.17665672302246094,-0.243055522441864
48,105714,-0.2347697913646698,-0.17817111313343048,-0.23793938755989075
49,105724,-0.23505932092666626,-0.17897960543632507,-0.23788459599018097
50,106134,-0.22209905087947845,-0.17713937163352966,-0.2294924110174179
51,106144,-0.221001535654068,-0.17642654478549957,-0.22938872873783112
52,106154,-0.2204660028219223,-0.17630696296691895,-0.22930556535720825
53,106164,-0.22103337943553925,-0.17744067311286926,-0.23943306505680084
54,106524,-0.21283505856990814,-0.18084754049777985,-0.22657963633537292
55,106534,-0.21305830776691437,-0.18149706721305847,-0.23160777986049652
56,106544,-0.21382945775985718,-0.18271128833293915,-0.23157021403312683
57,106554,-0.21459655463695526,-0.18390823900699615,-0.23153208196163177
58,106564,-0.21535953879356384,-0.18508800864219666,-0.23149338364601135
59,106574,-0.21611805260181427,-0.1861998289823532,-0.22636914253234863
60,106584,-0.21687154471874237,-0.18724380433559418,-0.22124339640140533
61,106594,-0.21761967241764069,-0.1882709115743637,-0.2212030440568924
62,106604,-0.2172701209783554,-0.18814092874526978,-0.2211233228445053
63,106614,-0.21583425998687744,-0.18687741458415985,-0.22100508213043213
64,106624,-0.21441571414470673,-0.1856440007686615,-0.2208879441022873
65,106634,-0.21301467716693878,-0.18449117243289948,-0.22585782408714294
66,106644,-0.21097595989704132,-0.182683527469635,-0.22571957111358643
67,106654,-0.2096170336008072,-0.1816030889749527,-0.22560612857341766
68,106664,-0.20827563107013702,-0.18055111169815063,-0.22549371421337128
69,106674,-0.20749777555465698,-0.1800973266363144,-0.22540169954299927
70,106684,-0.20673154294490814,-0.17965953052043915,-0.225310280919075
71,106694,-0.20597638189792633,-0.1791357696056366,-0.21504755318164825
72,106704,-0.205231711268425,-0.17862753570079803,-0.21495729684829712
73,106714,-0.20449745655059814,-0.17813460528850555,-0.21486762166023254
74,106724,-0.20377355813980103,-0.17765673995018005,-0.21477851271629333
75,106734,-0.20305994153022766,-0.17719373106956482,-0.2146899551153183
76,106744,-0.20235654711723328,-0.17674535512924194,-0.21460194885730743
77,106754,-0.20111721754074097,-0.1757413148880005,-0.21449516713619232
