,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,105233,IMU0,14,0,2,-42,27,980
1,105233,IMU1,0,-5,-8,-36,30,939
2,105243,IMU0,14,-2,6,-42,27,983
3,105243,IMU1,1,-7,-4,-34,28,938
4,105253,IMU0,11,25,2,-36,27,982
5,105253,IMU1,-2,19,-8,-27,29,942
6,105263,IMU0,10,23,3,-51,28,990
7,105263,IMU1,-2,18,-7,-42,31,946
8,105273,IMU0,11,24,2,-43,26,982
9,105273,IMU1,-1,17,-7,-34,28,940
10,105283,IMU0,10,26,3,-49,28,986
11,105283,IMU1,-2,21,-6,-40,29,943
12,105293,IMU0,10,24,4,-46,25,985
13,105293,IMU1,-2,19,-5,-38,28,944
14,105303,IMU0,10,22,4,-46,28,980
15,105303,IMU1,-1,16,-5,-37,30,940
16,105313,IMU0,10,12,3,-45,29,982
17,105313,IMU1,-2,5,-5,-37,30,942
18,105323,IMU0,12,9,4,-41,28,990
19,105323,IMU1,-1,3,-4,-34,31,947
20,105333,IMU0,12,2,4,-43,27,985
21,105333,IMU1,0,-4,-5,-35,30,941
22,105343,IMU0,14,-7,5,-39,27,991
23,105343,IMU1,2,-13,-4,-31,29,944
24,105353,IMU0,14,1,3,-40,27,987
25,105353,IMU1,1,-7,-6,-31,29,943
26,105363,IMU0,14,-5,3,-40,28,983
27,105363,IMU1,2,-12,-6,-33,30,940
28,105373,IMU0,12,9,3,-38,28,983
29,105373,IMU1,0,3,-6,-32,30,940
30,105383,IMU0,11,21,3,-43,26,983
31,105383,IMU1,0,14,-6,-36,28,942
32,105393,IMU0,10,31,4,-40,26,983
33,105393,IMU1,-2,25,-6,-32,28,941
34,105403,IMU0,9,43,5,-42,25,986
35,105403,IMU1,-3,37,-5,-34,28,944
36,105413,IMU0,9,44,2,-46,25,991
37,105413,IMU1,-4,40,-8,-39,29,949
38,105423,IMU0,10,27,0,-47,27,984
39,105423,IMU1,-2,21,-8,-40,29,941
40,105433,IMU0,12,17,2,-48,27,989
