,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,105234,9260,-211,-147,3766
1,105244,9260,-211,-146,3766
2,105254,9260,-209,-142,3766
3,105264,9260,-213,-151,3765
4,105274,9260,-212,-152,3765
5,105284,9260,-215,-157,3764
6,105294,9260,-214,-160,3763
7,105304,9261,-216,-161,3762
8,105314,9261,-218,-161,3761
9,105324,9261,-217,-156,3761
10,105334,9261,-215,-155,3761
11,105344,9261,-213,-150,3761
12,105354,9261,-211,-147,3762
13,105364,9261,-211,-144,3763
14,105374,9261,-210,-140,3764
15,105384,9260,-210,-143,3764
16,105394,9260,-209,-143,3765
17,105404,9260,-207,-146,3765
18,105414,9260,-208,-152,3765
19,105424,9260,-210,-156,3765
20,105434,9260,-212,-160,3764
21,105444,9260,-213,-161,3764
22,105454,9260,-212,-159,3763
23,105464,9260,-211,-154,3763
24,105474,9260,-212,-151,3763
25,105484,9260,-212,-150,3764
26,105494,9260,-210,-146,3764
27,105504,9260,-208,-147,3764
28,105514,9260,-210,-147,3765
29,105524,9260,-212,-146,3765
30,105534,9260,-213,-145,3765
31,105544,9260,-216,-149,3764
32,105554,9260,-215,-148,3764
33,105564,9260,-215,-152,3763
34,105574,9260,-213,-152,3763
35,105584,9260,-212,-152,3763
36,105594,9260,-211,-150,3763
37,105604,9260,-214,-150,3763
38,105614,9261,-217,-151,3763
39,105624,9261,-214,-149,3763
40,105634,9261,-213,-152,3763
41,105644,9261,-213,-150,3763
42,105654,9261,-213,-150,3763
43,105664,9261,-214,-145,3763
44,105674,9261,-213,-148,3763
45,105684,9261,-214,-149,3763
46,105694,9261,-215,-150,3763
47,105704,9261,-215,-154,3762
48,105714,9261,-215,-155,3762
49,105724,9261,-215,-159,3762
50,106134,9260,-211,-145,3764
51,106144,9260,-210,-143,3764
52,106154,9260,-209,-142,3765
53,106164,9260,-208,-145,3765
54,106524,9260,-212,-144,3765
55,106534,9260,-211,-145,3765
56,106544,9260,-210,-146,3765
57,106554,9260,-210,-147,3765
58,106564,9260,-210,-147,3765
59,106574,9260,-211,-146,3765
60,106584,9260,-211,-146,3765
61,106594,9260,-211,-146,3765
62,106604,9260,-210,-146,3765
63,106614,9260,-209,-146,3766
64,106624,9260,-209,-148,3766
65,106634,9260,-209,-149,3766
66,106644,9260,-210,-149,3765
67,106654,9260,-210,-149,3765
68,106664,9260,-210,-148,3765
69,106674,9260,-211,-150,3765
70,106684,9260,-210,-151,3765
71,106694,9260,-209,-151,3765
72,106704,9260,-209,-152,3765
73,106714,9260,-209,-151,3765
74,106724,9260,-209,-150,3765
75,106734,9260,-209,-149,3765
76,106744,9260,-209,-147,3766
77,106754,9260,-208,-146,3766
78,106764,9259,-208,-145,3766
79,106774,9259,-209,-145,3766
80,106784,9259,-210,-147,3766
81,106794,9259,-210,-148,3766
82,106804,9260,-210,-149,3766
83,106814,9260,-210,-151,3766
84,106824,9260,-210,-152,3765
85,106834,9260,-209,-151,3765
86,106844,9260,-210,-150,3765
87,106854,9260,-212,-149,3765
88,106864,9260,-213,-147,3765
89,106874,9260,-213,-145,3765
90,106884,9260,-212,-144,3765
91,106894,9260,-212,-146,3765
92,106904,9260,-210,-148,3765
93,106914,9260,-209,-150,3765
94,106924,9260,-209,-152,3765
95,106934,9260,-209,-153,3765
96,106944,9260,-208,-155,3765
97,106954,9260,-208,-154,3765
98,106964,9260,-208,-153,3765
