,ts,acc_x,acc_y,acc_z
0,-0.371,1,-1,0
1,-0.361,1,-1,0
2,-0.351,1,-1,0
3,-0.341,1,0,0
4,-0.331,1,0,0
5,-0.321,1,-1,0
6,-0.311,1,-1,0
7,-0.301,1,0,0
8,-0.291,1,-1,0
9,-0.281,1,0,0
10,-0.271,1,-1,0
11,-0.261,1,-1,0
12,-0.251,1,-1,0
13,-0.241,1,0,0
14,-0.231,1,0,0
15,-0.221,1,-1,0
16,-0.211,1,-1,0
17,-0.201,1,-1,0
18,-0.191,1,-1,0
19,-0.181,1,-1,0
20,-0.171,1,-1,0
21,-0.161,1,-1,0
22,-0.151,1,-1,0
23,-0.141,1,-1,0
24,-0.131,1,-1,0
25,-0.121,2,-1,0
26,-0.111,20,0,0
27,-0.101,27,-1,0
28,-0.091,26,-1,0
29,-0.081,24,0,0
30,-0.071,22,0,0
31,-0.061,22,0,0
32,-0.051,22,-1,0
33,-0.041,22,0,0
34,-0.031,22,-1,0
35,-0.021,21,0,0
36,-0.011,21,0,0
37,-0.001,21,-1,0
38,0.009,20,0,0
39,0.019,20,-1,0
40,0.029,20,0,0
41,0.039,20,0,0
42,0.049,20,-1,0
43,0.059,20,0,0
44,0.069,20,-1,0
45,0.079,20,-1,0
46,0.089,19,0,0
47,0.099,19,0,0
48,0.109,20,0,0
49,0.119,19,0,0
50,0.129,19,-1,0
51,0.139,20,0,0
52,0.149,20,-1,0
53,0.159,19,0,0
54,0.169,19,-1,0
55,0.179,20,0,0
56,0.189,19,0,0
57,0.199,19,0,0
58,0.209,18,-1,0
59,0.219,18,-1,0
60,0.229,19,-1,0
61,0.239,19,-1,0
62,0.249,19,-1,0
63,0.259,19,-1,0
64,0.269,19,-1,0
65,0.279,18,-1,0
66,0.289,19,-1,0
67,0.299,18,-1,0
68,0.309,18,-1,0
69,0.319,18,-1,0
70,0.329,19,-1,0
71,0.339,18,-1,0
72,0.349,18,-1,0
73,0.359,18,-1,0
74,0.369,18,-1,0
75,0.379,18,-1,0
76,0.389,19,-1,0
77,0.399,18,-1,0
78,0.409,18,-1,0
79,0.419,18,-2,0
80,0.429,18,-2,0
81,0.439,18,-1,0
82,0.449,18,-1,0
83,0.459,18,-1,0
84,0.469,18,-1,0
85,0.479,19,-1,0
86,0.489,18,-1,0
87,0.499,18,-1,0
88,0.509,18,-1,0
89,0.519,18,-1,0
90,0.529,18,-1,0
91,0.539,18,-1,0
92,0.549,18,-1,0
93,0.559,18,0,0
94,0.569,18,0,0
95,0.579,18,0,0
96,0.589,19,0,0
97,0.599,18,0,0
98,0.609,17,1,0
99,0.619,18,0,0
100,0.629,18,0,0
101,0.639,18,0,0
102,0.649,18,0,0
103,0.659,17,0,0
104,0.669,17,0,0
105,0.679,17,0,0
106,0.689,17,0,0
107,0.699,17,-1,0
108,0.709,17,-1,0
109,0.719,17,-1,0
110,0.729,17,0,0
111,0.739,17,-1,0
112,0.749,17,-1,0
113,0.759,17,-1,0
114,0.769,17,-1,0
115,0.779,18,-1,0
116,0.789,18,-2,0
117,0.799,17,-2,0
118,0.809,17,-2,0
119,0.819,17,-2,0
120,0.829,17,-2,0
121,0.839,16,-2,0
122,0.849,16,-1,0
123,0.859,16,-2,0
124,0.869,16,-1,0
125,0.879,16,-1,0
126,0.889,16,-1,0
127,0.899,16,-1,0
128,0.909,17,-2,0
129,0.919,16,-1,0
130,0.929,16,-1,0
131,0.939,16,-1,0
132,0.949,16,-1,0
133,0.959,16,-1,0
134,0.969,16,0,0
135,0.979,16,-1,0
136,0.989,15,-1,0
137,0.999,16,-1,0
138,1.009,15,-1,0
139,1.019,15,-1,0
140,1.029,15,-1,0
141,1.039,15,-1,0
142,1.049,15,-1,0
143,1.059,15,-1,0
144,1.069,15,-1,0
145,1.079,15,-1,0
146,1.089,14,-1,0
147,1.099,14,-2,0
148,1.109,14,-2,0
149,1.119,14,-2,0
150,1.129,14,-2,0
151,1.139,14,-1,0
152,1.149,14,-2,0
153,1.159,13,-2,0
154,1.169,13,-1,0
155,1.179,13,-1,0
156,1.189,13,-1,0
157,1.199,13,-1,0
158,1.209,13,-1,0
159,1.219,13,0,0
160,1.229,13,-1,0
161,1.239,13,-1,0
162,1.249,13,-1,0
163,1.259,13,-1,0
164,1.269,12,-1,0
165,1.279,13,-1,0
166,1.289,12,-1,0
167,1.299,12,-1,0
168,1.309,12,-1,0
169,1.319,12,-1,0
170,1.329,12,-1,0
171,1.339,12,-1,0
172,1.349,11,-1,0
173,1.359,11,-1,0
174,1.369,12,-1,0
175,1.379,16,-1,0
176,1.389,12,-1,0
177,1.399,12,-1,0
178,1.409,11,-1,0
179,1.419,11,-1,0
180,1.429,10,-1,0
181,1.439,10,-1,0
182,1.449,10,-1,0
183,1.459,9,-1,0
184,1.469,9,-1,0
185,1.479,8,0,0
186,1.489,8,-1,0
187,1.499,7,-1,0
188,1.509,6,-1,0
189,1.519,6,-1,0
190,1.529,6,-1,0
191,1.539,5,-1,0
192,1.549,5,-1,0
193,1.559,4,-1,0
194,1.569,4,-1,0
195,1.579,3,-1,0
196,1.589,3,-1,0
197,1.599,2,-1,0
198,1.609,1,-1,0
199,1.619,0,-1,0
200,1.629,0,-1,0
201,1.639,0,-1,0
202,1.649,0,-1,0
203,1.659,-1,-1,0
204,1.669,-1,-1,0
205,1.679,-1,-1,0
206,1.689,-2,-1,0
207,1.699,-2,-1,0
208,1.709,-2,-1,0
209,1.719,-2,-1,0
210,1.729,-2,-1,0
211,1.739,-2,-1,0
212,1.749,-2,-1,0
213,1.759,-2,-1,0
214,1.769,-3,-1,0
215,1.779,-3,-1,0
216,1.789,-3,-1,0
217,1.799,-3,-1,0
218,1.809,-3,-1,0
219,1.819,-3,-1,0
220,1.829,-3,-1,0
221,1.839,-3,-1,0
222,1.849,-3,-1,0
223,1.859,-3,-1,0
224,1.869,-3,-1,0
225,1.879,-3,-1,0
226,1.889,-3,-1,0
227,1.899,-4,-1,0
228,1.909,-4,-1,0
229,1.919,-4,-1,0
230,1.929,-4,-1,0
231,1.939,-4,-1,0
232,1.949,-4,-1,0
233,1.959,-3,-1,0
234,1.969,-3,-2,0
235,1.979,-4,-1,0
236,1.989,-4,-1,0
237,1.999,-3,-2,0
238,2.009,-4,-2,0
239,2.019,-4,-2,0
240,2.029,-4,-2,0
241,2.039,-4,-1,0
242,2.049,-4,-1,0
243,2.059,-4,-1,0
244,2.069,-4,-1,0
245,2.079,-4,-1,0
246,2.089,-4,-1,0
247,2.099,-4,-1,0
248,2.109,-4,-1,0
249,2.119,-4,-1,0
250,2.129,-4,-1,0
251,2.139,-4,-2,0
252,2.149,-4,-1,0
253,2.159,-3,-1,0
254,2.169,-3,-1,0
255,2.179,-4,-1,0
256,2.189,-4,-1,0
257,2.199,-4,-1,0
258,2.209,-4,-1,0
259,2.219,-4,-1,0
260,2.229,-4,-1,0
261,2.239,-4,-1,0
262,2.249,-4,-1,0
263,2.259,-3,-1,0
264,2.269,-4,-1,0
265,2.279,-4,-1,0
266,2.289,-4,-1,0
267,2.299,-4,-1,0
268,2.309,-4,-1,0
269,2.319,-4,-1,0
270,2.329,-4,-1,0
271,2.339,-4,-1,0
272,2.349,-4,-1,0
273,2.359,-4,-1,0
274,2.369,-4,-1,0
275,2.379,-4,-1,0
276,2.389,-4,-2,0
277,2.399,-4,-1,0
278,2.409,-4,-1,0
279,2.419,-4,-1,0
280,2.429,-4,-1,0
281,2.439,-4,-1,0
282,2.449,-4,-1,0
283,2.459,-4,-1,0
284,2.469,-4,-1,0
285,2.479,-4,-1,0
286,2.489,-4,-1,0
287,2.499,-4,-1,0
288,2.509,-4,-1,0
289,2.519,-4,-1,0
290,2.529,-4,-1,0
291,2.539,-3,-1,0
292,2.549,-3,-1,0
293,2.559,-4,-1,0
294,2.569,-4,-1,0
295,2.579,-4,-1,0
296,2.589,-3,-1,0
297,2.599,-3,-1,0
298,2.609,-4,-1,0
299,2.619,-4,-1,0
300,2.629,-3,-1,0
301,2.639,-3,-1,0
302,2.649,-3,-1,0
303,2.659,-3,-1,0
304,2.669,-3,-1,0
305,2.679,-3,-1,0
306,2.689,-3,-1,0
307,2.699,-3,-1,0
308,2.709,-3,-1,0
309,2.719,-3,-1,0
310,2.729,-3,-1,0
311,2.739,-3,-1,0
312,2.749,-4,-1,0
313,2.759,-4,-1,0
314,2.769,-3,-1,0
315,2.779,-3,-1,0
316,2.789,-3,-1,0
317,2.799,-3,-1,0
318,2.809,-4,-1,0
319,2.819,-3,-1,0
320,2.829,-4,-1,0
321,2.839,-3,-1,0
322,2.849,-3,-1,0
323,2.859,-3,-1,0
324,2.869,-3,-1,0
325,2.879,-3,-1,0
326,2.889,-3,-1,0
327,2.899,-3,-1,0
328,2.909,-3,-1,0
329,2.919,-3,-1,0
330,2.929,-3,-1,0
331,2.939,-3,-1,0
332,2.949,-3,-1,0
333,2.959,-3,-1,0
334,2.969,-3,-1,0
335,2.979,-3,-1,0
336,2.989,-3,-1,0
337,2.999,-3,-1,0
338,3.009,-3,-1,0
339,3.019,-3,-1,0
340,3.029,-3,-1,0
341,3.039,-3,-1,0
342,3.049,-3,-1,0
343,3.059,-3,-1,0
344,3.069,-3,-1,0
345,3.079,-3,-1,0
346,3.089,-3,-1,0
347,3.099,-3,-1,0
348,3.109,-3,-1,0
349,3.119,-3,-1,0
350,3.129,-3,-1,0
351,3.139,-3,-1,0
352,3.149,-3,-1,0
353,3.159,-3,-1,0
354,3.169,-3,-1,0
355,3.179,-3,-1,0
356,3.189,-3,-1,0
357,3.199,-3,-1,0
358,3.209,-3,-1,0
359,3.219,-3,-1,0
360,3.229,-3,-1,0
361,3.239,-3,-1,0
362,3.249,-3,-1,0
363,3.259,-3,-1,0
364,3.269,-3,-1,0
365,3.279,-3,-1,0
366,3.289,-3,-1,0
367,3.299,-3,-1,0
368,3.309,-3,-1,0
369,3.319,-3,-1,0
370,3.329,-3,-1,0
371,3.339,-3,-1,0
372,3.349,-3,-1,0
373,3.359,-3,-1,0
374,3.369,-3,-1,0
375,3.379,-3,-1,0
376,3.389,-3,-1,0
377,3.399,-3,-1,0
378,3.409,-3,-1,0
379,3.419,-3,-1,0
380,3.429,-3,-1,0
381,3.439,-3,-1,0
382,3.449,-3,-1,0
383,3.459,-3,-1,0
384,3.469,-3,-1,0
385,3.479,-3,-1,0
386,3.489,-3,-1,0
387,3.499,-3,-1,0
388,3.509,-3,-1,0
389,3.519,-3,-1,0
390,3.529,-3,-1,0
391,3.539,-3,-1,0
392,3.549,-3,-1,0
393,3.559,-3,-1,0
394,3.569,-2,-1,0
395,3.579,-3,-1,0
396,3.589,-3,-1,0
397,3.599,-2,-1,0
398,3.609,-3,-1,0
399,3.619,-3,-1,0
400,3.629,-3,-1,0
401,3.639,-3,-1,0
402,3.649,-3,-1,0
403,3.659,-3,-1,0
404,3.669,-3,-1,0
405,3.679,-3,-1,0
406,3.689,-3,-1,0
407,3.699,-3,-1,0
408,3.709,-2,-1,0
409,3.719,-3,-1,0
410,3.729,-2,-1,0
411,3.739,-2,-1,0
412,3.749,-3,-1,0
413,3.759,-2,-1,0
414,3.769,-3,-1,0
415,3.779,-2,-1,0
416,3.789,-3,-1,0
417,3.799,-3,-1,0
418,3.809,-2,-1,0
419,3.819,-3,-1,0
420,3.829,-3,-1,0
421,3.839,-3,-1,0
422,3.849,-2,-1,0
423,3.859,-3,-1,0
424,3.869,-2,-1,0
425,3.879,-3,-1,0
426,3.889,-2,-1,0
427,3.899,-3,-1,0
428,3.909,-2,-1,0
429,3.919,-2,-1,0
430,3.929,-2,-1,0
431,3.939,-2,-1,0
432,3.949,-2,-1,0
433,3.959,-2,-1,0
434,3.969,-2,-1,0
435,3.979,-2,-1,0
436,3.989,-2,-1,0
437,3.999,-2,-1,0
438,4.009,-2,-1,0
439,4.019,-2,-1,0
440,4.029,-2,-1,0
441,4.039,-2,-1,0
442,4.049,-2,-1,0
443,4.059,-2,-1,0
444,4.069,-2,-1,0
445,4.079,-2,-1,0
446,4.089,-2,-1,0
447,4.099,-2,-1,0
448,4.109,-2,-1,0
449,4.119,-2,-1,0
450,4.129,-2,-1,0
451,4.139,-2,-1,0
452,4.149,-2,-1,0
453,4.159,-2,-1,0
454,4.169,-2,-1,0
455,4.179,-2,-1,0
456,4.189,-2,-1,0
457,4.199,-2,-1,0
458,4.209,-2,-1,0
459,4.219,-2,-1,0
460,4.229,-2,-1,0
461,4.239,-2,-1,0
462,4.249,-2,-1,0
463,4.259,-2,-1,0
464,4.269,-2,-1,0
465,4.279,-2,-1,0
466,4.289,-2,-1,0
467,4.299,-2,-1,0
468,4.309,-2,-1,0
469,4.319,-2,-1,0
470,4.329,-2,-1,0
471,4.339,-2,-1,0
472,4.349,-2,-1,0
473,4.359,-2,-1,0
474,4.369,-2,-1,0
475,4.379,-2,0,0
476,4.389,-2,-1,0
477,4.399,-2,-1,0
478,4.409,-2,-1,0
479,4.419,-2,-1,0
480,4.429,-2,-1,0
481,4.439,-2,-1,0
482,4.449,-2,-1,0
483,4.459,-2,-1,0
484,4.469,-2,-1,0
485,4.479,-2,-1,0
486,4.489,-2,-1,0
487,4.499,-2,-1,0
488,4.509,-2,-1,0
489,4.519,-2,-1,0
490,4.529,-2,-1,0
491,4.539,-2,-1,0
492,4.549,-2,-1,0
493,4.559,-2,-1,0
494,4.569,-2,-1,0
495,4.579,-2,-1,0
496,4.589,-2,-1,0
497,4.599,-2,-1,0
498,4.609,-2,-1,0
499,4.619,-2,-1,0
500,4.629,-2,-1,0
501,4.639,-1,-1,0
502,4.649,-2,-1,0
503,4.659,-2,-1,0
504,4.669,-2,-1,0
505,4.679,-2,-1,0
506,4.689,-2,-1,0
507,4.699,-2,-1,0
508,4.709,-2,-1,0
509,4.719,-2,-1,0
510,4.729,-2,-1,0
511,4.739,-2,-1,0
512,4.749,-2,-1,0
513,4.759,-2,-1,0
514,4.769,-2,-1,0
515,4.779,-2,-1,0
516,4.789,-2,-1,0
517,4.799,-2,-1,0
518,4.809,-2,-1,0
519,4.819,-2,-1,0
520,4.829,-2,-1,0
521,4.839,-2,-1,0
522,4.849,-2,-1,0
523,4.859,-2,-1,0
524,4.869,-2,-1,0
525,4.879,-2,-1,0
526,4.889,-2,-1,0
527,4.899,-2,-1,0
528,4.909,-2,-1,0
529,4.919,-2,-1,0
530,4.929,-2,-1,0
531,4.939,-2,-1,0
532,4.949,-2,-1,0
533,4.959,-2,-1,0
534,4.969,-2,-1,0
535,4.979,-2,-1,0
536,4.989,-2,-1,0
537,4.999,-2,-1,0
538,5.009,-2,-1,0
539,5.019,-2,-1,0
540,5.029,-2,-1,0
541,5.039,-2,-1,0
542,5.049,-2,-1,0
543,5.059,-2,-1,0
544,5.069,-2,-1,0
545,5.079,-2,-1,0
546,5.089,-2,-1,0
547,5.099,-2,-1,0
548,5.109,-1,-1,0
549,5.119,-2,-1,0
550,5.129,-2,-1,0
551,5.139,-2,-1,0
552,5.149,-2,-1,0
553,5.159,-2,-1,0
554,5.169,-2,-1,0
555,5.179,-1,-1,0
556,5.189,-2,-1,0
557,5.199,-2,-1,0
558,5.209,-2,-1,0
559,5.219,-2,-1,0
560,5.229,-2,-1,0
561,5.239,-2,-1,0
562,5.249,-2,-1,0
563,5.259,-2,-1,0
564,5.269,-1,-1,0
565,5.279,-2,-1,0
566,5.289,-2,-1,0
567,5.299,-1,-1,0
568,5.309,-2,-1,0
569,5.319,-2,-1,0
570,5.329,-2,-1,0
571,5.339,-1,-1,0
572,5.349,-2,-1,0
573,5.359,-1,-1,0
574,5.369,-2,-1,0
575,5.379,-2,-1,0
576,5.389,-1,-1,0
577,5.399,-2,-1,0
578,5.409,-1,-1,0
579,5.419,-2,-1,0
580,5.429,-1,-1,0
581,5.439,-2,-1,0
582,5.449,-2,-1,0
583,5.459,-1,-1,0
584,5.469,-1,-1,0
585,5.479,-2,-1,0
586,5.489,-2,-1,0
587,5.499,-1,-1,0
588,5.509,-2,-1,0
589,5.519,-1,0,0
590,5.529,-1,-1,0
591,5.539,-1,-1,0
592,5.549,-1,-1,0
593,5.559,-2,-1,0
594,5.569,-1,-1,0
595,5.579,-1,-1,0
596,5.589,-1,-1,0
597,5.599,-1,-1,0
598,5.609,-2,-1,0
599,5.619,-1,-1,0
600,5.629,-2,-1,0
601,5.639,-2,-1,0
602,5.649,-1,-1,0
603,5.659,-2,-1,0
604,5.669,-1,-1,0
605,5.679,-1,-1,0
606,5.689,-2,-1,0
607,5.699,-1,-1,0
608,5.709,-1,-1,0
609,5.719,-1,-1,0
610,5.729,-1,-1,0
611,5.739,-2,-1,0
612,5.749,-1,-1,0
613,5.759,-1,-1,0
614,5.769,-1,-1,0
615,5.779,-1,-1,0
616,5.789,-1,-1,0
617,5.799,-1,-1,0
618,5.809,-1,-1,0
619,5.819,-1,-1,0
620,5.829,-1,-1,0
621,5.839,-1,-1,0
622,5.849,-1,-1,0
623,5.859,-1,-1,0
624,5.869,-1,-1,0
625,5.879,-1,-1,0
626,5.889,-1,-1,0
627,5.899,-2,-1,0
628,5.909,-1,-1,0
629,5.919,-1,-1,0
630,5.929,-1,-1,0
631,5.939,-1,-1,0
632,5.949,-1,-1,0
633,5.959,-1,-1,0
634,5.969,-1,-1,0
635,5.979,-1,-1,0
