,ts,error
0,-0.111,4096
1,-0.101,12288
2,1.169,4096
3,1.249,12288
4,1.279,4096
5,1.389,12288
6,1.399,4096
7,1.859,12288
8,1.909,4096
9,2.099,12288
10,2.169,4096
11,2.359,12288
12,2.549,4096
13,2.719,12288
14,2.759,4096
15,2.929,12288
16,3.579,4096
17,3.699,12288
18,3.719,4096
19,3.999,12288
20,4.649,4096
21,4.739,12288
22,5.119,4096
23,5.839,12288
24,5.909,4096
25,5.999,12288
26,6.009,4096
27,6.099,12288
28,6.129,4096
29,6.249,12288
30,8.989,4096
31,9.079,12288
32,9.249,4096
33,9.429,12288
34,9.449,4096
35,9.539,12288
36,9.609,4096
37,9.869,12288
38,9.879,4096
39,10.049,12288
40,10.109,4096
41,10.529,12288
42,10.579,4096
43,13.439,12288
44,13.469,4096
45,13.629,12288
46,13.669,4096
47,13.749,12288
48,13.759,12352
49,13.759,12480
50,13.759,28864
51,13.789,20672
52,13.789,20608
53,13.789,20480
54,13.789,4096
55,13.889,12288
56,14.229,4096
57,14.539,12288
58,14.789,4096
59,14.879,12288
60,14.979,4096
61,15.089,12288
62,15.129,4096
63,15.219,12288
64,15.429,4096
65,15.539,12288
66,15.629,4096
67,15.709,12288
68,16.069,4096
69,16.579,12288
70,16.929,4096
71,17.219,12288
72,17.329,4096
73,17.469,12288
74,17.509,4096
75,17.609,12288
76,17.729,4096
77,17.899,12288
78,18.799,4096
79,18.939,12288
80,19.129,4096
81,19.219,12288
82,19.249,4096
83,19.339,12288
84,19.969,4096
85,20.059,12288
86,20.309,4096
87,20.429,12288
88,20.439,4096
89,20.579,12288
90,20.739,4096
91,20.899,12288
92,21.339,4096
93,21.719,12288
94,21.959,4096
95,22.089,12288
96,22.189,4096
97,22.379,12288
98,23.029,4096
99,23.239,12288
100,23.269,4096
101,23.409,12288
102,23.429,4096
103,23.659,12288
104,23.899,4096
105,23.979,12288
106,24.129,4096
107,24.209,12288
108,24.379,4096
109,24.549,12288
110,24.969,4096
111,25.409,12288
112,25.939,4096
113,26.179,12288
114,26.199,4096
115,26.579,12288
116,26.799,4096
117,26.929,12288
118,26.969,4096
119,27.059,12288
120,27.379,4096
121,27.469,12288
122,27.489,4096
123,27.609,12288
124,27.649,4096
125,27.739,12288
126,28.009,4096
127,28.349,12288
128,28.359,4096
129,28.459,12288
130,28.859,4096
131,28.939,12288
132,29.109,4096
133,29.259,12288
134,29.339,4096
135,29.449,12288
136,29.479,4096
137,29.739,12288
138,29.889,4096
139,29.979,12288
140,30.019,4096
141,30.639,12288
142,31.859,4096
143,32.019,12288
144,32.049,4096
145,32.139,12288
146,32.159,4096
147,32.349,12288
148,32.539,4096
149,32.799,12288
150,33.459,4096
151,33.629,12288
152,33.639,4096
153,33.729,12288
154,34.439,4096
155,34.839,12288
156,35.029,4096
157,35.189,12288
158,35.199,4096
159,35.279,12288
160,35.329,4096
161,35.419,12288
162,35.439,4096
163,35.569,12288
164,35.849,4096
165,36.079,12288
166,36.109,4096
167,36.439,12288
168,36.889,4096
169,37.039,12288
170,37.159,4096
171,37.509,12288
172,37.719,4096
173,37.799,12288
174,37.819,4096
175,38.059,12288
176,38.459,4096
177,38.549,12288
178,39.019,4096
179,39.139,12288
180,39.269,4096
181,39.349,12288
182,40.019,4096
183,40.099,12288
184,40.239,4096
185,40.769,12288
186,40.829,4096
187,41.169,12288
188,41.479,4096
189,41.559,12288
190,41.699,4096
191,42.009,12288
192,42.269,4096
193,42.469,12288
194,43.059,4096
195,43.479,12288
196,43.539,4096
197,43.629,12288
198,43.649,4096
199,43.739,12288
200,44.019,4096
201,44.109,12288
202,44.239,4096
203,44.329,12288
204,44.389,4096
205,44.479,12288
206,44.499,4096
207,44.589,12288
208,44.629,4096
209,44.759,12288
210,44.839,4096
211,44.939,12288
212,44.999,4096
213,45.339,12288
214,45.619,4096
215,45.829,12288
216,45.879,4096
217,45.969,12288
218,46.669,4096
219,46.859,12288
220,47.629,4096
221,47.809,12288
222,48.029,4096
223,48.129,12288
224,48.449,4096
225,48.639,12288
226,48.699,4096
227,48.839,12288
228,49.109,4096
229,49.379,12288
230,49.549,4096
231,49.709,12288
232,49.809,4096
233,49.909,12288
234,49.949,4096
235,50.049,12288
236,50.879,4096
237,50.969,12288
238,51.049,4096
239,51.139,12288
240,51.309,4096
241,51.519,12288
242,51.899,4096
243,51.989,12288
244,52.129,4096
245,52.239,12288
246,52.409,4096
247,52.519,12288
248,52.669,4096
249,53.009,12288
250,53.229,4096
251,53.499,12288
252,53.579,4096
253,53.919,12288
254,54.839,4096
255,54.929,12288
256,54.989,4096
257,55.119,12288
258,55.269,4096
259,55.369,12288
260,55.669,4096
261,55.819,12288
262,56.539,4096
263,56.709,12288
264,56.989,4096
265,57.129,12288
266,57.279,4096
267,57.369,12288
268,57.849,4096
269,58.039,12288
270,58.059,4096
271,58.139,12288
272,58.249,4096
273,58.359,12288
274,58.509,4096
275,58.589,12288
276,58.689,4096
277,58.839,12288
