,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,-0.37,-0.425,7.15,6.912,0.952
1,-0.36,-0.42,7.152,6.912,0.944
2,-0.35,-0.415,7.153,6.912,0.936
3,-0.34,-0.41,7.154,6.912,0.928
4,-0.33,-0.405,7.155,6.912,0.921
5,-0.32,-0.399,7.156,6.912,0.913
6,-0.31,-0.394,7.157,6.913,0.905
7,-0.3,-0.388,7.158,6.913,0.897
8,-0.29,-0.383,7.159,6.914,0.889
9,-0.28,-0.377,7.159,6.914,0.882
10,-0.27,-0.372,7.16,6.915,0.874
11,-0.26,-0.366,7.16,6.916,0.866
12,-0.25,-0.361,7.16,6.917,0.858
13,-0.24,-0.355,7.161,6.918,0.85
14,-0.23,-0.349,7.161,6.919,0.842
15,-0.22,-0.344,7.161,6.92,0.834
16,-0.21,-0.338,7.162,6.921,0.826
17,-0.2,-0.332,7.162,6.922,0.818
18,-0.19,-0.326,7.162,6.923,0.81
19,-0.18,-0.32,7.162,6.924,0.802
20,-0.17,-0.314,7.163,6.925,0.794
21,-0.16,-0.308,7.163,6.926,0.786
22,-0.15,-0.302,7.163,6.926,0.778
23,-0.14,-0.297,7.164,6.927,0.77
24,-0.13,-0.291,7.164,6.928,0.763
25,-0.12,-0.285,7.165,6.928,0.756
26,-0.11,-0.273,7.165,6.929,0.753
27,-0.1,-0.255,7.165,6.928,0.757
28,-0.09,-0.232,7.167,6.927,0.765
29,-0.08,-0.199,7.169,6.923,0.784
30,-0.07,-0.806,7.039,6.827,1.754
31,-0.06,-1.275,6.89,6.723,2.425
32,-0.05,-1.235,6.888,6.708,2.454
33,-0.04,-1.194,6.892,6.697,2.492
34,-0.03,-1.146,6.895,6.684,2.539
35,-0.02,-1.093,6.897,6.67,2.593
36,-0.01,-1.043,6.9,6.654,2.645
37,0.0,-0.998,6.906,6.637,2.693
38,0.01,-0.967,6.914,6.618,2.728
39,0.02,-1.048,6.883,6.586,2.848
40,0.03,-1.044,6.898,6.57,2.854
41,0.04,-1.048,6.911,6.557,2.852
42,0.05,-1.056,6.922,6.547,2.844
43,0.06,-1.065,6.931,6.541,2.833
44,0.07,-1.077,6.939,6.536,2.818
45,0.08,-1.09,6.946,6.535,2.801
46,0.09,-1.104,6.951,6.536,2.781
47,0.1,-1.119,6.954,6.54,2.759
48,0.11,-1.135,6.955,6.546,2.734
49,0.12,-1.152,6.955,6.554,2.708
50,0.13,-1.17,6.954,6.564,2.679
51,0.14,-1.189,6.952,6.575,2.648
52,0.15,-1.208,6.949,6.588,2.615
53,0.16,-1.228,6.945,6.602,2.58
54,0.17,-0.922,7.043,6.628,2.349
55,0.18,-0.296,7.207,6.634,1.931
56,0.19,0.454,7.355,6.582,1.447
