,ts,acc_x,acc_y,acc_z
0,237370,1,-1,0
1,237380,1,-1,0
2,237390,1,-1,0
3,237400,1,0,0
4,237410,1,0,0
5,237420,1,-1,0
6,237430,1,-1,0
7,237440,1,0,0
8,237450,1,-1,0
9,237460,1,0,0
10,237470,1,-1,0
11,237480,1,-1,0
12,237490,1,-1,0
13,237500,1,0,0
14,237510,1,0,0
15,237520,1,-1,0
16,237530,1,-1,0
17,237540,1,-1,0
18,237550,1,-1,0
19,237560,1,-1,0
20,237570,1,-1,0
21,237580,1,-1,0
22,237590,1,-1,0
23,237600,1,-1,0
24,237610,1,-1,0
25,237620,2,-1,0
26,237630,20,0,0
27,237640,27,-1,0
28,237650,26,-1,0
29,237660,24,0,0
30,237670,22,0,0
31,237680,22,0,0
32,237690,22,-1,0
33,237700,22,0,0
34,237710,22,-1,0
35,237720,21,0,0
36,237730,21,0,0
37,237740,21,-1,0
38,237750,20,0,0
39,237760,20,-1,0
40,237770,20,0,0
41,237780,20,0,0
42,237790,20,-1,0
43,237800,20,0,0
44,237810,20,-1,0
45,237820,20,-1,0
46,237830,19,0,0
47,237840,19,0,0
48,237850,20,0,0
49,237860,19,0,0
50,237870,19,-1,0
51,237880,20,0,0
52,237890,20,-1,0
53,237900,19,0,0
54,237910,19,-1,0
55,237920,20,0,0
56,237930,19,0,0
57,237940,19,0,0
58,237950,18,-1,0
59,237960,18,-1,0
60,237970,19,-1,0
61,237980,19,-1,0
62,237990,19,-1,0
63,238000,19,-1,0
64,238010,19,-1,0
65,238020,18,-1,0
66,238030,19,-1,0
67,238040,18,-1,0
68,238050,18,-1,0
69,238060,18,-1,0
70,238070,19,-1,0
71,238080,18,-1,0
72,238090,18,-1,0
73,238100,18,-1,0
74,238110,18,-1,0
75,238120,18,-1,0
76,238130,19,-1,0
77,238140,18,-1,0
78,238150,18,-1,0
79,238160,18,-2,0
80,238170,18,-2,0
81,238180,18,-1,0
82,238190,18,-1,0
83,238200,18,-1,0
84,238210,18,-1,0
85,238220,19,-1,0
86,238230,18,-1,0
87,238240,18,-1,0
88,238250,18,-1,0
89,238260,18,-1,0
90,238270,18,-1,0
91,238280,18,-1,0
