,ts,id,T,P
0,237370,BARO0,2478,93660
1,237370,BARO1,2492,93625
2,237370,BARO2,2561,93659
3,237380,BARO0,2478,93655
4,237380,BARO1,2491,93628
5,237380,BARO2,2561,93659
6,237390,BARO0,2478,93654
7,237390,BARO1,2491,93623
8,237390,BARO2,2561,93656
9,237400,BARO0,2478,93653
10,237400,BARO1,2491,93629
11,237400,BARO2,2561,93648
12,237410,BARO0,2478,93657
13,237410,BARO1,2491,93628
14,237410,BARO2,2561,93659
15,237420,BARO0,2478,93655
16,237420,BARO1,2491,93632
17,237420,BARO2,2561,93664
18,237430,BARO0,2478,93669
19,237430,BARO1,2492,93633
20,237430,BARO2,2561,93658
21,237440,BARO0,2477,93649
22,237440,BARO1,2491,93627
23,237440,BARO2,2561,93656
24,237450,BARO0,2478,93650
25,237450,BARO1,2491,93633
26,237450,BARO2,2561,93648
27,237460,BARO0,2478,93659
28,237460,BARO1,2491,93627
29,237460,BARO2,2561,93657
30,237470,BARO0,2478,93644
31,237470,BARO1,2492,93634
32,237470,BARO2,2561,93664
33,237480,BARO0,2478,93655
34,237480,BARO1,2491,93625
35,237480,BARO2,2561,93657
36,237490,BARO0,2477,93657
37,237490,BARO1,2491,93625
38,237490,BARO2,2561,93655
39,237500,BARO0,2478,93658
40,237500,BARO1,2491,93637
41,237500,BARO2,2561,93657
42,237510,BARO0,2478,93654
43,237510,BARO1,2491,93626
44,237510,BARO2,2561,93654
45,237520,BARO0,2477,93654
46,237520,BARO1,2492,93635
47,237520,BARO2,2561,93658
48,237530,BARO0,2478,93660
49,237530,BARO1,2491,93629
50,237530,BARO2,2561,93659
51,237540,BARO0,2478,93653
52,237540,BARO1,2492,93632
53,237540,BARO2,2561,93662
54,237550,BARO0,2478,93660
55,237550,BARO1,2492,93631
56,237550,BARO2,2561,93650
57,237560,BARO0,2478,93654
58,237560,BARO1,2491,93634
59,237560,BARO2,2561,93663
60,237570,BARO0,2478,93655
61,237570,BARO1,2492,93633
62,237570,BARO2,2561,93656
63,237580,BARO0,2478,93658
64,237580,BARO1,2491,93620
65,237580,BARO2,2561,93654
66,237590,BARO0,2478,93652
67,237590,BARO1,2491,93622
68,237590,BARO2,2561,93661
69,237600,BARO0,2478,93657
70,237600,BARO1,2492,93629
71,237600,BARO2,2561,93656
72,237610,BARO0,2478,93647
73,237610,BARO1,2492,93632
74,237610,BARO2,2561,93661
75,237620,BARO0,2478,93664
76,237620,BARO1,2491,93637
77,237620,BARO2,2561,93670
78,237630,BARO0,2478,93738
79,237630,BARO1,2491,93713
80,237630,BARO2,2561,93743
81,237640,BARO0,2478,93686
82,237640,BARO1,2491,93655
83,237640,BARO2,2561,93685
84,237650,BARO0,2478,93612
85,237650,BARO1,2492,93584
86,237650,BARO2,2561,93619
87,237660,BARO0,2478,93585
88,237660,BARO1,2492,93563
89,237660,BARO2,2561,93590
90,237670,BARO0,2478,93579
91,237670,BARO1,2492,93553
92,237670,BARO2,2561,93576
93,237680,BARO0,2478,93613
94,237680,BARO1,2491,93581
95,237680,BARO2,2561,93608
96,237690,BARO0,2478,93620
97,237690,BARO1,2492,93594
98,237690,BARO2,2561,93622
99,237700,BARO0,2478,93624
100,237700,BARO1,2492,93602
101,237700,BARO2,2561,93626
102,237710,BARO0,2478,93620
103,237710,BARO1,2492,93588
104,237710,BARO2,2561,93617
105,237720,BARO0,2478,93611
106,237720,BARO1,2492,93586
107,237720,BARO2,2561,93614
108,237730,BARO0,2478,93606
109,237730,BARO1,2492,93582
110,237730,BARO2,2561,93613
111,237740,BARO0,2478,93605
112,237740,BARO1,2492,93580
113,237740,BARO2,2561,93608
114,237750,BARO0,2478,93597
115,237750,BARO1,2492,93573
116,237750,BARO2,2561,93596
117,237760,BARO0,2478,93589
118,237760,BARO1,2491,93556
119,237760,BARO2,2561,93593
120,237770,BARO0,2478,93591
121,237770,BARO1,2492,93559
122,237770,BARO2,2561,93590
123,237780,BARO0,2478,93567
124,237780,BARO1,2492,93541
125,237780,BARO2,2561,93571
126,237790,BARO0,2478,93558
127,237790,BARO1,2492,93534
128,237790,BARO2,2561,93564
129,237800,BARO0,2478,93551
130,237800,BARO1,2492,93528
131,237800,BARO2,2561,93559
132,237810,BARO0,2478,93545
133,237810,BARO1,2492,93526
134,237810,BARO2,2561,93546
135,237820,BARO0,2478,93534
136,237820,BARO1,2492,93511
137,237820,BARO2,2561,93535
138,237830,BARO0,2478,93527
139,237830,BARO1,2492,93504
140,237830,BARO2,2561,93539
141,237840,BARO0,2478,93524
142,237840,BARO1,2492,93494
143,237840,BARO2,2561,93523
144,237850,BARO0,2478,93511
145,237850,BARO1,2492,93482
146,237850,BARO2,2561,93514
147,237860,BARO0,2478,93501
148,237860,BARO1,2492,93482
149,237860,BARO2,2561,93501
150,237870,BARO0,2478,93506
151,237870,BARO1,2491,93469
152,237870,BARO2,2561,93502
153,237880,BARO0,2477,93481
154,237880,BARO1,2492,93460
155,237880,BARO2,2560,93486
156,237890,BARO0,2478,93476
157,237890,BARO1,2492,93441
158,237890,BARO2,2561,93477
159,237900,BARO0,2478,93465
160,237900,BARO1,2492,93435
161,237900,BARO2,2561,93465
162,237910,BARO0,2478,93448
163,237910,BARO1,2492,93422
164,237910,BARO2,2561,93456
165,237920,BARO0,2478,93439
166,237920,BARO1,2492,93416
167,237920,BARO2,2561,93438
168,237930,BARO0,2477,93424
169,237930,BARO1,2492,93392
170,237930,BARO2,2561,93431
171,237940,BARO0,2478,93416
172,237940,BARO1,2491,93387
173,237940,BARO2,2561,93416
174,237950,BARO0,2478,93403
175,237950,BARO1,2492,93370
176,237950,BARO2,2561,93404
177,237960,BARO0,2478,93392
178,237960,BARO1,2492,93374
179,237960,BARO2,2561,93404
180,237970,BARO0,2478,93376
181,237970,BARO1,2492,93360
182,237970,BARO2,2561,93386
183,237980,BARO0,2478,93373
184,237980,BARO1,2492,93339
185,237980,BARO2,2561,93377
186,237990,BARO0,2478,93357
187,237990,BARO1,2492,93330
188,237990,BARO2,2561,93355
189,238000,BARO0,2478,93342
190,238000,BARO1,2492,93309
191,238000,BARO2,2561,93340
192,238010,BARO0,2478,93320
193,238010,BARO1,2492,93289
194,238010,BARO2,2561,93329
195,238020,BARO0,2478,93309
196,238020,BARO1,2492,93283
197,238020,BARO2,2561,93307
198,238030,BARO0,2478,93293
199,238030,BARO1,2492,93258
200,238030,BARO2,2561,93294
201,238040,BARO0,2478,93282
202,238040,BARO1,2492,93255
203,238040,BARO2,2561,93273
204,238050,BARO0,2478,93257
205,238050,BARO1,2492,93228
206,238050,BARO2,2561,93259
207,238060,BARO0,2479,93234
208,238060,BARO1,2491,93209
209,238060,BARO2,2561,93238
210,238070,BARO0,2478,93229
211,238070,BARO1,2492,93202
212,238070,BARO2,2561,93226
213,238080,BARO0,2478,93208
214,238080,BARO1,2492,93185
215,238080,BARO2,2561,93205
216,238090,BARO0,2478,93181
217,238090,BARO1,2492,93160
218,238090,BARO2,2561,93192
219,238100,BARO0,2478,93173
220,238100,BARO1,2492,93151
221,238100,BARO2,2561,93174
222,238110,BARO0,2478,93161
223,238110,BARO1,2492,93125
224,238110,BARO2,2561,93156
225,238120,BARO0,2478,93138
226,238120,BARO1,2492,93108
227,238120,BARO2,2561,93144
228,238130,BARO0,2478,93117
229,238130,BARO1,2492,93093
230,238130,BARO2,2561,93128
231,238140,BARO0,2478,93104
232,238140,BARO1,2492,93085
233,238140,BARO2,2561,93109
234,238150,BARO0,2478,93094
235,238150,BARO1,2492,93057
236,238150,BARO2,2561,93091
237,238160,BARO0,2478,93062
238,238160,BARO1,2492,93044
239,238160,BARO2,2561,93068
240,238170,BARO0,2478,93062
241,238170,BARO1,2492,93023
242,238170,BARO2,2561,93049
243,238180,BARO0,2478,93033
244,238180,BARO1,2492,93001
245,238180,BARO2,2561,93034
246,238190,BARO0,2478,93016
247,238190,BARO1,2492,92986
248,238190,BARO2,2561,93026
249,238200,BARO0,2478,92994
250,238200,BARO1,2492,92959
251,238200,BARO2,2561,92992
252,238210,BARO0,2478,92976
253,238210,BARO1,2492,92949
254,238210,BARO2,2561,92979
255,238220,BARO0,2478,92969
256,238220,BARO1,2492,92933
257,238220,BARO2,2561,92966
258,238230,BARO0,2477,92937
259,238230,BARO1,2492,92907
260,238230,BARO2,2561,92939
261,238240,BARO0,2478,92917
262,238240,BARO1,2492,92885
263,238240,BARO2,2561,92917
264,238250,BARO0,2478,92891
265,238250,BARO1,2492,92860
266,238250,BARO2,2561,92897
267,238260,BARO0,2478,92870
268,238260,BARO1,2492,92853
269,238260,BARO2,2561,92867
270,238270,BARO0,2478,92855
271,238270,BARO1,2492,92830
272,238270,BARO2,2561,92864
273,238280,BARO0,2478,92834
274,238280,BARO1,2492,92812
275,238280,BARO2,2561,92834
276,238290,BARO0,2478,92814
277,238290,BARO1,2492,92785
278,238290,BARO2,2561,92812
279,238300,BARO0,2478,92790
280,238300,BARO1,2492,92764
281,238300,BARO2,2561,92793
282,238310,BARO0,2478,92769
283,238310,BARO1,2491,92745
284,238310,BARO2,2561,92771
285,238320,BARO0,2478,92741
286,238320,BARO1,2492,92725
287,238320,BARO2,2561,92741
288,238330,BARO0,2478,92729
289,238330,BARO1,2492,92701
290,238330,BARO2,2561,92733
291,238340,BARO0,2478,92700
292,238340,BARO1,2492,92682
293,238340,BARO2,2561,92699
294,238350,BARO0,2478,92667
295,238350,BARO1,2492,92630
296,238350,BARO2,2561,92669
297,238360,BARO0,2478,92646
298,238360,BARO1,2492,92614
299,238360,BARO2,2561,92639
300,238370,BARO0,2478,92604
301,238370,BARO1,2492,92580
302,238370,BARO2,2561,92609
303,238380,BARO0,2478,92591
304,238380,BARO1,2492,92566
305,238380,BARO2,2561,92594
306,238390,BARO0,2478,92561
307,238390,BARO1,2492,92541
308,238390,BARO2,2561,92570
309,238400,BARO0,2478,92552
310,238400,BARO1,2492,92527
311,238400,BARO2,2561,92542
312,238410,BARO0,2478,92510
313,238410,BARO1,2492,92482
314,238410,BARO2,2561,92523
315,238420,BARO0,2478,92481
316,238420,BARO1,2491,92454
317,238420,BARO2,2561,92484
318,238430,BARO0,2478,92462
319,238430,BARO1,2492,92433
320,238430,BARO2,2561,92457
321,238440,BARO0,2478,92434
322,238440,BARO1,2492,92405
323,238440,BARO2,2561,92437
324,238450,BARO0,2478,92406
325,238450,BARO1,2492,92378
326,238450,BARO2,2561,92405
327,238460,BARO0,2478,92383
328,238460,BARO1,2492,92360
329,238460,BARO2,2561,92385
330,238470,BARO0,2478,92353
331,238470,BARO1,2491,92340
332,238470,BARO2,2561,92361
333,238480,BARO0,2479,92327
334,238480,BARO1,2492,92304
335,238480,BARO2,2561,92330
336,238490,BARO0,2478,92302
337,238490,BARO1,2492,92273
338,238490,BARO2,2561,92307
339,238500,BARO0,2478,92267
340,238500,BARO1,2491,92241
341,238500,BARO2,2561,92274
342,238510,BARO0,2478,92250
343,238510,BARO1,2492,92229
344,238510,BARO2,2561,92254
345,238520,BARO0,2478,92229
346,238520,BARO1,2492,92203
347,238520,BARO2,2561,92239
348,238530,BARO0,2478,92218
349,238530,BARO1,2492,92182
350,238530,BARO2,2561,92202
351,238540,BARO0,2478,92177
352,238540,BARO1,2492,92142
353,238540,BARO2,2561,92175
354,238550,BARO0,2478,92153
355,238550,BARO1,2492,92119
356,238550,BARO2,2561,92143
357,238560,BARO0,2478,92115
358,238560,BARO1,2491,92083
359,238560,BARO2,2561,92119
360,238570,BARO0,2478,92085
361,238570,BARO1,2492,92046
362,238570,BARO2,2561,92079
363,238580,BARO0,2478,92039
364,238580,BARO1,2491,92006
365,238580,BARO2,2561,92052
366,238590,BARO0,2478,92015
367,238590,BARO1,2491,91991
368,238590,BARO2,2561,92012
369,238600,BARO0,2478,91970
370,238600,BARO1,2492,91958
371,238600,BARO2,2561,91987
372,238610,BARO0,2478,91944
373,238610,BARO1,2491,91920
374,238610,BARO2,2561,91945
375,238620,BARO0,2478,91924
376,238620,BARO1,2492,91884
377,238620,BARO2,2561,91920
378,238630,BARO0,2478,91866
379,238630,BARO1,2491,91851
380,238630,BARO2,2561,91877
381,238640,BARO0,2478,91854
382,238640,BARO1,2491,91815
383,238640,BARO2,2561,91839
384,238650,BARO0,2478,91809
385,238650,BARO1,2491,91793
386,238650,BARO2,2561,91816
387,238660,BARO0,2477,91780
388,238660,BARO1,2492,91758
389,238660,BARO2,2561,91784
390,238670,BARO0,2478,91755
391,238670,BARO1,2491,91724
392,238670,BARO2,2561,91756
393,238680,BARO0,2479,91717
394,238680,BARO1,2492,91693
395,238680,BARO2,2561,91725
396,238690,BARO0,2478,91685
397,238690,BARO1,2492,91659
398,238690,BARO2,2561,91684
399,238700,BARO0,2478,91646
400,238700,BARO1,2492,91620
401,238700,BARO2,2561,91649
402,238710,BARO0,2478,91614
403,238710,BARO1,2491,91583
404,238710,BARO2,2560,91607
405,238720,BARO0,2478,91586
406,238720,BARO1,2492,91556
407,238720,BARO2,2561,91582
408,238730,BARO0,2478,91550
409,238730,BARO1,2492,91528
410,238730,BARO2,2561,91556
411,238740,BARO0,2479,91519
412,238740,BARO1,2492,91485
413,238740,BARO2,2561,91517
414,238750,BARO0,2478,91476
415,238750,BARO1,2491,91455
416,238750,BARO2,2561,91472
417,238760,BARO0,2478,91443
418,238760,BARO1,2491,91411
419,238760,BARO2,2561,91442
420,238770,BARO0,2478,91415
421,238770,BARO1,2491,91388
422,238770,BARO2,2561,91415
423,238780,BARO0,2478,91382
424,238780,BARO1,2491,91354
425,238780,BARO2,2561,91380
426,238790,BARO0,2478,91351
427,238790,BARO1,2492,91332
428,238790,BARO2,2561,91353
429,238800,BARO0,2479,91328
430,238800,BARO1,2492,91292
431,238800,BARO2,2561,91316
432,238810,BARO0,2478,91292
433,238810,BARO1,2492,91266
434,238810,BARO2,2561,91295
435,238820,BARO0,2478,91253
436,238820,BARO1,2491,91232
437,238820,BARO2,2561,91268
438,238830,BARO0,2478,91237
439,238830,BARO1,2492,91205
440,238830,BARO2,2560,91222
441,238840,BARO0,2477,91196
442,238840,BARO1,2491,91167
443,238840,BARO2,2561,91192
444,238850,BARO0,2479,91166
445,238850,BARO1,2491,91128
446,238850,BARO2,2561,91164
447,238860,BARO0,2478,91129
448,238860,BARO1,2491,91095
449,238860,BARO2,2561,91130
450,238870,BARO0,2479,91095
451,238870,BARO1,2491,91066
452,238870,BARO2,2561,91097
453,238880,BARO0,2478,91067
454,238880,BARO1,2491,91043
455,238880,BARO2,2561,91069
456,238890,BARO0,2478,91034
457,238890,BARO1,2491,91000
458,238890,BARO2,2561,91039
459,238900,BARO0,2478,91003
460,238900,BARO1,2491,90975
461,238900,BARO2,2561,91000
462,238910,BARO0,2478,90977
463,238910,BARO1,2491,90941
464,238910,BARO2,2561,90961
465,238920,BARO0,2479,90928
466,238920,BARO1,2491,90912
467,238920,BARO2,2560,90945
468,238930,BARO0,2478,90899
469,238930,BARO1,2491,90883
470,238930,BARO2,2561,90910
471,238940,BARO0,2478,90875
472,238940,BARO1,2491,90845
473,238940,BARO2,2561,90879
474,238950,BARO0,2478,90837
475,238950,BARO1,2491,90807
476,238950,BARO2,2561,90832
477,238960,BARO0,2478,90812
