,ts,error
0,237630,4096
1,237640,12288
2,238910,4096
3,238990,12288
4,239020,4096
5,239130,12288
6,239140,4096
7,239600,12288
8,239650,4096
9,239840,12288
10,239910,4096
11,240100,12288
12,240290,4096
13,240460,12288
14,240500,4096
15,240670,12288
16,241320,4096
17,241440,12288
18,241460,4096
19,241740,12288
20,242390,4096
21,242480,12288
22,242860,4096
23,243580,12288
24,243650,4096
25,243740,12288
26,243750,4096
27,243840,12288
28,243870,4096
29,243990,12288
30,246730,4096
31,246820,12288
32,246990,4096
33,247170,12288
34,247190,4096
35,247280,12288
36,247350,4096
37,247610,12288
38,247620,4096
39,247790,12288
40,247850,4096
41,248270,12288
42,248320,4096
43,251180,12288
44,251210,4096
45,251370,12288
46,251410,4096
47,251490,12288
48,251500,12352
49,251500,12480
50,251500,28864
51,251530,20672
52,251530,20608
53,251530,20480
54,251530,4096
55,251630,12288
56,251970,4096
57,252280,12288
58,252530,4096
59,252620,12288
60,252720,4096
61,252830,12288
62,252870,4096
63,252960,12288
64,253170,4096
65,253280,12288
66,253370,4096
67,253450,12288
68,253810,4096
69,254320,12288
70,254670,4096
71,254960,12288
72,255070,4096
73,255210,12288
74,255250,4096
75,255350,12288
76,255470,4096
77,255640,12288
78,256540,4096
79,256680,12288
80,256870,4096
81,256960,12288
82,256990,4096
83,257080,12288
84,257710,4096
85,257800,12288
86,258050,4096
87,258170,12288
88,258180,4096
89,258320,12288
90,258480,4096
91,258640,12288
92,259080,4096
93,259460,12288
94,259700,4096
95,259830,12288
96,259930,4096
97,260120,12288
98,260770,4096
99,260980,12288
100,261010,4096
101,261150,12288
102,261170,4096
103,261400,12288
104,261640,4096
105,261720,12288
106,261870,4096
107,261950,12288
108,262120,4096
109,262290,12288
110,262710,4096
111,263150,12288
112,263680,4096
113,263920,12288
114,263940,4096
115,264320,12288
116,264540,4096
117,264670,12288
118,264710,4096
119,264800,12288
120,265120,4096
121,265210,12288
122,265230,4096
123,265350,12288
124,265390,4096
125,265480,12288
126,265750,4096
127,266090,12288
128,266100,4096
129,266200,12288
130,266600,4096
131,266680,12288
132,266850,4096
133,267000,12288
134,267080,4096
135,267190,12288
136,267220,4096
137,267480,12288
138,267630,4096
139,267720,12288
140,267760,4096
141,268380,12288
142,269600,4096
143,269760,12288
144,269790,4096
145,269880,12288
146,269900,4096
147,270090,12288
148,270280,4096
149,270540,12288
150,271200,4096
151,271370,12288
152,271380,4096
153,271470,12288
154,272180,4096
155,272580,12288
156,272770,4096
157,272930,12288
158,272940,4096
159,273020,12288
160,273070,4096
161,273160,12288
162,273180,4096
163,273310,12288
164,273590,4096
165,273820,12288
166,273850,4096
167,274180,12288
168,274630,4096
169,274780,12288
170,274900,4096
171,275250,12288
172,275460,4096
173,275540,12288
174,275560,4096
175,275800,12288
176,276200,4096
177,276290,12288
178,276760,4096
179,276880,12288
180,277010,4096
181,277090,12288
182,277760,4096
183,277840,12288
184,277980,4096
185,278510,12288
186,278570,4096
187,278910,12288
188,279220,4096
189,279300,12288
190,279440,4096
191,279750,12288
192,280010,4096
193,280210,12288
194,280800,4096
195,281220,12288
196,281280,4096
197,281370,12288
198,281390,4096
199,281480,12288
200,281760,4096
201,281850,12288
202,281980,4096
203,282070,12288
204,282130,4096
205,282220,12288
206,282240,4096
207,282330,12288
208,282370,4096
209,282500,12288
210,282580,4096
211,282680,12288
212,282740,4096
213,283080,12288
214,283360,4096
215,283570,12288
216,283620,4096
217,283710,12288
218,284410,4096
219,284600,12288
220,285370,4096
221,285550,12288
222,285770,4096
223,285870,12288
224,286190,4096
225,286380,12288
226,286440,4096
227,286580,12288
228,286850,4096
229,287120,12288
230,287290,4096
231,287450,12288
232,287550,4096
233,287650,12288
234,287690,4096
235,287790,12288
236,288620,4096
237,288710,12288
238,288790,4096
239,288880,12288
240,289050,4096
241,289260,12288
242,289640,4096
243,289730,12288
244,289870,4096
245,289980,12288
246,290150,4096
247,290260,12288
248,290410,4096
249,290750,12288
250,290970,4096
251,291240,12288
252,291320,4096
253,291660,12288
254,292580,4096
255,292670,12288
256,292730,4096
257,292860,12288
258,293010,4096
259,293110,12288
260,293410,4096
261,293560,12288
262,294280,4096
263,294450,12288
264,294730,4096
265,294870,12288
266,295020,4096
267,295110,12288
268,295590,4096
269,295780,12288
270,295800,4096
271,295880,12288
272,295990,4096
273,296100,12288
274,296250,4096
275,296330,12288
276,296430,4096
277,296580,12288
278,296860,4096
279,297000,12288
280,297120,4096
281,297300,12288
282,298010,4096
283,298140,12288
284,298620,4096
285,298790,12288
286,298810,4096
287,298900,12288
288,299010,4096
289,299280,12288
290,299570,4096
291,299690,12288
292,299940,4096
293,300160,12288
294,300210,4096
295,300630,12288
296,301420,4096
297,301930,12288
298,302750,4096
299,303030,12288
300,303060,4096
301,303150,12288
302,303330,4096
303,303560,12288
304,304330,4096
305,304410,12288
306,304530,4096
307,304660,12288
308,305280,4096
309,305620,12288
310,305680,4096
311,305810,12288
312,305820,4096
313,305920,12288
314,306010,4096
315,306170,12288
316,306440,4096
317,306530,12288
318,306550,4096
319,306710,12288
320,306730,4096
321,306860,12288
322,306880,4096
323,307030,12288
324,307060,4096
325,307170,12288
326,307260,4096
327,307340,12288
328,308260,4096
329,308350,12288
330,309380,4096
331,309460,12288
332,309950,4096
333,310050,12288
334,310120,4096
335,310290,12288
336,310630,4096
337,310890,12288
338,311090,4096
339,311280,12288
340,311330,4096
341,311410,12288
342,311570,4096
343,311860,12288
344,312630,4096
345,312800,12288
346,312810,4096
347,312970,12288
348,313040,4096
349,313170,12288
350,313180,4096
351,313450,12288
352,313560,4096
353,313780,12288
354,314170,4096
355,314280,12288
356,314420,4096
357,314540,12288
358,314630,4096
359,314810,12288
360,314870,4096
361,315130,12288
362,315250,4096
363,315400,12288
364,315510,4096
365,315710,12288
366,316150,4096
367,316240,12288
368,316380,4096
369,316470,12288
370,316510,4096
371,316790,12288
372,316810,4096
373,317080,12288
374,317170,4096
375,317540,12288
376,317770,4096
377,317890,12288
378,317900,4096
379,318100,12288
380,318110,4096
381,318290,12288
382,318330,4096
383,318470,12288
384,319380,4096
385,319540,12288
386,319620,4096
387,319730,12288
388,319800,4096
389,319990,12288
390,320010,4096
391,320130,12288
392,320250,4096
393,320340,12288
394,320410,4096
395,320550,12288
396,320560,4096
397,320850,12288
398,320930,4096
399,321030,12288
400,321100,4096
401,321200,12288
402,321320,4096
403,321600,12288
404,321710,4096
405,321890,12288
406,322070,4096
407,322350,12288
408,322540,4096
409,322630,12288
410,322690,4096
411,322780,12288
412,323020,4096
413,323110,12288
414,323740,4096
415,323840,12288
416,324000,4096
417,324090,12288
418,324610,4096
419,324700,12288
420,324900,4096
421,324990,12288
422,325570,4096
423,325700,12288
424,325890,4096
425,326090,12288
426,326100,4096
427,326200,12288
428,326260,4096
429,326360,12288
430,326520,4096
431,326610,12288
432,327000,4096
433,327210,12288
434,327280,4096
435,327380,12288
436,327400,4096
437,327490,12288
438,327650,4096
439,327750,12288
440,327810,4096
441,327900,12288
442,328020,4096
443,328100,12288
444,328640,4096
445,329290,12288
446,329310,4096
447,329390,12288
448,329430,4096
449,329540,12288
450,329550,4096
451,329640,12288
452,329780,4096
453,329860,12288
454,329880,4096
455,330000,12288
456,330030,4096
457,330280,12288
458,330810,4096
459,331110,12288
460,331150,4096
461,331290,12288
462,331330,4096
463,331550,12288
464,331610,4096
465,332050,12288
466,332140,4096
467,332380,12288
468,332450,4096
469,332530,12288
470,332570,4096
471,332690,12288
472,332910,4096
473,333000,12288
474,333290,4096
475,333550,12288
476,333650,4096
477,333740,12288
478,333940,4096
479,334030,12288
480,334390,4096
481,334480,12288
482,334650,4096
483,334760,12288
484,335930,4096
485,336460,12288
486,336740,4096
487,336940,12288
488,337050,4096
489,337250,12288
490,337300,4096
491,337430,12288
492,337440,4096
493,337520,12288
494,337720,4096
495,337880,12288
496,338140,4096
497,338170,12288
498,338180,4096
499,338290,12288
500,338310,4096
501,338590,12288
502,338610,4096
503,339010,12288
504,339440,4096
505,340020,4160
506,340020,4288
507,340040,4224
508,340040,4096
509,340620,12288
510,340630,4096
511,340960,12288
512,341050,4096
513,341340,12288
514,341370,4096
515,341650,12288
516,341720,4096
517,343080,12288
518,343130,4096
519,343220,12288
520,343290,4096
521,343490,12288
522,343750,4096
523,344610,12288
524,344630,4096
525,345290,12288
526,345410,4096
527,346140,12288
528,346320,4096
529,346610,12288
530,346640,4096
531,346730,12288
532,347170,4096
533,347260,12288
534,347300,4096
535,347490,12288
536,347570,4096
537,348180,12288
538,348440,4096
539,348700,12288
540,348750,4096
541,348920,12288
542,348930,4096
543,349280,12288
544,349380,4096
545,349500,12288
546,349570,4096
547,350200,12288
548,350320,4096
549,350850,12288
550,351110,4096
551,351360,12288
552,351540,4096
553,351680,12288
554,351690,4096
555,351780,12288
556,351860,4096
557,352510,12288
558,352630,4096
559,353040,12288
560,353130,4096
561,353260,12288
562,353340,4096
563,353790,12288
564,353950,4096
565,355040,12288
566,355060,4096
567,355340,12288
568,355350,4096
569,355540,12288
570,355570,4096
571,355740,12288
572,355980,4096
573,356160,12288
574,356200,4096
575,356290,12288
576,356330,4096
577,356420,12288
578,356450,4096
579,357010,12288
580,357260,4096
581,357350,12288
582,357430,4096
583,357520,12288
584,357530,4096
585,357700,12288
586,357790,4096
587,357940,12288
588,358120,4096
589,358250,12288
590,358270,4096
591,358420,12288
592,358790,4096
593,359240,12288
594,359360,4096
595,359660,12288
596,359920,4096
597,360060,4160
598,360060,4288
599,360100,4224
600,360100,4096
601,360350,4160
602,360350,4288
603,360400,4224
604,360400,4096
605,360700,12288
606,360810,4096
607,360980,12288
608,360990,4096
609,361420,12288
