,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
0,237371,-425,7150,6912,952
1,237381,-420,7152,6912,944
2,237391,-415,7153,6912,936
3,237401,-410,7154,6912,928
4,237411,-405,7155,6912,921
5,237421,-399,7156,6912,913
6,237431,-394,7157,6913,905
7,237441,-388,7158,6913,897
8,237451,-383,7159,6914,889
9,237461,-377,7159,6914,882
10,237471,-372,7160,6915,874
11,237481,-366,7160,6916,866
12,237491,-361,7160,6917,858
13,237501,-355,7161,6918,850
14,237511,-349,7161,6919,842
15,237521,-344,7161,6920,834
16,237531,-338,7162,6921,826
17,237541,-332,7162,6922,818
18,237551,-326,7162,6923,810
19,237561,-320,7162,6924,802
20,237571,-314,7163,6925,794
21,237581,-308,7163,6926,786
22,237591,-302,7163,6926,778
23,237601,-297,7164,6927,770
24,237611,-291,7164,6928,763
25,237621,-285,7165,6928,756
26,237631,-273,7165,6929,753
27,237641,-255,7165,6928,757
28,237651,-232,7167,6927,765
29,237661,-199,7169,6923,784
30,237671,-806,7039,6827,1754
31,237681,-1275,6890,6723,2425
32,237691,-1235,6888,6708,2454
33,237701,-1194,6892,6697,2492
34,237711,-1146,6895,6684,2539
35,237721,-1093,6897,6670,2593
36,237731,-1043,6900,6654,2645
37,237741,-998,6906,6637,2693
38,237751,-967,6914,6618,2728
39,237761,-1048,6883,6586,2848
40,237771,-1044,6898,6570,2854
41,237781,-1048,6911,6557,2852
42,237791,-1056,6922,6547,2844
43,237801,-1065,6931,6541,2833
44,237811,-1077,6939,6536,2818
45,237821,-1090,6946,6535,2801
46,237831,-1104,6951,6536,2781
47,237841,-1119,6954,6540,2759
48,237851,-1135,6955,6546,2734
49,237861,-1152,6955,6554,2708
50,237871,-1170,6954,6564,2679
51,237881,-1189,6952,6575,2648
52,237891,-1208,6949,6588,2615
53,237901,-1228,6945,6602,2580
54,237911,-922,7043,6628,2349
55,237921,-296,7207,6634,1931
56,237931,454,7355,6582,1447
57,237941,1251,7460,6451,933
58,237951,1914,7518,6274,505
59,237961,2459,7558,6065,171
60,237971,2928,7586,5818,-83
61,237981,3333,7622,5542,-249
62,237991,3674,7672,5245,-334
63,238001,3967,7738,4924,-357
64,238011,4230,7818,4568,-335
65,238021,4451,7909,4189,-265
66,238031,4560,8017,3859,-155
67,238041,4613,8118,3577,-40
68,238051,4610,8210,3364,63
69,238061,4604,8281,3191,141
70,238071,4597,8335,3055,198
71,238081,4590,8377,2946,237
72,238091,4582,8414,2851,267
73,238101,4575,8442,2776,284
74,238111,4568,8464,2720,289
75,238121,4561,8482,2676,285
76,238131,4555,8491,2659,265
77,238141,4549,8498,2651,237
78,238151,4542,8504,2647,204
79,238161,4535,8507,2651,163
80,238171,4527,8508,2664,116
81,238181,4519,8508,2679,65
82,238191,4510,8505,2704,7
83,238201,4500,8500,2735,-56
84,238211,4489,8493,2771,-126
85,238221,4477,8481,2822,-205
86,238231,4464,8467,2878,-289
87,238241,4448,8447,2949,-383
88,238251,4430,8423,3030,-484
89,238261,4409,8391,3128,-597
90,238271,4382,8349,3249,-725
91,238281,4348,8294,3396,-871
92,238291,4305,8220,3578,-1038
93,238301,4249,8124,3798,-1228
94,238311,4175,7992,4073,-1447
95,238321,4076,7814,4406,-1700
96,238331,3945,7581,4798,-1982
97,238341,3772,7273,5252,-2295
98,238351,3552,6887,5748,-2625
99,238361,3289,6432,6251,-2953
100,238371,2992,5929,6727,-3260
101,238381,2670,5396,7158,-3536
102,238391,2338,4860,7528,-3772
103,238401,2013,4347,7830,-3965
104,238411,1702,3873,8069,-4120
105,238421,1403,3430,8261,-4244
106,238431,1125,3033,8407,-4340
107,238441,867,2678,8519,-4415
108,238451,626,2357,8604,-4474
109,238461,404,2073,8666,-4519
110,238471,198,1825,8710,-4556
111,238481,6,1605,8739,-4587
112,238491,-173,1409,8756,-4616
113,238501,-344,1235,8763,-4642
114,238511,-506,1079,8763,-4667
115,238521,-661,938,8755,-4693
116,238531,-809,812,8741,-4719
117,238541,-951,697,8721,-4748
118,238551,-1091,591,8696,-4777
119,238561,-1229,495,8667,-4807
120,238571,-1369,399,8635,-4836
121,238581,-1507,312,8599,-4865
122,238591,-1642,235,8561,-4894
123,238601,-1776,164,8519,-4922
124,238611,-1901,106,8476,-4952
125,238621,-2026,54,8430,-4981
126,238631,-2150,4,8383,-5009
127,238641,-2269,-39,8335,-5036
128,238651,-2385,-78,8286,-5062
129,238661,-2497,-113,8238,-5087
130,238671,-2606,-144,8188,-5111
131,238681,-2711,-171,8138,-5135
132,238691,-2815,-196,8087,-5160
133,238701,-2914,-219,8034,-5186
134,238711,-3011,-242,7979,-5214
135,238721,-3105,-265,7923,-5244
136,238731,-3197,-290,7865,-5275
137,238741,-3283,-310,7804,-5312
138,238751,-3366,-332,7741,-5350
139,238761,-3448,-356,7675,-5391
140,238771,-3528,-383,7606,-5435
141,238781,-3608,-412,7533,-5482
142,238791,-3687,-442,7457,-5531
143,238801,-3765,-475,7377,-5581
144,238811,-3845,-512,7295,-5632
145,238821,-3923,-551,7210,-5684
146,238831,-3999,-591,7122,-5737
147,238841,-4075,-632,7032,-5790
148,238851,-4147,-672,6941,-5845
149,238861,-4217,-714,6847,-5900
150,238871,-4286,-756,6752,-5953
151,238881,-4355,-802,6657,-6005
152,238891,-4422,-850,6560,-6055
153,238901,-4489,-898,6462,-6104
154,238911,-4551,-944,6365,-6154
155,238921,-4613,-992,6266,-6201
156,238931,-4674,-1040,6168,-6246
157,238941,-4734,-1093,6068,-6290
158,238951,-4793,-1149,5967,-6331
159,238961,-4849,-1210,5866,-6372
160,238971,-4902,-1276,5765,-6410
161,238981,-4948,-1343,5665,-6450
162,238991,-4993,-1416,5564,-6487
163,239001,-5037,-1495,5462,-6523
164,239011,-5080,-1581,5358,-6556
165,239021,-5122,-1673,5251,-6586
166,239031,-5164,-1770,5141,-6614
167,239041,-5206,-1873,5029,-6639
168,239051,-5250,-1984,4913,-6659
