,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,0.001,-0.273,0.045,-0.012,0.961,-0.271,0.045,-0.013,0.961
1,0.011,-0.287,0.045,-0.012,0.956,-0.288,0.045,-0.013,0.956
2,0.021,-0.278,0.045,-0.012,0.959,-0.277,0.046,-0.013,0.959
3,0.031,-0.286,0.044,-0.012,0.957,-0.287,0.045,-0.013,0.956
4,0.041,-0.295,0.044,-0.012,0.954,-0.296,0.044,-0.012,0.953
5,0.051,-0.297,0.044,-0.012,0.953,-0.297,0.044,-0.012,0.953
6,0.061,-0.288,0.044,-0.012,0.956,-0.288,0.044,-0.012,0.956
7,0.071,-0.28,0.044,-0.012,0.958,-0.279,0.045,-0.013,0.958
8,0.081,-0.28,0.045,-0.012,0.958,-0.279,0.045,-0.013,0.958
9,0.091,-0.277,0.044,-0.012,0.959,-0.277,0.045,-0.013,0.959
10,0.101,-0.284,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
11,0.111,-0.285,0.043,-0.012,0.957,-0.285,0.044,-0.012,0.957
12,0.121,-0.295,0.043,-0.012,0.954,-0.296,0.044,-0.012,0.953
13,0.131,-0.295,0.044,-0.012,0.954,-0.295,0.044,-0.012,0.954
14,0.141,-0.296,0.044,-0.012,0.953,-0.297,0.045,-0.013,0.953
15,0.151,-0.296,0.044,-0.012,0.953,-0.296,0.045,-0.013,0.953
16,0.161,-0.304,0.044,-0.012,0.951,-0.305,0.044,-0.012,0.951
17,0.171,-0.303,0.044,-0.012,0.951,-0.303,0.044,-0.012,0.951
18,0.181,-0.294,0.044,-0.012,0.954,-0.293,0.044,-0.012,0.954
19,0.191,-0.296,0.045,-0.012,0.954,-0.296,0.045,-0.013,0.953
20,0.201,-0.295,0.045,-0.012,0.954,-0.295,0.046,-0.013,0.954
21,0.211,-0.286,0.045,-0.012,0.957,-0.285,0.045,-0.013,0.957
22,0.221,-0.292,0.044,-0.012,0.955,-0.293,0.045,-0.012,0.954
23,0.231,-0.284,0.044,-0.012,0.957,-0.283,0.044,-0.012,0.957
24,0.241,-0.284,0.044,-0.012,0.957,-0.284,0.044,-0.012,0.957
25,0.251,-0.287,0.043,-0.012,0.956,-0.287,0.044,-0.012,0.956
26,0.261,-0.287,0.044,-0.012,0.956,-0.287,0.044,-0.012,0.956
27,0.271,-0.286,0.044,-0.012,0.956,-0.286,0.044,-0.012,0.956
28,0.281,-0.285,0.044,-0.012,0.957,-0.285,0.045,-0.012,0.957
29,0.291,-0.294,0.044,-0.012,0.954,-0.295,0.045,-0.013,0.954
30,0.301,-0.288,0.044,-0.012,0.956,-0.287,0.044,-0.012,0.956
31,0.311,-0.278,0.044,-0.012,0.959,-0.277,0.044,-0.012,0.959
32,0.321,-0.287,0.044,-0.012,0.956,-0.288,0.044,-0.013,0.956
33,0.331,-0.285,0.044,-0.012,0.957,-0.285,0.045,-0.012,0.957
34,0.341,-0.286,0.044,-0.012,0.956,-0.286,0.045,-0.013,0.956
35,0.351,-0.276,0.044,-0.012,0.959,-0.275,0.045,-0.012,0.96
36,0.361,-0.293,0.044,-0.012,0.955,-0.294,0.045,-0.012,0.954
37,0.371,-0.286,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
38,0.381,-0.285,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
39,0.391,-0.286,0.044,-0.012,0.957,-0.286,0.044,-0.012,0.957
40,0.401,-0.284,0.044,-0.012,0.957,-0.284,0.045,-0.012,0.957
41,0.411,-0.282,0.044,-0.012,0.958,-0.282,0.045,-0.012,0.958
42,0.421,-0.284,0.044,-0.012,0.957,-0.284,0.045,-0.012,0.957
43,0.431,-0.285,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
44,0.441,-0.285,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
45,0.451,-0.284,0.044,-0.012,0.957,-0.284,0.044,-0.012,0.957
46,0.461,-0.283,0.044,-0.012,0.957,-0.283,0.044,-0.012,0.957
47,0.471,-0.291,0.043,-0.012,0.955,-0.292,0.044,-0.012,0.955
48,0.481,-0.294,0.044,-0.012,0.954,-0.294,0.044,-0.012,0.954
49,0.491,-0.293,0.044,-0.012,0.954,-0.292,0.044,-0.012,0.954
50,0.501,-0.303,0.044,-0.012,0.951,-0.304,0.045,-0.012,0.951
51,0.511,-0.292,0.044,-0.012,0.955,-0.291,0.045,-0.012,0.955
52,0.521,-0.292,0.044,-0.012,0.955,-0.292,0.044,-0.012,0.955
53,0.531,-0.292,0.044,-0.012,0.955,-0.292,0.044,-0.012,0.955
54,0.541,-0.294,0.044,-0.012,0.954,-0.294,0.045,-0.012,0.954
55,0.551,-0.295,0.044,-0.012,0.954,-0.296,0.044,-0.012,0.954
56,0.561,-0.285,0.044,-0.012,0.957,-0.283,0.045,-0.012,0.957
57,0.571,-0.283,0.044,-0.012,0.957,-0.283,0.045,-0.012,0.957
58,0.581,-0.283,0.043,-0.012,0.957,-0.283,0.044,-0.012,0.957
59,0.591,-0.283,0.044,-0.012,0.957,-0.283,0.044,-0.012,0.957
60,0.601,-0.292,0.043,-0.012,0.955,-0.293,0.044,-0.012,0.954
61,0.611,-0.285,0.044,-0.012,0.957,-0.284,0.044,-0.012,0.957
62,0.621,-0.285,0.044,-0.012,0.957,-0.285,0.044,-0.012,0.957
63,0.631,-0.284,0.044,-0.012,0.957,-0.284,0.044,-0.012,0.957
64,0.641,-0.283,0.044,-0.012,0.957,-0.283,0.044,-0.012,0.957
65,0.651,-0.282,0.044,-0.012,0.958,-0.282,0.045,-0.012,0.958
66,0.661,-0.283,0.045,-0.012,0.957,-0.283,0.045,-0.012,0.957
67,0.671,-0.283,0.044,-0.012,0.957,-0.283,0.045,-0.012,0.957
68,0.681,-0.294,0.044,-0.012,0.954,-0.295,0.045,-0.012,0.954
69,0.691,-0.284,0.044,-0.012,0.957,-0.283,0.044,-0.012,0.957
70,0.701,-0.291,0.044,-0.012,0.955,-0.292,0.044,-0.012,0.955
71,0.711,-0.292,0.044,-0.012,0.955,-0.292,0.044,-0.012,0.955
72,0.721,-0.293,0.044,-0.012,0.954,-0.294,0.044,-0.012,0.954
73,0.731,-0.294,0.044,-0.012,0.954,-0.294,0.044,-0.012,0.954
74,0.741,-0.302,0.043,-0.012,0.952,-0.303,0.044,-0.012,0.951
75,0.751,-0.302,0.044,-0.012,0.951,-0.302,0.044,-0.012,0.951
76,0.761,-0.3,0.044,-0.012,0.952,-0.3,0.045,-0.012,0.952
77,0.771,-0.292,0.044,-0.012,0.955,-0.291,0.045,-0.012,0.955
78,0.781,-0.284,0.044,-0.012,0.957,-0.284,0.044,-0.012,0.957
79,0.791,-0.284,0.043,-0.012,0.957,-0.284,0.044,-0.012,0.957
80,0.801,-0.283,0.043,-0.012,0.957,-0.283,0.044,-0.012,0.957
81,0.811,-0.281,0.043,-0.012,0.958,-0.281,0.044,-0.012,0.958
82,0.821,-0.291,0.044,-0.012,0.955,-0.291,0.044,-0.012,0.955
83,0.831,-0.281,0.044,-0.012,0.958,-0.28,0.044,-0.012,0.958
84,0.841,-0.283,0.043,-0.012,0.957,-0.284,0.044,-0.012,0.957
85,0.851,-0.282,0.044,-0.012,0.958,-0.281,0.045,-0.012,0.958
86,0.861,-0.291,0.044,-0.012,0.955,-0.292,0.044,-0.012,0.955
87,0.871,-0.283,0.044,-0.012,0.957,-0.282,0.045,-0.012,0.958
88,0.881,-0.255,0.044,-0.012,0.966,-0.252,0.045,-0.012,0.966
89,0.891,-0.22,0.045,-0.012,0.975,-0.216,0.045,-0.013,0.975
90,0.901,-0.176,0.046,-0.012,0.985,-0.171,0.047,-0.013,0.983
91,0.911,-0.183,0.047,-0.013,0.981,-0.183,0.048,-0.013,0.981
92,0.921,-0.325,0.049,-0.013,0.965,-0.335,0.048,-0.013,0.94
93,0.931,-0.445,0.046,-0.013,0.912,-0.452,0.047,-0.013,0.89
94,0.941,-0.363,0.042,-0.012,0.938,-0.352,0.043,-0.012,0.934
95,0.951,-0.273,0.038,-0.011,0.97,-0.26,0.039,-0.011,0.964
96,0.961,-0.263,0.039,-0.01,0.963,-0.263,0.039,-0.011,0.963
97,0.971,-0.376,0.043,-0.011,0.939,-0.383,0.042,-0.012,0.922
98,0.981,-0.303,0.045,-0.012,0.957,-0.294,0.045,-0.012,0.954
99,0.991,-0.252,0.046,-0.012,0.969,-0.246,0.046,-0.013,0.968
100,1.001,-0.264,0.045,-0.012,0.963,-0.265,0.045,-0.013,0.962
101,1.011,-0.334,0.043,-0.012,0.946,-0.34,0.044,-0.012,0.939
